Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Subject_0,-0.8894322,1.065176,-0.12793562,-0.118341684,-0.8824338
Subject_1,-0.64914244,-0.45669195,-0.40705013,0.21052866,-0.6296994
Subject_2,0.8144757,-2.3716486,0.6275868,-0.28899387,-0.653452
Subject_3,1.1273569,-0.7332716,1.3296087,-0.72590023,1.8724865
Subject_4,-0.85337615,-1.5555518,-1.6183676,-0.19968608,-0.18710187
Subject_5,0.09771939,1.7241431,-0.042365998,0.8462596,0.29836333
Subject_6,-0.5299628,-1.3921032,-1.6488822,0.1927724,-0.1750081
Subject_7,1.1537687,0.46592346,0.24019489,0.95049435,0.37943396
Subject_8,-1.5312958,0.7357187,-0.3583332,0.7233955,-0.090230875
Subject_9,-0.45172828,0.03939114,-1.4459497,-0.37691543,-0.08921329
Subject_10,-1.4233792,0.45542732,-0.5331561,-0.25643688,-0.3918235
Subject_11,0.13491447,-0.16334173,0.27637747,0.14762902,-0.2382346
Subject_12,-0.6543568,0.03433108,0.6006292,-0.1848545,-1.527077
Subject_13,-1.7128522,1.33365,1.5501117,0.36663523,-0.34138536
Subject_14,-0.2611419,0.05474523,0.19621006,1.6310204,1.4155102
Subject_15,-1.3503326,-0.31261805,-0.892207,-1.0907568,-0.4789826
Subject_16,-0.6356993,1.1652211,1.2190279,0.9198225,-1.5332807
Subject_17,0.9680357,0.95306563,0.6522792,-0.6110799,-0.88725567
Subject_18,0.51600844,-0.6954652,0.21406032,0.6580118,0.4801979
Subject_19,-1.4753281,0.3467021,-1.3137585,-0.26013908,-1.7934831
Subject_20,0.5497035,-0.13712323,0.43235043,0.44966215,0.88672954
Subject_21,0.90832335,0.96941257,0.97135925,1.7483305,0.423667
Subject_22,1.4136502,0.1238725,0.97161144,0.18355098,-0.6550807
Subject_23,-0.2956694,-0.0644587,-2.054487,1.368827,0.90816236
Subject_24,-0.40266055,-0.50039893,-1.0033102,1.4116876,0.5987791
Subject_25,1.2230601,-0.6503787,0.44012678,1.8111697,0.6271466
Subject_26,-0.850296,0.92626446,-0.42591506,-1.9412744,0.6065769
Subject_27,-0.9817342,1.4414927,0.49142858,1.0776898,0.99435407
Subject_28,0.42221412,-0.112172455,0.997471,0.8276103,-0.8491712
Subject_29,1.2775236,0.23239301,-0.53322995,-0.74068195,-0.3473651
Subject_30,0.9807852,-0.74579436,1.0099354,-0.67000335,-2.5830677
Subject_31,-0.894837,1.6334375,0.43204582,-0.95602393,-0.8128925
Subject_32,2.3930461,0.5674508,-0.8511455,-0.84443754,1.259787
Subject_33,1.439664,-0.14196266,1.639623,0.37663358,1.2439287
Subject_34,1.3234081,-0.040579256,2.2205944,1.1661742,-0.2823359
Subject_35,-1.230906,-1.668721,-1.1520351,-1.7029533,-0.22925726
Subject_36,-0.4031565,0.20132671,-0.57025355,-1.7472079,-0.16406444
Subject_37,-1.1001492,-0.47264174,-0.3491153,0.8373493,-1.3212509
Subject_38,-0.7863963,-0.21162654,-0.4117504,-1.442488,-0.321918
Subject_39,0.26536694,0.3870517,0.50637996,0.088565856,1.2372072
Subject_40,0.8394599,-0.46091834,0.37039557,-0.41954765,0.034802325
Subject_41,-1.2766434,0.4668721,1.795461,0.4610868,0.40291962
Subject_42,-0.9557545,-0.55321705,-0.8366977,0.41120836,-0.52900106
Subject_43,0.056080453,-0.7666234,0.05467679,1.5102203,-0.1975557
Subject_44,-0.750849,-0.02220353,-1.0978845,-1.2990015,-0.9947491
Subject_45,-1.0983686,-0.7633605,-1.1343124,-1.161075,-1.7138246
Subject_46,0.65016645,0.31327182,1.7181821,-0.74503785,-0.9744841
Subject_47,-1.4171808,0.25636065,0.897512,-0.36310393,0.6867897
Subject_48,0.31324643,-1.1773351,-0.04220503,-1.7054269,-0.1740588
Subject_49,0.08511622,0.7240005,-0.017693302,0.013923145,-0.016622482
