Subject_ID,Factor_1,Factor_2
Subject_1,0.07126221,-1.2995396
Subject_2,-1.8689626,-0.3779216
Subject_3,0.42089373,0.1966304
Subject_4,0.8807272,-0.5456067
Subject_5,-0.25009894,0.83935857
Subject_6,0.70561105,-0.6756517
Subject_7,0.10635523,0.5454476
Subject_8,-0.0664459,0.24313861
Subject_9,1.3572586,0.61512995
Subject_10,0.07450278,-0.72069544
Subject_11,-0.10826947,-0.10420422
Subject_12,-1.0046977,-1.6666862
Subject_13,0.8335871,1.6135302
Subject_14,1.2139412,1.2484442
Subject_15,0.8564024,-0.10036549
Subject_16,-0.59226257,0.13024023
Subject_17,1.0147768,-0.40761805
Subject_18,-4.23951,0.7826423
Subject_19,2.1919196,-1.9972991
Subject_20,0.3642365,1.5670528
Subject_21,-0.6289445,-0.23229131
Subject_22,1.7614394,0.9054777
Subject_23,-0.8189581,-0.543887
Subject_24,-0.24344885,-0.41773742
Subject_25,1.5016522,-0.5865674
Subject_26,-1.2151109,1.0986764
Subject_27,0.27299982,0.117989324
Subject_28,-0.97024286,-0.94311637
Subject_29,0.87391746,2.221165
Subject_30,1.0082507,-0.20926431
Subject_31,1.6322144,-0.9071249
Subject_32,-0.5445522,-0.59254974
Subject_33,-0.3220054,0.31826258
Subject_34,-1.0068234,-0.7864604
Subject_35,-0.40972486,1.40273
Subject_36,-0.16645652,-0.41743085
Subject_37,0.24304165,-0.10510192
Subject_38,0.3766448,0.9679191
Subject_39,-0.5929735,0.81865245
Subject_40,-0.7067214,-0.5192628
Subject_41,1.2546515,1.1850858
Subject_42,0.10076695,-1.039787
Subject_43,0.35455787,-1.3464284
Subject_44,-1.039074,0.78000045
Subject_45,0.13959521,-0.029637026
Subject_46,0.2649413,1.0311956
Subject_47,-0.052594263,-0.33975825
Subject_48,0.32449853,0.0039921827
Subject_49,0.25911066,0.7793929
Subject_50,-1.8290033,-0.49889776
Subject_51,-0.5515099,-0.035953484
Subject_52,0.26769826,0.09559721
Subject_53,-0.093855694,0.4126522
Subject_54,0.26464915,-0.51913685
Subject_55,1.0838205,1.0489188
Subject_56,-1.2424227,1.2359164
Subject_57,2.1872597,-0.16386385
Subject_58,0.99377507,0.83596766
Subject_59,-0.22278623,-0.4674755
Subject_60,0.10009908,-1.2997928
Subject_61,-0.6399984,-0.4633236
Subject_62,-1.4866474,-0.011596095
Subject_63,0.30364883,1.5641642
Subject_64,1.3269132,0.5372402
Subject_65,-1.8397126,0.38076478
Subject_66,0.606698,0.56503195
Subject_67,0.2476107,1.4212543
Subject_68,-1.1585128,1.1617322
Subject_69,-2.2421153,-0.37439865
Subject_70,0.85278755,0.07433575
Subject_71,1.2139308,-0.23558825
Subject_72,1.0870547,1.1009576
Subject_73,0.88041264,-0.10321869
Subject_74,0.6864735,0.38528565
Subject_75,-0.11399648,-0.51810586
Subject_76,0.5914394,0.41045085
Subject_77,0.46546826,0.85063326
Subject_78,-0.8620582,-0.53089654
Subject_79,-1.0688223,-0.75649375
Subject_80,1.4326715,-0.106994584
Subject_81,0.14761299,0.29552242
Subject_82,0.24379255,-0.32307234
Subject_83,-0.26183602,0.21145666
Subject_84,0.037872225,0.24297807
Subject_85,0.68146616,0.54847294
Subject_86,0.203244,-0.14052576
