Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,-0.7291613,0.22554797,0.47562537,0.86997604
Subject_2,0.05656507,-0.22119075,-0.09603486,1.0788772
Subject_3,0.03344488,3.0305789,-0.38538662,0.2609802
Subject_4,0.3800673,-0.78723145,1.1351963,0.748797
Subject_5,-1.4602361,1.0055568,0.28018352,-0.9798965
Subject_6,0.16392626,-1.759321,0.28481472,1.0530633
Subject_7,-0.34715623,-0.5102768,-0.29513612,-1.2119411
Subject_8,-0.09388338,0.56792635,1.908509,0.62245256
Subject_9,1.671028,0.43054333,-0.33837968,1.0951502
Subject_10,-0.95509195,-0.08980223,2.1571748,-1.0234091
Subject_11,0.7114299,-0.43446365,0.29748112,-0.2696342
Subject_12,0.86266774,-0.0017300491,-0.27021858,-0.9858522
Subject_13,-0.26591596,-1.0303396,-0.3389544,-0.13782257
Subject_14,-0.9027986,-0.21140137,0.2722676,0.9579993
Subject_15,-1.0062592,1.1832808,-0.22529316,-0.17881173
Subject_16,0.20681226,-0.62277794,-0.5753768,0.03669144
Subject_17,1.0635897,-0.27557558,0.5773722,-0.35998273
Subject_18,-0.95121735,0.47212857,-6.7336583,1.045221
Subject_19,-2.4975805,0.9301475,-0.2977752,0.030160695
Subject_20,0.9567947,0.84690046,-0.16301827,-0.06401594
Subject_21,0.3889715,-0.045069013,-2.3633628,1.1835532
Subject_22,1.8536489,-0.60297567,-0.031977236,1.1963023
Subject_23,-0.80758005,-1.3131255,-1.7542949,-0.14179726
Subject_24,-0.4232098,-1.4394501,-1.5902258,-1.3835695
Subject_25,0.53787255,-0.21149094,0.20380042,1.335298
Subject_26,0.17884764,0.16274644,1.1764244,0.77863973
Subject_27,1.2240922,-0.22873706,0.3430611,2.5729368
Subject_28,1.2842318,0.4781383,0.31507483,-0.9553307
Subject_29,0.419425,0.85088515,0.7273303,-0.2761381
Subject_30,0.28416026,0.90198654,-0.087039985,0.25084153
Subject_31,0.53661096,1.8066195,1.150565,-0.14044541
Subject_32,-0.005544191,-1.4945217,-1.7582687,-0.7687559
Subject_33,1.0018559,-0.510911,-0.99796593,-1.3140203
Subject_34,-0.07416888,-1.1877143,-0.3984421,1.0753952
Subject_35,0.058236167,-0.16827354,0.12344746,1.5477295
Subject_36,0.81602305,0.61913955,0.98159385,-0.9090724
Subject_37,1.0287639,-0.22223367,-0.21954542,0.7489307
Subject_38,-0.16143043,-0.67283803,0.06399925,0.6087183
Subject_39,0.52077854,-0.025774393,-0.6839949,-1.8202794
Subject_40,0.2434282,-0.9944711,0.19712871,0.21485156
Subject_41,-1.0443164,1.487915,1.5583324,0.19759135
Subject_42,1.9810373,0.026169196,0.04571019,1.8024346
Subject_43,-0.7782939,1.892415,0.0720189,-0.52477694
Subject_44,0.49268392,-0.19386765,-0.7349881,-1.1942314
Subject_45,0.51939005,0.95292586,1.6476958,0.051731188
Subject_46,1.3166631,-0.20065837,-0.058800068,0.8408185
Subject_47,-1.4716705,-0.24739917,-0.21861695,-1.4363033
Subject_48,0.9474887,-2.9163973,-1.1251373,0.5830135
Subject_49,0.66003233,-0.38404283,0.16129856,1.5007113
Subject_50,0.21333607,-0.73213613,-1.5610958,0.09805155
Subject_51,0.36244112,2.051376,-0.4103314,-1.4641049
Subject_52,0.025519667,1.0806392,0.5535685,1.5452092
Subject_53,-0.8335274,-0.9791612,-0.15831487,0.33235288
Subject_54,0.9223975,-0.2933284,0.14933829,0.6831184
Subject_55,-0.06476785,0.32134905,0.43568966,-0.36739656
Subject_56,-0.25485447,-0.029409187,0.8323656,-1.9289047
Subject_57,-0.81836486,-1.133982,-0.3098268,0.43023062
Subject_58,1.2746508,-0.8056083,-1.7104555,-0.5012196
Subject_59,0.91491985,-0.8409675,-0.06506616,-0.7399703
Subject_60,1.5460119,0.36218607,-2.0261598,0.29150957
Subject_61,-1.2432345,0.43014488,-0.4144046,0.45334172
Subject_62,0.56735116,0.48344907,-1.1715266,1.2931255
Subject_63,1.1041633,-0.08067066,0.27544937,0.203525
Subject_64,0.30529281,0.37864518,1.0808347,-0.5669977
Subject_65,-0.84780663,0.4716031,-1.5434988,0.5048757
Subject_66,-0.2553011,0.3943404,1.4482011,-0.19069149
Subject_67,0.41924587,-0.4380427,0.065271795,0.7015122
Subject_68,-0.4838197,0.11652151,0.57075423,0.85193443
Subject_69,0.8126529,0.5310555,-3.1317027,-0.5519271
Subject_70,-0.8949029,-0.89164615,0.38945717,0.9889277
Subject_71,0.34615922,0.2904744,-0.02933117,0.041497394
Subject_72,-1.3288294,-0.44146973,-0.12772831,-0.5320747
Subject_73,-0.19366251,0.9457108,-1.305783,-0.14605339
Subject_74,1.801963,-1.2195821,1.1057143,-1.1247581
Subject_75,-0.24615896,0.7264335,-0.52741456,-0.980881
Subject_76,-1.1642706,-0.3079321,-0.04851894,-0.11192274
Subject_77,0.07327953,-0.58705163,-1.9571173,-1.3827587
Subject_78,-0.42843965,-0.044011068,-0.028636014,0.14587863
Subject_79,-0.5085852,0.7068331,0.023518112,1.2728786
Subject_80,1.9749105,0.74987626,-0.12597343,0.9400037
Subject_81,-1.0350666,-2.2990456,0.4347436,-2.5524821
Subject_82,0.30233866,-0.04386752,1.3747439,-1.9949121
Subject_83,0.5613328,-1.4817661,-0.72755295,1.4670357
Subject_84,-0.7806465,-0.49002996,0.9181262,-1.6929255
Subject_85,1.7174398,-1.0597286,0.9285311,-0.18655458
Subject_86,-0.6068579,1.1704748,-0.96679485,-1.6409717
