Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
rigidity_left,-0.062143542,0.0059117926,0.061224617,0.122042246,0.08256662,-0.22053953,-0.1534403,-0.07605416,-0.001533485,0.008215131,-0.36394042,0.08819454,-0.07045538,-0.26209018,-0.018555848,0.09787929,-0.019602092,0.013645165,0.046616606,-0.010202837
rigidity_right,-0.09410309,-0.0030851574,-0.13952406,-0.10276584,0.12620552,0.17602617,0.10002665,-0.073857725,-0.054848358,0.026237018,-0.1714918,-0.22971854,-0.097513534,-0.080549,0.12304825,-0.018065339,0.06947279,0.09751097,0.08135881,-0.09514063
tremor_rest_left,-0.031039776,-0.0692752,-0.07432927,-0.04873568,-0.01469904,0.041513175,-0.049605094,0.053035896,-0.2190835,-0.08965158,0.014501923,-0.08008479,-0.069089346,-0.15114895,0.25944188,0.11162339,0.0036880695,-0.16513295,0.015026845,0.05973272
tremor_rest_right,-0.122462645,-0.33021513,0.04701997,-0.012444549,0.14784296,-0.028767994,-0.06938561,-0.23124534,-0.042052027,0.011287642,0.106415085,-0.2515177,0.096885145,-0.012602957,0.08875989,-0.119096875,-0.1167323,0.031673577,0.027231509,-0.082798146
tremor_postural_left,-0.009292754,0.16365406,0.0977251,-0.20060146,-0.14548013,-0.08317966,0.09759608,-0.042884286,0.052460633,0.08461261,-0.12471496,0.26025173,-0.10784359,-0.039039146,0.09914809,0.12233866,0.109591186,-0.045301992,0.017518772,-0.15851758
tremor_postural_right,0.16276298,-0.30282125,-0.11288353,-0.05752159,-0.024401197,0.044863626,0.1021817,0.018513536,-0.0033415498,-0.0049576284,0.063382916,-0.50496376,0.13780168,0.23541743,0.07584577,-0.10306034,-0.013239261,0.048842024,-0.15752593,0.079976305
bradykinesia_speed_left,0.055669874,0.15622418,-0.024318319,0.19447112,0.033741385,0.034245983,-0.1404223,-0.05465834,-0.08775595,0.09806353,0.07203694,0.10702626,-0.0070292535,-0.08184595,0.13229704,0.15310705,-0.011344272,-0.11998514,0.15192288,0.02635572
bradykinesia_speed_right,-0.11138705,0.007229776,0.05634239,-0.11460061,-0.024433315,0.04274563,0.046761904,-0.40515745,0.117413916,0.02353629,-0.05842907,-0.119418114,0.045316484,-0.0044737053,0.092289455,-0.208619,0.011728949,0.06811604,-0.23561455,-0.028721679
bradykinesia_amplitude_left,0.10283026,-0.09570396,0.12425979,0.31634,-0.13334024,-0.15457211,0.007738277,-0.19899395,0.15691055,0.092430025,-0.047030333,0.023244828,-0.1284811,-0.13547617,-0.023001513,0.3345164,0.21986577,-0.07377858,0.09661209,0.085135385
bradykinesia_amplitude_right,0.11303981,-0.05129842,0.089705594,0.05311422,-0.050271478,0.013016173,0.035209697,0.04434472,-0.028311517,-0.08040637,-0.043836243,0.043201067,-0.012655286,-0.028090976,0.053959545,-0.16272064,0.12229747,0.1422713,0.009602799,0.02069157
bradykinesia_rhythm_left,-0.1501477,0.032848123,-0.05138209,0.015464763,0.11007383,0.012859158,0.12607817,0.08878192,-0.053798895,-0.033781856,-0.12667486,-0.054456975,-0.18047735,-0.10164316,-0.13653874,0.14137344,0.08308906,0.07126783,0.20149876,-0.041970972
bradykinesia_rhythm_right,0.087821744,-0.04832868,0.021654109,0.065641806,0.2742641,0.098702535,0.1501992,-0.011982621,0.13031368,-0.15355004,-0.23831238,-0.26121733,-0.11174249,0.21682742,-0.06258667,-0.037406936,0.25559407,0.1692471,-0.10387787,0.06569245
mirrormovement_left,0.21911421,0.4855979,-0.1541766,-0.4371851,0.23532209,0.15972844,-0.0028296863,0.03689487,0.02114347,-0.1372568,0.05200919,-0.7913862,0.26107046,-0.09412727,0.5768826,-0.05282717,-0.19921762,1.4304562,0.09875589,-0.11966588
mirrormovement_right,-0.15981682,0.09416942,0.03563805,0.63575244,-0.033473715,-0.17287558,-0.23549432,0.027099151,-0.10921268,0.10211515,0.365341,0.0791244,-0.03382975,-0.6674957,-0.030490842,0.6790651,0.083841026,-0.83828175,-0.06913088,0.009772967
