Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,-0.3260445,-0.14519578,-0.289224,-0.001070001,-0.014571665,-1.2617034,0.09714631,-0.54479086,0.2639051,-1.0715984,0.33225504,0.42072695,-0.24372771,-0.74850327,0.603914,-0.2601288,0.40792146,-1.014769,0.49100536,0.71973807,0.30095842,0.13137615,-0.0559394,-0.80396897,1.1619711,0.04104733,-0.7525395,-0.3813557,-0.092693985,-1.508717
volume_sn_voxels_feature_1,-0.53051394,-0.20448273,-0.4405155,-0.47539222,-0.42097303,-1.5987746,0.14008349,-0.8937032,-0.12295546,-1.2883674,0.49532276,0.020717964,0.62648225,-0.81263,0.5693672,0.07779631,0.10703043,-1.0378789,-0.09697029,-0.69724053,-0.27459002,0.36256337,0.35132557,-0.8530504,1.0766928,0.635014,0.31999862,-0.47573623,0.020348502,-2.2855158
volume_sn_voxels_feature_2,0.2875758,0.332162,-0.6305115,0.66613024,0.42532125,-0.36578545,-0.06375988,-0.41983515,0.35538182,0.007752451,-0.03987255,0.036561977,-0.9806444,-0.33992618,0.09303747,-0.32474616,0.26879025,-0.39007208,0.17101565,1.3802996,0.43175688,0.66556525,0.08311393,-0.07945106,-0.2870526,-1.0525773,-0.3208704,-0.0973176,0.11987118,-0.98514944
volume_sn_voxels_feature_3,-0.034317244,0.57364386,-0.44546777,0.059815053,0.18872027,-0.06136612,-0.4557979,-0.11233036,-0.20340773,-0.50388545,-0.5732597,-0.15913258,-0.054892726,-0.24697265,-0.039280437,-0.51059335,0.16907471,-0.24869387,0.07526368,-0.4044079,-0.052472487,0.8305025,-0.06583936,-0.26036915,0.07754731,-1.1652099,0.9288084,-0.16280857,0.06069996,-1.2921274
volume_sn_voxels_feature_4,0.54772276,0.7860155,0.27230456,0.06311411,0.26034346,1.1348253,-0.77884287,0.06925913,-0.13152303,1.1400068,-0.63406,0.10362913,-0.71851075,0.0895731,-0.7629616,-0.26952386,-0.2525274,0.11664431,-0.11919611,0.124062136,0.12962003,1.1485983,0.7422192,-0.09806086,-0.5202865,-1.2879466,1.1304216,-0.71151894,-0.05661112,-1.4406343
volume_sn_voxels_feature_5,-1.2925836,0.8096619,-0.5634101,-0.045409758,1.2155789,-0.53615147,-0.32091877,-0.411599,0.7232571,-1.4913831,-0.8095378,0.3257002,-1.2529455,0.12293303,0.5915966,-0.032466125,0.2460875,1.1828164,0.5275764,1.0611407,0.35413706,1.2996628,0.13608252,0.14395472,-0.687827,-0.735516,-0.28696045,0.7111701,0.25555977,-1.546588
volume_sn_voxels_feature_6,-0.57968664,-0.012097933,-0.5675351,0.7309327,0.74308056,-0.5798309,0.73471195,-0.19366725,0.83552,-0.9710002,0.33149427,0.5690008,-0.8536674,0.15125619,0.5108062,-0.31126875,-0.12746683,0.43935677,0.4114792,0.8375783,-0.50417995,0.25653744,0.10080706,0.41200587,-0.61469764,-1.4368157,-1.1859971,0.52154434,0.3405467,-1.7112532
volume_sn_voxels_feature_7,-0.96751434,0.040183887,-0.4926246,-0.089902975,0.92650694,-0.84759843,-0.04892148,-0.18919544,0.7803467,-1.454219,-0.7962829,-0.2939863,-0.5196516,-1.2897971,0.5947931,-0.30749103,0.05372305,0.6180835,0.17744939,-0.053560596,0.37230787,1.0354879,-0.41918978,-0.49364403,0.0055258614,-1.924607,0.98998153,0.033996895,-0.6530565,-0.5440421
volume_sn_voxels_feature_8,-0.40646482,-0.7274258,-0.33989376,0.77349395,0.60595363,-0.009422409,0.30314535,0.22806749,0.48698053,-0.29542935,0.7532007,-1.0561944,1.230231,-1.3730296,0.20235825,-0.16454984,-0.70527035,-1.2415597,-1.1520538,-1.0505675,-0.24616401,0.012058612,-0.23409507,-0.48095044,-0.03006674,-1.2511474,0.17717712,-0.53950244,-0.20772378,-0.73072207
volume_sn_voxels_feature_9,-0.95977306,-0.29300207,-0.17023765,0.4541993,0.14117163,0.045518596,0.13919498,0.48601744,-0.6135381,0.25559163,0.55152977,-1.2643836,1.3206003,-1.1961378,-0.33679408,0.51260436,-0.5252466,-1.4536701,-0.85222745,-1.1608962,-0.052285008,-0.3269898,-0.119957864,-0.29336724,-0.18280667,-1.0972276,0.0061607244,-0.3807389,0.10104196,0.26769122
volume_sn_voxels_feature_10,-0.8616874,0.095243886,-0.34173095,0.3550001,0.19284475,0.14457014,0.38756052,0.07466867,-0.93734485,0.55399,0.7236038,-1.0674367,1.3586177,-1.7188371,-0.70245296,0.89899856,-0.08889145,-1.5818963,-1.3354062,-1.3138912,-0.15098436,-0.5823888,-0.2825703,-0.25533712,-0.838197,-1.6438023,-0.91139543,-0.003389077,0.29535112,0.26542264
volume_sn_voxels_feature_11,-0.73009837,-0.89586085,0.1376809,-0.7383862,-0.2610377,-0.96536964,0.8818107,-0.14873894,0.78867453,-1.0677176,0.9562832,-0.6444926,0.7728383,-0.86573416,0.43874547,0.64122474,-0.22780247,-1.2370491,-0.7374811,-0.9302499,-0.10935701,-0.7105201,-0.02862699,-0.48930013,1.508593,0.37782404,-0.9450072,-0.55146736,0.17100514,-1.7025502
volume_sn_voxels_feature_12,-0.26178026,-0.09343208,-0.15157151,-0.20467815,0.33025134,-0.38287413,0.08869486,0.20265365,0.5190686,-1.0412326,-0.069894485,-0.37955314,0.34921008,0.06040144,-0.07890246,0.12550575,0.28437036,0.10635061,-0.1504681,-0.46492583,-0.23997329,-0.32067078,-1.0762911,-0.10832538,0.51045525,-1.08075,-0.26198903,0.56942815,-0.0778547,-1.1840342
volume_sn_voxels_feature_13,0.6616292,-0.19267772,0.36532676,-0.04542553,0.52150303,0.55682963,-0.17396067,0.37099397,0.14149044,0.4601584,-0.0020549982,-0.6680421,-0.23157212,0.5278813,-0.7306668,0.10952323,-0.072674155,0.80542153,-0.1640059,0.41071832,0.032556,-0.06110053,-0.6072823,0.6895032,-0.4028988,-1.4866604,0.22861692,0.24316345,-0.007418255,-1.8353528
volume_sn_voxels_feature_14,0.12064086,0.28255135,0.15798661,-0.012193681,0.1085011,0.48960078,-0.2731087,0.6448652,-0.44420722,0.50556535,-0.72624207,-0.5031751,0.48987383,0.47409996,-0.8508953,0.2265501,-0.017801078,0.8159831,-0.29729754,-1.1861054,0.08388075,0.026479635,-0.8565368,0.5104905,-0.32029894,-1.3427793,1.3683156,-0.058796905,0.34319058,-1.8446752
volume_sn_voxels_feature_15,1.0038285,-0.19615024,0.5227379,0.21421324,-0.12568693,0.8354289,0.48275924,0.10865818,0.044511903,1.0171959,0.602682,-0.075154826,-0.49737075,1.0993757,-0.42511186,0.28605348,-0.29034162,-0.3240846,0.46671402,1.122891,-0.3146845,-0.08283411,-0.0998493,0.7353028,-0.5604174,-2.192536,-0.92815155,0.8869545,-0.24414751,-1.2526377
volume_sn_voxels_feature_16,1.0123534,0.1878703,0.68718904,-0.27257538,-0.12690417,1.3281626,-0.47035268,0.26805004,-0.32374007,1.1696326,-0.2767163,-0.26298273,0.043611817,0.93647414,-1.2866441,0.22285236,-0.347397,0.106730044,-0.020515524,0.5370205,0.1435007,0.36176747,-0.4993443,0.46515855,-0.12877719,-1.3191752,0.12489038,-0.2809276,-0.4272197,-1.5963483
volume_sn_voxels_feature_17,0.88462627,-0.20806389,0.46867818,0.2777001,-0.32760185,0.9515578,0.60086536,0.1203176,0.01710164,0.37729514,0.7015659,0.39351466,0.11427013,0.85073096,0.12197174,-0.3489793,-0.010418351,-0.033724047,0.44596568,1.0593784,-0.7709002,-0.4148873,0.26437032,0.80281353,-0.17569554,-1.1046329,-1.0979505,1.00048,0.15872507,-1.5521467
volume_sn_voxels_feature_18,0.9799719,0.32143685,0.37924147,0.027245553,-0.10585473,1.289642,-0.45299405,0.6082878,-0.8847514,1.1233939,0.32872427,0.031857308,0.6747374,0.39258647,-0.79254705,0.05413319,-0.3130044,-0.22712292,-0.0016542122,0.97363454,-0.5040806,0.18005669,0.28173563,0.05236971,0.096264794,-2.0944805,-0.5417183,-0.24046445,-0.11705161,-1.2912761
