Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,0.17851412,-0.2096821,-0.48984614,-0.26566476,0.9670465,0.08965029,0.021398757,-0.67215043,0.33602795,0.37884986,-0.047869105,-0.031137064,0.1572952,-0.2752497,0.28479522,0.63856727,1.2891831,-0.34388444,1.1852214,-0.015831096,-0.42396998,0.30822146,1.4957168,-0.1502085,0.25431797,0.12783484,-0.62517625,-0.2207728,-1.0132066,0.030535748
volume_sn_voxels_feature_1,0.12968811,0.11852916,0.6827703,0.5323657,1.0800648,-0.8121814,0.5488793,-0.9782178,0.048208296,0.14772883,-0.12519877,0.06554146,-0.15172745,-0.4469415,0.21710347,0.82084304,1.3508772,-0.95503074,-0.64962596,0.088635005,-0.50201374,0.21613257,1.5867153,-0.030330267,0.23470843,-0.017178588,-0.16330379,-0.28826225,-1.0995805,0.16869184
volume_sn_voxels_feature_2,0.2741681,-0.15175763,-1.3507377,-0.68473655,-0.036801822,0.7280151,-0.9523168,-0.16622005,0.26941165,-0.007457427,-0.003631047,-0.19954692,0.2440144,0.32625067,0.52372384,-0.364992,0.68000084,0.09825943,1.1132947,0.08382253,0.1256611,0.17520091,1.4131299,-0.23438184,-0.31665978,-0.08598121,-0.46352428,0.22125266,0.0335022,-0.58365476
volume_sn_voxels_feature_3,0.5095484,0.27759954,-1.2737653,-0.097963795,0.052952502,0.14113553,-0.29138637,-0.263295,0.05987342,0.02783445,-0.2572994,-0.17403428,-0.106382616,0.8977195,0.122190565,-0.061421614,0.9657964,0.014301733,-0.5308521,-0.053866673,0.34035882,0.11062008,1.5791963,-0.12446174,-0.38639864,-0.070017435,0.27242386,-0.39954665,-0.1424498,-0.50702524
volume_sn_voxels_feature_4,0.4304168,0.9004589,-1.2813337,-0.31200597,-1.0751783,0.37185487,-0.6593502,0.19742513,-0.031252068,-0.08533317,-0.08095747,-0.9981904,-0.38469714,1.2358804,0.68206286,-1.1611829,-0.8983451,0.1379322,-0.6212958,-0.11860746,1.0137602,0.016537407,1.2304246,-0.39276809,-1.0497733,0.18715267,0.15220657,-0.44044453,0.34314257,-0.966831
volume_sn_voxels_feature_5,0.07405909,0.31196666,-1.3205224,0.26303622,0.8122698,0.81826276,-0.63433737,-0.3897352,0.8275173,0.27211577,-1.0758654,0.7198578,0.6941684,0.63554054,0.17949817,1.1175023,0.8453675,0.7779316,0.53077155,-0.6673398,-0.1089636,0.081875436,1.0939486,0.05661789,-0.6514475,-0.54511106,0.50373805,-1.191797,-0.0796172,-1.1451128
volume_sn_voxels_feature_6,0.2509152,-0.46973473,-1.3071351,-0.3694456,0.28984413,0.39375842,-0.6077261,-0.5199395,0.071705304,0.42112657,-0.9863188,-0.004745732,0.09987417,-0.66743463,0.17921908,0.9348519,0.29123354,0.1601901,0.674221,-0.20806988,-0.4804611,0.36225843,1.2334837,-0.5993027,-0.34717458,-0.5674784,-0.15721652,-1.2281697,0.4486958,-0.53751403
volume_sn_voxels_feature_7,0.5171991,0.41057438,-1.3431141,-0.30225775,0.92984617,0.6917784,0.27191818,-0.73456436,0.6247206,0.17747732,-1.0983957,0.24415612,0.99241775,0.5508656,-0.16478112,0.7736722,1.1246206,0.39969203,-0.70052683,0.7240504,-0.3943346,0.16080506,-0.11240935,0.2882364,0.049263246,0.090080865,0.6890215,-1.4325751,-0.21690486,-1.0590321
volume_sn_voxels_feature_8,0.12552142,0.10165201,-1.297194,-1.2284219,0.033687986,0.2890304,1.2236314,-0.20511347,0.053762,-0.68573004,-0.1456346,-0.57009625,0.09218409,-0.51099485,-0.297755,-0.28855827,0.33492512,-1.1292645,-0.1490524,1.0632218,-0.4109127,-0.092076644,0.25382927,0.55457056,0.4849175,-0.06280091,-0.66102636,-1.2965318,0.18608081,0.980312
volume_sn_voxels_feature_9,-0.66045856,0.28771147,-1.1413169,-1.2621133,0.038635697,0.26584476,0.93153954,0.44481957,0.01670396,-1.1192696,-0.2818522,-0.2056079,-0.35808745,-0.22783352,-0.06730917,-0.85305935,0.14966553,-1.0687505,0.66203624,0.7050776,-0.2793737,-0.14504355,0.08014703,1.3306775,0.3806284,-0.0069716186,-0.53882307,-1.2784426,0.20179877,1.1785471
