Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v73,3.0668674,0.6407263,7.848471,0.9772258,0.99598926
volume_sn_voxels::v74,0.9941375,0.1072155,5.907235,-1.9074713,0.64575833
volume_sn_voxels::v75,0.3475216,-0.057676915,-1.4875205,-5.436235,0.7008959
volume_sn_voxels::v76,0.15139061,0.35853028,4.6537657,11.015432,0.7793355
volume_sn_voxels::v77,-1.4071677,0.07569521,11.998704,3.2302625,0.70602167
volume_sn_voxels::v78,1.193079,0.14544082,15.970967,3.2562995,0.7618211
volume_sn_voxels::v79,-0.17045543,0.3834594,7.7966814,7.344635,0.94410574
volume_sn_voxels::v80,-1.7702147,-0.057664044,-3.1682382,-8.686318,0.7857797
volume_sn_voxels::v81,-2.2928505,-0.09780012,9.811958,-6.1698046,0.67838717
volume_sn_voxels::v82,-1.047174,-0.03898179,9.257823,10.558471,0.69822145
volume_sn_voxels::v83,-0.22106168,0.089345,-2.7604735,-2.2762914,0.7517851
volume_sn_voxels::v84,-1.5128528,0.36228514,1.6968575,-4.2236605,0.8158041
volume_sn_voxels::v85,3.1828735,0.07888508,10.796968,3.7527056,0.69963115
volume_sn_voxels::v86,-1.3369639,0.7527121,10.163768,4.464347,1.0151813
volume_sn_voxels::v87,0.8207307,-0.1465909,2.873893,-0.35504907,0.76345754
volume_sn_voxels::v88,0.093335405,-0.29924548,-1.0949914,-14.473931,0.7019916
volume_sn_voxels::v89,-1.2230875,0.018672895,1.4860951,-10.969726,0.8525914
volume_sn_voxels::v90,0.50018704,0.061453532,4.5831833,3.2745557,0.80439895
volume_sn_voxels::v91,-0.776176,-0.046198282,-7.936767,0.3114769,0.7270836
volume_sn_voxels::v92,-0.17173614,0.15931219,-1.6286907,1.0863087,0.7648661
volume_sn_voxels::v93,-3.9852214,0.38680443,-1.2095106,-7.542342,0.8574708
volume_sn_voxels::v94,-0.35861024,0.18300487,3.5786664,-0.3121236,0.9020785
volume_sn_voxels::v95,1.4914134,-0.039807994,-0.9324298,-11.677358,0.6939337
volume_sn_voxels::v96,1.1029552,0.0061933217,1.3978173,1.4926635,0.71681947
volume_sn_voxels::v97,-0.85021573,0.071742,4.2113595,0.20144905,0.89472705
volume_sn_voxels::v98,-1.9189086,0.17740437,2.650448,5.9329424,0.91273606
volume_sn_voxels::v99,-3.4819384,0.19823655,4.700447,2.2014213,1.0557597
volume_sn_voxels::v100,0.05832213,0.36696005,7.6594315,-4.1428285,0.9293367
volume_sn_voxels::v101,1.3390237,0.13345645,3.112461,-15.315224,0.8609313
volume_sn_voxels::v102,-3.9410636,0.05688312,7.815635,-10.560636,0.79216665
volume_sn_voxels::v103,-0.19552338,0.40301645,-0.7142367,-6.7098274,0.8428536
volume_sn_voxels::v104,-0.91252726,0.316178,-0.060761638,10.243741,0.90278536
volume_sn_voxels::v105,-1.635494,0.45309833,3.2491393,1.5505357,1.0476274
volume_sn_voxels::v106,1.2773232,0.09723068,7.510795,5.335995,0.92410946
volume_sn_voxels::v107,-3.4174647,0.11662176,0.28701574,2.8611932,0.9121796
volume_sn_voxels::v108,0.57336277,0.09177284,7.6086617,3.831193,1.0218477
volume_sn_voxels::v109,0.15750127,0.59726644,9.765697,-11.911614,1.3330858
volume_sn_voxels::v110,-0.116847984,-0.033179317,6.2953596,-0.13291648,0.7947295
volume_sn_voxels::v111,-1.7172438,0.55196714,10.6235285,-4.472471,0.7959338
volume_sn_voxels::v112,1.2158325,0.51400775,0.6752806,7.020535,0.9027695
volume_sn_voxels::v113,-1.4445052,0.49770814,4.3274646,-13.91837,0.9991506
volume_sn_voxels::v114,-0.25127536,0.43534312,-3.8446527,-1.5530816,1.0310462
volume_sn_voxels::v115,-0.4508334,0.004958386,3.6923125,7.506962,0.8142119
volume_sn_voxels::v116,0.9782074,0.07186648,10.333811,14.4541,0.88405764
volume_sn_voxels::v117,0.14741105,-0.30686793,2.543683,-5.4841943,0.6309981
volume_sn_voxels::v118,1.9619789,0.26453876,7.612371,5.776403,0.83543897
volume_sn_voxels::v119,0.47109303,0.9485166,3.9535105,-5.6753244,0.89260066
volume_sn_voxels::v120,-0.102646105,0.68935466,6.0400147,13.151771,0.88533175
volume_sn_voxels::v121,0.6400666,0.51782703,-0.58330655,6.66209,0.9280896
volume_sn_voxels::v122,-0.6428875,0.38268977,-0.8059214,-10.196259,0.9670406
volume_sn_voxels::v123,-0.23421611,0.20467937,9.6945715,0.84945214,0.81681985
volume_sn_voxels::v124,-0.42413852,-0.20812495,5.2867556,-2.1741538,0.7077618
volume_sn_voxels::v125,0.7396245,0.52725625,2.737963,-3.1897886,0.73409915
volume_sn_voxels::v126,-1.4232142,0.54638666,-5.349899,-0.43499145,0.89730185
volume_sn_voxels::v127,-3.735491,0.3548329,-9.731488,3.7847219,0.77601576
volume_sn_voxels::v128,-0.82856643,0.1575439,8.14442,-4.414379,0.840327
volume_sn_voxels::v129,-3.5953128,-0.075946555,-2.6470263,6.962084,0.1255306
volume_sn_voxels::v130,2.2368233,-0.21692197,2.0261424,-1.2620556,0.14806332
volume_sn_voxels::v131,0.6864156,1.0772914,-1.1558608,4.949443,0.8729808
volume_sn_voxels::v132,-2.0570114,0.72414947,3.657396,-0.91605204,0.7293701
volume_sn_voxels::v133,1.5227706,0.6512628,6.0132008,3.6449401,0.7185613
volume_sn_voxels::v134,-1.445915,0.57010037,-0.44223857,2.1723902,0.6497091
volume_sn_voxels::v135,0.36966783,0.07608949,2.1098876,3.1958709,0.7208339
volume_sn_voxels::v136,0.597142,0.45505357,6.986213,-1.6469864,0.7520757
volume_sn_voxels::v137,0.5713974,0.7852049,5.9951425,5.005932,0.84432405
volume_sn_voxels::v138,0.5627899,0.13467735,10.5332775,1.0329568,0.7132881
volume_sn_voxels::v139,0.4420582,0.17820702,11.2967,-4.714403,0.7243336
volume_sn_voxels::v140,0.10987932,0.2543016,5.4009576,8.678047,0.9492388
volume_sn_voxels::v141,0.097790904,0.53484535,-0.22393762,0.84267354,0.8707002
volume_sn_voxels::v142,1.6948423,0.05734809,7.7897854,-3.081029,0.7647658
volume_sn_voxels::v143,1.3547909,0.044298865,4.208518,3.5351481,0.73343325
