Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
rigidity_left,0.15139453,0.040064953,0.06966609,0.0132971555,-0.1134413,0.04275987,0.29012176,0.10080755,0.4346628,0.15848346,0.16585456,-0.054836933,0.17905451,-0.28945747,0.043274045,-0.09884309,0.04553678,0.17761508,0.17158043,-0.0008445221
rigidity_right,-0.10303285,-0.41412002,-0.09584357,-0.0654025,-0.15033522,0.08266517,0.041290715,-0.1774232,0.0005938232,-0.20992209,-0.16961257,-0.06475951,-0.14773305,0.17684118,0.082752705,0.25627154,0.19053976,-0.011209303,-0.4055732,0.30588406
tremor_rest_left,-0.22937001,0.09960494,0.10539231,-0.15803757,-0.059945196,-0.17570649,0.12017329,0.16742198,0.031564873,0.52814424,-0.038936734,-0.3034582,-0.20007105,0.19581288,-0.3427301,-0.11089018,-0.12266683,0.1569681,0.21858664,-0.118533716
tremor_rest_right,-0.09011656,-0.0996108,0.07113722,0.2340314,-0.017765032,0.03134684,-0.14607388,0.0141604645,0.05991052,-0.20948254,0.024403641,-0.27302104,-0.20696415,0.32121846,-0.007700691,0.22592255,0.0048354673,0.0714409,0.25686902,-0.095591314
tremor_postural_left,-0.16172187,-0.035950024,0.095950544,-0.16676673,-0.15163347,0.13803618,0.15126425,0.05373081,0.14967388,0.16432026,-0.08551113,0.04995517,-0.29503196,-0.14610285,-0.5313042,-0.13628754,0.07487733,-0.014964377,-0.1022711,0.047857147
tremor_postural_right,-0.25118077,-0.12411245,-0.010470169,0.11693315,-0.07423248,-0.015219634,-0.20490697,-0.000998233,0.040585253,-0.22055352,-0.27125916,-0.15343937,-0.11351406,0.31932247,-0.025046315,0.23594801,-0.032129105,-0.026070088,-0.17033494,-0.006712701
bradykinesia_speed_left,0.35093385,0.02227686,0.08084262,-0.07432544,-0.16094863,-0.14356513,0.18250741,0.013253552,-0.13539575,0.512368,-0.20244208,-0.13906997,0.27215013,0.08017485,0.30180845,-0.13109733,-0.019247979,0.016323142,0.098502696,-0.104547486
bradykinesia_speed_right,0.14271589,-0.07621567,-0.060828228,-0.67128515,0.16054156,-0.02277439,-0.16514333,-0.16241878,-0.24230888,-0.21030502,0.13524094,0.055924613,0.11954309,0.10020697,0.155927,0.21936467,0.32009882,-0.12183203,0.12659048,0.30914938
bradykinesia_amplitude_left,0.4034536,0.034972038,0.20200102,0.007392445,0.079758234,0.022919409,-0.14423297,0.18326698,0.059645414,0.227075,-0.02382118,-0.13474192,0.16134407,-0.07276697,0.22111377,-0.33887032,-0.109920174,0.10089885,0.2352778,-0.10929079
bradykinesia_amplitude_right,0.24420786,-0.3567744,0.022164553,-0.52132535,0.01915972,-0.018266696,-0.095745556,-0.18689713,-0.12527278,-0.110471174,0.14354438,0.4658793,-0.11457902,0.02312363,-0.057958756,0.13829157,0.24974833,-0.083769165,-0.23827308,-0.033889383
bradykinesia_rhythm_left,0.42779267,-0.026686486,0.1084863,-0.05340767,0.15858933,0.12416033,0.10008563,0.053899277,0.11978259,0.0560358,0.018221462,0.044697545,0.18257111,-0.2200106,0.3179851,-0.018380463,-0.2344791,0.048655517,-0.029039409,-0.23963267
bradykinesia_rhythm_right,0.30057928,-0.4343938,0.15532438,0.03529743,-0.1790594,0.2884912,0.024711905,-0.19150497,-0.043291066,-0.13180834,0.19405392,0.2844903,0.41567802,-0.047325015,0.3792891,0.2826031,0.17151506,-0.40983635,-0.08821538,0.29928577
mirrormovement_left,-0.13190646,-0.80961585,-0.9044346,-0.054270316,-0.025169292,0.136714,-0.4316706,-0.45233056,-0.090292,0.020909302,0.17488848,-0.33990988,-0.08303644,-0.1350542,0.18296131,1.7865624,0.10671632,0.0686535,-0.44688484,1.5576952
mirrormovement_right,0.24376039,0.74932396,0.24281791,-0.29691905,0.211858,-0.094564475,-0.042466678,0.1286376,-0.05647672,0.71904916,-0.14758207,-0.97506404,0.21567446,-0.5209632,0.12603918,-0.2599436,-0.4560701,0.099221766,-0.3757186,0.16206613
