Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,4,100.0,Robust,0.9984342455863953
1,4,100.0,Robust,0.9984337240457535
2,4,100.0,Robust,0.9984350949525833
3,4,100.0,Robust,0.9984343945980072
4,4,100.0,Robust,0.9984351098537445
