factor_index,median_abs_loading,mean_abs_loading,std_abs_loading,ci_lower,ci_upper,consistently_nonzero_count,nonzero_pct,is_effective
0,0.7083131074905396,0.7032411694526672,0.06184123456478119,0.7062664031982422,0.7116633653640747,1797,0.9939,True
1,0.532820999622345,0.527940034866333,0.04632897302508354,0.5286223888397217,0.5344281941652298,1800,0.9956,True
2,1.3036669492721558,1.2937942743301392,0.11404415220022202,1.301847332715988,1.3063335478305818,1798,0.9945,True
3,0.06892842799425125,0.06840476393699646,0.005988425109535456,0.06887300312519073,0.06899702548980713,1797,0.9939,True
4,0.8539261221885681,0.8483483791351318,0.07514632493257523,0.8450964689254761,0.8666624695062637,1798,0.9945,True
