factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,2.0847,0.4403,0.3168,0.3978,526,0.9813,True
1,2.2847,0.46,0.3132,0.4348,528,0.9851,True
2,1.8778,0.3756,0.2441,0.3649,525,0.9795,True
3,2.1551,0.4523,0.3082,0.4341,517,0.9646,True
4,3.345,0.4646,0.3154,0.4643,522,0.9739,True
5,1.9742,0.4603,0.3203,0.4236,524,0.9776,True
6,2.1151,0.4569,0.3323,0.4074,527,0.9832,True
7,2.3308,0.4605,0.3141,0.4435,522,0.9739,True
8,2.2857,0.4591,0.292,0.4609,525,0.9795,True
9,2.5668,0.5325,0.35,0.5171,526,0.9813,True
10,2.3151,0.4316,0.2985,0.4186,527,0.9832,True
11,1.8194,0.5,0.4024,0.3999,527,0.9832,True
12,1.7107,0.3557,0.2442,0.3553,527,0.9832,True
13,2.0258,0.4079,0.274,0.3821,522,0.9739,True
14,2.2547,0.499,0.3737,0.4363,531,0.9907,True
15,2.3192,0.545,0.3544,0.5119,524,0.9776,True
16,2.1529,0.4246,0.298,0.4165,520,0.9701,True
17,2.1336,0.4702,0.3095,0.4467,528,0.9851,True
18,1.9366,0.3997,0.2977,0.367,522,0.9739,True
19,2.4572,0.4462,0.2829,0.4624,529,0.9869,True
20,1.5583,0.5187,0.4242,0.3823,527,0.9832,True
21,2.0947,0.5374,0.3844,0.4465,526,0.9813,True
22,2.0357,0.5397,0.3683,0.4901,528,0.9851,True
23,2.2587,0.4558,0.3097,0.4347,526,0.9813,True
24,1.7878,0.3907,0.27,0.3755,519,0.9683,True
25,2.4879,0.4968,0.3416,0.4785,525,0.9795,True
26,1.7888,0.5545,0.4901,0.3997,531,0.9907,True
27,2.0614,0.564,0.4297,0.4711,522,0.9739,True
28,2.0767,0.441,0.3065,0.4181,527,0.9832,True
29,2.5392,0.3659,0.2489,0.3882,522,0.9739,True
30,1.9641,0.466,0.3158,0.4332,527,0.9832,True
31,1.9407,0.4712,0.3449,0.4232,522,0.9739,True
32,3.1479,0.5106,0.3273,0.5008,528,0.9851,True
33,2.3772,0.4521,0.3239,0.4116,529,0.9869,True
34,2.1516,0.5463,0.4217,0.4366,530,0.9888,True
35,2.0452,0.3778,0.2646,0.3466,523,0.9757,True
36,1.7777,0.4205,0.3072,0.3703,523,0.9757,True
37,2.5839,0.5871,0.3969,0.5416,527,0.9832,True
38,2.3768,0.5477,0.4217,0.4752,527,0.9832,True
39,1.928,0.4387,0.2945,0.3869,527,0.9832,True
40,2.3021,0.4241,0.2829,0.4255,528,0.9851,True
41,2.4885,0.3431,0.2424,0.3685,524,0.9776,True
42,2.1337,0.3852,0.2805,0.3516,532,0.9925,True
43,1.8631,0.4986,0.3982,0.392,532,0.9925,True
44,1.9562,0.3907,0.2602,0.395,524,0.9776,True
45,2.2424,0.4657,0.2922,0.4869,527,0.9832,True
46,2.0489,0.4647,0.3153,0.4299,528,0.9851,True
47,1.8734,0.3917,0.294,0.3445,526,0.9813,True
48,1.9287,0.4926,0.371,0.4303,532,0.9925,True
49,2.1591,0.4418,0.3117,0.4144,524,0.9776,True
