Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,2,50.0,Unstable,0.5770982280373573
1,1,25.0,Unstable,0.41329749673604965
2,1,25.0,Unstable,0.4449685774743557
3,1,25.0,Unstable,0.6703865006566048
4,1,25.0,Unstable,0.6561223790049553
5,1,25.0,Unstable,0.42524565011262894
6,1,25.0,Unstable,0.5463321655988693
7,1,25.0,Unstable,0.5613221749663353
8,1,25.0,Unstable,0.6703101694583893
9,1,25.0,Unstable,0.5230458714067936
10,1,25.0,Unstable,0.4051197487860918
11,1,25.0,Unstable,0.5704395174980164
12,1,25.0,Unstable,0.696815088391304
13,2,50.0,Unstable,0.6556720770895481
14,1,25.0,Unstable,0.5940924510359764
15,3,75.0,Robust,0.7550573125481606
16,1,25.0,Unstable,0.4679542966187
17,1,25.0,Unstable,0.6742721535265446
18,1,25.0,Unstable,0.6591060683131218
19,1,25.0,Unstable,0.5182616785168648
20,1,25.0,Unstable,0.4962410628795624
21,2,50.0,Unstable,0.6346007771790028
22,1,25.0,Unstable,0.5663525983691216
23,1,25.0,Unstable,0.5917069092392921
24,1,25.0,Unstable,0.5112741589546204
25,2,50.0,Unstable,0.5994713846594095
26,1,25.0,Unstable,0.45280586928129196
27,1,25.0,Unstable,0.6190703473985195
28,2,50.0,Unstable,0.665375679731369
29,1,25.0,Unstable,0.5923995357006788
30,1,25.0,Unstable,0.6090378984808922
31,1,25.0,Unstable,0.4701957292854786
32,1,25.0,Unstable,0.658936582505703
33,1,25.0,Unstable,0.6466690450906754
34,1,25.0,Unstable,0.5837840735912323
35,1,25.0,Unstable,0.49757692217826843
36,1,25.0,Unstable,0.5533409044146538
37,2,50.0,Unstable,0.7693164944648743
38,1,25.0,Unstable,0.6605421043932438
39,1,25.0,Unstable,0.5190028175711632
40,2,50.0,Unstable,0.5138509646058083
41,2,50.0,Unstable,0.7573652639985085
42,1,25.0,Unstable,0.520621944218874
43,1,25.0,Unstable,0.5713399834930897
44,1,25.0,Unstable,0.5280939936637878
45,1,25.0,Unstable,0.5903684869408607
46,2,50.0,Unstable,0.8141971528530121
47,1,25.0,Unstable,0.5205649323761463
48,1,25.0,Unstable,0.4917326755821705
49,1,25.0,Unstable,0.5270178318023682
