Patient ID,Factor_15
Subject_0,-1.197886347770691
Subject_1,-1.7584538459777832
Subject_2,-0.510638952255249
Subject_3,0.4891228675842285
Subject_4,0.31902602314949036
Subject_5,-1.9157990217208862
Subject_6,-0.39838674664497375
Subject_7,-0.21442703902721405
Subject_8,0.506912887096405
Subject_9,0.015829915180802345
Subject_10,0.4514271318912506
Subject_11,0.6370264887809753
Subject_12,-1.0259652137756348
Subject_13,0.8941666483879089
Subject_14,0.5398944020271301
Subject_15,-1.8210891485214233
Subject_16,0.8283319473266602
Subject_17,0.5777385830879211
Subject_18,0.5345454812049866
Subject_19,-0.48626789450645447
Subject_20,0.48018383979797363
Subject_21,1.1445492506027222
Subject_22,0.8783040642738342
Subject_23,-0.6680397987365723
Subject_24,0.5323936343193054
Subject_25,0.8542161583900452
Subject_26,-0.6683864593505859
Subject_27,-0.624957799911499
Subject_28,1.1379483938217163
Subject_29,0.08650925010442734
Subject_30,0.762977659702301
Subject_31,0.5686730146408081
Subject_32,-0.9719130396842957
Subject_33,0.4961896240711212
Subject_34,-0.7251150608062744
Subject_35,0.2363988161087036
Subject_36,-0.5864516496658325
Subject_37,0.6533041596412659
Subject_38,-0.009326796047389507
Subject_39,0.8078534007072449
Subject_40,-0.06683677434921265
Subject_41,-0.07342074066400528
Subject_42,-1.8006892204284668
Subject_43,0.36001384258270264
Subject_44,-1.6211533546447754
Subject_45,1.0916322469711304
Subject_46,-0.5258890390396118
Subject_47,0.4788103401660919
Subject_48,-0.23904944956302643
Subject_49,-0.10262931138277054
Subject_50,0.6333369612693787
Subject_51,-0.8404353260993958
Subject_52,0.8386502265930176
Subject_53,-0.852658748626709
Subject_54,0.3572443723678589
Subject_55,0.5841882824897766
Subject_56,1.5362619161605835
Subject_57,0.32393142580986023
Subject_58,-1.3094545602798462
Subject_59,0.9638379216194153
Subject_60,0.33429574966430664
Subject_61,0.17197509109973907
Subject_62,-1.7281101942062378
Subject_63,-2.1429226398468018
Subject_64,-1.4952219724655151
Subject_65,-0.9180639386177063
Subject_66,0.06405385583639145
Subject_67,1.4803876876831055
Subject_68,1.3721237182617188
Subject_69,-0.3026343882083893
Subject_70,-0.7125453948974609
Subject_71,0.6575090289115906
Subject_72,0.6773868203163147
Subject_73,-0.8167186379432678
Subject_74,-0.2519979178905487
Subject_75,-0.6280494332313538
Subject_76,-0.8055492043495178
Subject_77,0.76996248960495
Subject_78,2.297412157058716
Subject_79,-0.7466046214103699
Subject_80,-0.16953778266906738
Subject_81,1.1764315366744995
Subject_82,0.7769163250923157
Subject_83,0.5442693829536438
Subject_84,0.37009015679359436
Subject_85,1.1058651208877563
