Feature,Factor_15
volume_sn_voxels_feature_130,0.045828770846128464
volume_sn_voxels_feature_131,-0.028226202353835106
volume_sn_voxels_feature_132,-0.016967525705695152
volume_sn_voxels_feature_133,-0.06064535304903984
volume_sn_voxels_feature_134,0.08260824531316757
volume_sn_voxels_feature_135,-0.09696706384420395
volume_sn_voxels_feature_136,-0.19571296870708466
volume_sn_voxels_feature_137,0.22193337976932526
volume_sn_voxels_feature_138,0.07509879767894745
volume_sn_voxels_feature_139,0.45695963501930237
volume_sn_voxels_feature_140,0.07964134961366653
volume_sn_voxels_feature_141,0.4679506719112396
volume_sn_voxels_feature_142,-0.2050851583480835
volume_sn_voxels_feature_143,0.3164893686771393
volume_sn_voxels_feature_144,0.335563987493515
volume_sn_voxels_feature_145,0.00877266377210617
volume_sn_voxels_feature_146,-0.08356919139623642
volume_sn_voxels_feature_147,-0.009373764507472515
volume_sn_voxels_feature_148,-0.2716849148273468
volume_sn_voxels_feature_149,-0.2912406623363495
volume_sn_voxels_feature_150,-0.02549235336482525
volume_sn_voxels_feature_151,-0.3049350380897522
volume_sn_voxels_feature_152,-0.2535974979400635
volume_sn_voxels_feature_153,-0.10947933048009872
volume_sn_voxels_feature_154,0.1969636231660843
volume_sn_voxels_feature_155,0.004163642879575491
volume_sn_voxels_feature_156,-0.2230898141860962
volume_sn_voxels_feature_157,-0.11754939705133438
volume_sn_voxels_feature_158,-0.3003755509853363
volume_sn_voxels_feature_159,0.0515790618956089
volume_sn_voxels_feature_160,-0.07264406234025955
volume_sn_voxels_feature_161,0.16839544475078583
volume_sn_voxels_feature_162,0.15173906087875366
volume_sn_voxels_feature_163,0.05162831023335457
volume_sn_voxels_feature_164,-0.1877487748861313
volume_sn_voxels_feature_165,0.09926947206258774
volume_sn_voxels_feature_166,0.2102028876543045
volume_sn_voxels_feature_167,0.1029718741774559
volume_sn_voxels_feature_168,-0.03328299894928932
volume_sn_voxels_feature_169,-0.10464230179786682
volume_sn_voxels_feature_170,0.3571714460849762
volume_sn_voxels_feature_171,0.2875434458255768
volume_sn_voxels_feature_172,0.37156394124031067
volume_sn_voxels_feature_173,0.24014194309711456
volume_sn_voxels_feature_174,0.08562687784433365
volume_sn_voxels_feature_175,-0.3597601354122162
volume_sn_voxels_feature_176,-0.1651325821876526
volume_sn_voxels_feature_177,-0.616101861000061
volume_sn_voxels_feature_178,0.0559743195772171
volume_sn_voxels_feature_179,-0.18950767815113068
volume_sn_voxels_feature_180,-0.41447851061820984
volume_sn_voxels_feature_181,-0.11957231163978577
volume_sn_voxels_feature_182,0.21057777106761932
volume_sn_voxels_feature_183,0.0005337893962860107
volume_sn_voxels_feature_184,-0.08426851034164429
volume_sn_voxels_feature_185,-0.32573840022087097
volume_sn_voxels_feature_186,0.008759061805903912
volume_sn_voxels_feature_187,0.3858809471130371
