Subject_ID,Factor_1,Factor_2
Subject_1,0.06939045,0.47715312
Subject_2,-1.2101849,1.1202649
Subject_3,-0.2860375,1.3787242
Subject_4,1.6203268,0.55315316
Subject_5,-0.16916746,0.20874497
Subject_6,0.3095549,-0.30840698
Subject_7,0.051417,-0.31536138
Subject_8,-0.8427213,0.17898895
Subject_9,-0.07411034,2.2603734
Subject_10,-0.2957905,1.9118592
Subject_11,-0.95661473,0.29311925
Subject_12,-1.5916158,1.524208
Subject_13,-0.93282026,1.8947538
Subject_14,1.6451215,1.2165742
Subject_15,1.1917797,-0.3647521
Subject_16,-0.1412869,-1.3482655
Subject_17,-1.4692035,-0.6903998
Subject_18,-4.5862775,-1.2117784
Subject_19,-1.9670228,-1.4430319
Subject_20,-0.6198409,0.99662906
Subject_21,-0.4851525,1.3620125
Subject_22,-0.08654774,0.8256825
Subject_23,-0.18646222,-1.0834253
Subject_24,0.52745587,0.9181057
Subject_25,0.56934357,1.0858471
Subject_26,0.4680956,-1.1421363
Subject_27,0.05669742,0.7921026
Subject_28,-0.047569457,-1.1458377
Subject_29,0.3208023,0.07868
Subject_30,0.9561888,0.11312623
Subject_31,-0.010661325,0.98569727
Subject_32,-0.6287319,-0.33112976
Subject_33,0.9799125,-0.5264024
Subject_34,-0.49882606,-0.8329554
Subject_35,0.5097872,-0.8235374
Subject_36,-0.5020668,1.0733231
Subject_37,0.007003703,0.5916639
Subject_38,-1.5938823,1.5882355
Subject_39,-0.22776927,-0.81694984
Subject_40,-0.082357824,0.50672406
Subject_41,0.89598674,-0.6587067
Subject_42,0.016318021,1.4902864
Subject_43,-0.8056571,0.69217837
Subject_44,-0.48844427,0.27846727
Subject_45,-0.61400163,0.5231338
Subject_46,-2.4248483,1.3008293
Subject_47,1.6202202,-0.25437486
Subject_48,-0.5142111,1.181874
Subject_49,-2.1788566,-1.1637653
Subject_50,1.3319312,-1.5604358
Subject_51,1.8808875,-0.9156619
Subject_52,1.0515802,0.52025664
Subject_53,0.33483243,-0.80983186
Subject_54,1.452492,-1.2942976
Subject_55,-0.57339436,1.5302192
Subject_56,-0.060422067,-0.49584824
Subject_57,-0.37441826,-0.2984192
Subject_58,-0.3577707,1.7363905
Subject_59,0.57636184,-1.1873951
Subject_60,-0.026455436,0.6984945
Subject_61,-0.9260539,1.0196967
Subject_62,-0.52193165,-1.6085421
Subject_63,0.45271057,-0.14963435
Subject_64,-0.021335734,0.81101364
Subject_65,0.440701,-0.6605972
Subject_66,-0.18415935,-1.154227
Subject_67,0.50732934,-0.804401
Subject_68,-0.09726273,1.0618634
Subject_69,-2.2788932,-2.5141141
Subject_70,0.7580372,0.5638599
Subject_71,0.42110825,-0.17112106
Subject_72,0.51065165,1.7225647
Subject_73,0.39192882,-1.6097065
Subject_74,2.0018501,0.53664565
Subject_75,-0.005286919,0.9529161
Subject_76,-0.7701461,1.1873013
Subject_77,1.3138843,1.1385665
Subject_78,0.1123316,-0.19346985
Subject_79,0.027550224,-2.2660425
Subject_80,-1.8651206,2.774552
Subject_81,-0.14013493,0.99374807
Subject_82,0.37060544,-1.1233848
Subject_83,1.1753227,-1.1368215
Subject_84,-0.95102656,1.8741276
Subject_85,-0.3905176,2.0618465
Subject_86,-0.5559397,-0.41624206
