Feature,Factor_14,Factor_16,Factor_21,Factor_22,Factor_24,Factor_33
volume_sn_voxels_feature_0,-0.8069641590118408,-0.4001375734806061,0.16637490689754486,0.3888714611530304,0.8125585913658142,-0.08051525801420212
volume_sn_voxels_feature_1,-0.015674501657485962,-0.21646003425121307,-0.5351654887199402,-0.6742436289787292,-0.02371164970099926,-0.3364548683166504
volume_sn_voxels_feature_2,-0.7254449725151062,-0.5003976821899414,1.0733444690704346,0.0017480453243479133,0.5821365118026733,-0.5610129833221436
volume_sn_voxels_feature_3,-0.3208651840686798,-0.38537082076072693,0.1454746574163437,-0.43538713455200195,-0.34021297097206116,-0.5584557056427002
volume_sn_voxels_feature_4,-0.13759540021419525,0.20445699989795685,0.689736545085907,-0.348343163728714,-0.8303935527801514,-1.1872202157974243
volume_sn_voxels_feature_5,0.45717954635620117,-0.5459781289100647,1.0926889181137085,-0.565083384513855,0.04166019335389137,-0.6984596252441406
volume_sn_voxels_feature_6,0.08235027641057968,-0.1729053258895874,1.0108401775360107,0.3587273359298706,0.28589949011802673,-0.5797359943389893
volume_sn_voxels_feature_7,0.22400756180286407,-0.23203320801258087,0.4297913610935211,0.0635242760181427,0.18443451821804047,-0.2867971956729889
volume_sn_voxels_feature_8,-0.237718403339386,0.14361347258090973,-0.6318625807762146,-0.015341679565608501,-0.26117098331451416,0.4527300298213959
volume_sn_voxels_feature_9,0.3419553339481354,0.3334251642227173,-0.3468550443649292,-0.4670243263244629,-0.09611531347036362,0.28407803177833557
volume_sn_voxels_feature_10,0.5648269057273865,-0.07127135246992111,0.28358376026153564,-0.9910041689872742,0.6386224627494812,-0.24555085599422455
volume_sn_voxels_feature_11,0.3044801950454712,0.5191260576248169,-0.6597928404808044,0.28981855511665344,0.5569029450416565,0.700605571269989
volume_sn_voxels_feature_12,0.32834628224372864,0.10983064025640488,-0.5643287897109985,0.42294788360595703,0.08383651822805405,0.8918566107749939
volume_sn_voxels_feature_13,0.35009339451789856,0.2632792890071869,0.3919466733932495,0.3608214855194092,-0.2538050711154938,0.3728182315826416
volume_sn_voxels_feature_14,0.6679319739341736,0.161621555685997,-0.4055325984954834,-0.2290135622024536,-1.178951382637024,0.4669118821620941
volume_sn_voxels_feature_15,0.25884363055229187,-0.16459129750728607,0.13374216854572296,-0.09315841645002365,0.37283992767333984,0.33228304982185364
volume_sn_voxels_feature_16,0.3431346118450165,0.7676209807395935,0.23526673018932343,0.05755119398236275,-0.7493897080421448,-0.17044685781002045
volume_sn_voxels_feature_17,-0.3514461815357208,-0.2368522435426712,-0.5515870451927185,-0.05698081851005554,0.06119556725025177,-0.03752937540411949
volume_sn_voxels_feature_18,-0.2667170763015747,0.7578771710395813,-0.6615214943885803,0.09522692114114761,-0.6766331195831299,-0.16036926209926605
volume_sn_voxels_feature_19,-0.554977536201477,-0.5013576745986938,-0.8780733942985535,0.17325513064861298,0.06632357090711594,0.37933647632598877
volume_sn_voxels_feature_20,-0.8306019902229309,0.7135090827941895,-1.2047958374023438,0.10428351163864136,-0.557243287563324,0.24602074921131134
volume_sn_voxels_feature_21,-0.5353482961654663,-0.4544481933116913,-0.9195609092712402,-0.24931490421295166,0.10041926056146622,0.48667994141578674
volume_sn_voxels_feature_22,-0.2053573578596115,-0.20388610661029816,-0.2946082651615143,-0.07337725907564163,-0.18121741712093353,0.4783107340335846
volume_sn_voxels_feature_23,0.14333376288414001,-0.33322229981422424,0.21133975684642792,-0.25424090027809143,0.6421619653701782,-0.06300787627696991
volume_sn_voxels_feature_24,-0.6238860487937927,-0.30644893646240234,0.3279435336589813,-0.4936024844646454,0.2913353145122528,-0.49108919501304626
volume_sn_voxels_feature_25,1.2860512733459473,-0.1349087804555893,-0.6712436079978943,0.2275279015302658,-0.626137912273407,1.1416329145431519
