factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.7509,0.4224,0.2943,0.3656,528,0.9851,True
1,1.8761,0.4101,0.2763,0.3798,526,0.9813,True
2,2.0128,0.4452,0.2981,0.4318,525,0.9795,True
3,1.9315,0.5393,0.3952,0.4626,529,0.9869,True
4,1.6066,0.3369,0.2361,0.3266,526,0.9813,True
5,1.9335,0.4121,0.2796,0.3988,526,0.9813,True
6,1.6891,0.5215,0.391,0.4307,532,0.9925,True
7,2.1776,0.3999,0.2527,0.4037,517,0.9646,True
8,1.8511,0.4852,0.3425,0.4145,528,0.9851,True
9,1.7796,0.4283,0.3103,0.382,523,0.9757,True
10,2.1934,0.4918,0.2926,0.5078,523,0.9757,True
11,2.0443,0.3919,0.2666,0.3919,527,0.9832,True
12,1.6841,0.3502,0.2334,0.3468,519,0.9683,True
13,1.7329,0.3928,0.2778,0.3586,524,0.9776,True
14,2.314,0.5404,0.3597,0.474,530,0.9888,True
15,1.5979,0.429,0.277,0.4016,525,0.9795,True
16,1.7116,0.435,0.3417,0.3546,520,0.9701,True
17,1.8146,0.6128,0.5366,0.4285,525,0.9795,True
18,1.7993,0.4048,0.2434,0.4158,521,0.972,True
19,2.4197,0.453,0.3126,0.4131,526,0.9813,True
20,2.2065,0.3545,0.2237,0.378,524,0.9776,True
21,1.7097,0.4023,0.2681,0.3926,518,0.9664,True
22,1.9881,0.3906,0.2536,0.4112,522,0.9739,True
23,1.878,0.2873,0.1831,0.3341,525,0.9795,True
24,2.1232,0.5231,0.3366,0.4906,530,0.9888,True
25,2.1142,0.3975,0.2524,0.4076,524,0.9776,True
26,1.7414,0.3886,0.2854,0.3627,527,0.9832,True
27,1.9638,0.4767,0.3818,0.3811,526,0.9813,True
28,2.1033,0.4559,0.2772,0.4617,527,0.9832,True
29,1.8202,0.4109,0.2701,0.4104,524,0.9776,True
30,1.7722,0.406,0.2756,0.3922,530,0.9888,True
31,1.9403,0.418,0.2695,0.4093,517,0.9646,True
32,1.5105,0.4075,0.3042,0.3416,528,0.9851,True
33,2.173,0.5647,0.4171,0.4752,529,0.9869,True
34,1.9528,0.4444,0.2692,0.448,527,0.9832,True
35,1.8742,0.4343,0.2963,0.407,528,0.9851,True
36,1.8967,0.391,0.2643,0.3846,522,0.9739,True
37,2.1986,0.3836,0.2493,0.4087,526,0.9813,True
38,2.1026,0.4332,0.2528,0.4687,525,0.9795,True
39,1.6685,0.4508,0.3244,0.3846,529,0.9869,True
40,1.8422,0.432,0.3148,0.3782,526,0.9813,True
41,2.0844,0.3591,0.2513,0.3498,524,0.9776,True
42,1.8877,0.4297,0.2946,0.398,527,0.9832,True
43,2.4372,0.4008,0.2632,0.4004,527,0.9832,True
44,1.8452,0.4409,0.2954,0.4053,528,0.9851,True
45,1.6968,0.4595,0.3247,0.4041,524,0.9776,True
46,2.1906,0.4377,0.2708,0.4497,522,0.9739,True
47,2.0666,0.3534,0.2388,0.3547,524,0.9776,True
48,2.1031,0.4771,0.3493,0.4235,524,0.9776,True
49,2.6104,0.441,0.3055,0.4232,524,0.9776,True
