Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,1,25.0,Unstable,0.5798548609018326
1,1,25.0,Unstable,0.6156095117330551
2,1,25.0,Unstable,0.523243322968483
3,2,50.0,Unstable,0.7141658887267113
4,1,25.0,Unstable,0.6171898618340492
5,2,50.0,Unstable,0.6862738132476807
6,1,25.0,Unstable,0.5961638875305653
7,1,25.0,Unstable,0.4028153344988823
8,1,25.0,Unstable,0.6499360613524914
9,2,50.0,Unstable,0.7354906275868416
10,2,50.0,Unstable,0.7796480655670166
11,1,25.0,Unstable,0.3683286961168051
12,1,25.0,Unstable,0.5549112521111965
13,1,25.0,Unstable,0.5033817999064922
14,3,75.0,Robust,0.76405368745327
15,1,25.0,Unstable,0.5259487368166447
16,3,75.0,Robust,0.855467900633812
17,2,50.0,Unstable,0.5813396982848644
18,1,25.0,Unstable,0.4389616660773754
19,2,50.0,Unstable,0.8505131900310516
20,1,25.0,Unstable,0.5721141695976257
21,3,75.0,Robust,0.72919587418437
22,3,75.0,Robust,0.7465790361166
23,2,50.0,Unstable,0.6445074416697025
24,3,75.0,Robust,0.7804216369986534
25,1,25.0,Unstable,0.7273707166314125
26,1,25.0,Unstable,0.504494920372963
27,1,25.0,Unstable,0.6428246349096298
28,2,50.0,Unstable,0.7102072089910507
29,2,50.0,Unstable,0.5801584050059319
30,2,50.0,Unstable,0.548227421939373
31,1,25.0,Unstable,0.5163631588220596
32,2,50.0,Unstable,0.5309949647635221
33,3,75.0,Robust,0.7143754549324512
34,1,25.0,Unstable,0.4995495639741421
35,1,25.0,Unstable,0.44120509177446365
36,1,25.0,Unstable,0.5538338869810104
37,1,25.0,Unstable,0.7573364898562431
38,1,25.0,Unstable,0.42067113518714905
39,1,25.0,Unstable,0.5882585942745209
40,1,25.0,Unstable,0.6835712939500809
41,1,25.0,Unstable,0.4859471060335636
42,2,50.0,Unstable,0.7070031575858593
43,1,25.0,Unstable,0.514222402125597
44,1,25.0,Unstable,0.5386859029531479
45,1,25.0,Unstable,0.39390066266059875
46,2,50.0,Unstable,0.5443618912249804
47,1,25.0,Unstable,0.6250098794698715
48,1,25.0,Unstable,0.5661265514791012
49,1,25.0,Unstable,0.5307363569736481
