0,1,2,3
0.19565529,0.5066821,-0.34584916,1.8143262
-1.0149508,1.1068066,-1.1023871,-0.23888983
1.0402173,-2.4700887,1.4384161,0.4208638
0.5699103,-1.8271037,-0.6638882,-0.1311223
1.0237567,1.1280128,-1.8262225,-0.42271826
0.33785725,1.5796889,-0.70537275,1.3695227
-0.3269164,-0.79178154,1.7778093,-1.2558609
-0.7874045,-0.88415396,-0.09009723,-0.5539435
0.44304547,0.5321651,-0.35950693,-0.19824407
0.20784022,1.178136,1.0729573,0.24118714
-0.36272296,-0.3064303,-1.025393,-0.53556937
0.11134023,-0.22253709,-0.80396444,0.47226143
-0.5329145,1.1722925,-0.8411532,0.3213634
0.6483268,0.9866441,-1.1667588,-0.56410384
0.3124089,-0.9540759,0.80430585,1.1576691
-0.07500124,1.6542984,0.25293443,-0.7365237
-0.009702675,-1.41048,-0.10381908,1.8695638
