0,1,2
-1.3787855,-0.7996204,0.27822402
2.385947,0.10019967,-1.1415986
-0.38145316,-1.8562797,-0.768488
-1.0395867,0.39587882,-0.50319326
-0.06644283,0.07231135,0.8731964
-1.0470278,0.6220314,-1.237663
0.43912736,-0.2465739,-0.88243544
0.19778468,1.0641055,-0.07724971
-0.8386121,0.5420847,0.78155303
0.071325496,0.36615652,1.01051
-0.31616604,0.88741714,-0.14139198
-0.7389694,0.44169897,0.24488005
-0.6370832,-0.28224197,0.0229512
0.90277153,0.078075744,-0.19875969
0.05441425,-0.40081927,0.29429936
-0.58467144,-1.3204869,-0.09357997
-0.5161686,1.3658117,2.811534
