0,1,2,3
-0.66526055,-2.467794,1.6064538,-1.99205
0.05349582,0.39958966,1.6156485,-0.7618484
0.05250228,-1.6997032,-1.5564014,0.99273735
-0.23163006,-0.18954338,-0.4187581,1.50121
0.9050172,1.5096436,-0.3832684,0.83489686
0.2806192,-1.6630282,1.9653105,0.76440704
0.33098936,0.9905284,-2.182556,1.019081
-1.2010726,-0.0071191145,-1.5418857,-0.1874724
0.49997553,-0.3093284,2.2672296,-0.08246923
0.0066176895,1.4971969,-1.1194878,-0.16450433
0.80528915,-0.77296007,-0.29773962,0.6188089
-1.1261878,-1.767461,-0.08317765,0.38580754
0.3950568,-0.038429417,0.5984379,-1.0520802
-0.2220406,-0.15762599,-0.06781161,-0.72766894
0.7893036,-0.98950887,1.6911421,-0.13301183
1.0105191,1.1431148,0.9904354,-0.39890316
-0.615286,0.64221215,0.9147595,0.44444856
0.94140345,0.32386923,0.4339152,-0.2914607
-0.9571149,-1.9103905,-0.61457473,-0.9625726
0.5056619,0.39952242,-0.7424282,0.5495018
-1.6624417,-0.5570694,0.92351586,0.88640106
0.5724496,-0.74988455,-0.21544898,0.7496542
0.0038914639,0.8104841,-0.24088024,-1.7652438
0.7830807,-0.67391235,0.3870946,0.85126513
-1.4909025,-0.33436236,1.1127218,0.7329475
0.4993741,-0.49395987,0.3212211,-0.7304533
0.8584855,-0.35338277,-0.079075776,-1.5130365
-0.73724437,-0.51632905,1.5030365,1.8422595
0.7150328,0.528067,0.9882591,-0.52790153
0.035579525,-1.0139928,0.26265463,-2.1387362
1.6089399,0.63491744,-1.7542683,0.34241465
0.13227017,-0.54972476,-1.1229806,0.22690003
-0.6257312,-1.31615,-0.45275173,1.4049467
-0.89734113,0.85204303,-0.30818087,0.54802585
0.8575888,-0.7410278,-2.7471685,0.18540287
-3.325858,0.109953105,-1.7326311,-1.0167866
1.025016,0.73995334,0.6777479,0.46972892
-0.36299837,-0.47143587,-0.06492845,-1.5095012
0.7105218,-0.43174115,-0.19444217,-1.6438297
-0.0026429486,0.7946341,0.6070674,0.5458078
