Subject_ID,Factor_1,Factor_2
Subject_1,0.4697878,-1.089128
Subject_2,1.4216181,0.2420822
Subject_3,-0.8555119,-0.036841832
Subject_4,-1.1505347,1.3405463
Subject_5,1.1660502,0.56602234
Subject_6,-0.25880647,3.1374915
Subject_7,-0.6497333,-0.21701074
Subject_8,-0.082768075,0.26356414
Subject_9,2.2348394,-0.30287567
Subject_10,1.0103083,-0.27777097
Subject_11,0.9462889,0.4011701
Subject_12,0.7313195,0.87934136
Subject_13,2.5170243,1.9415265
Subject_14,-1.0475932,-1.1830721
Subject_15,-0.36151338,-0.826874
Subject_16,0.99196994,-0.30637112
Subject_17,0.4061696,-1.8321729
Subject_18,-0.93516195,0.54677814
Subject_19,-0.32171875,1.3410559
Subject_20,1.7150685,0.89558494
Subject_21,-0.97230756,0.39824378
Subject_22,-0.79302096,0.4097559
Subject_23,-0.9447398,0.078509666
Subject_24,0.37046617,-0.9283654
Subject_25,0.611833,1.8226588
Subject_26,1.1674297,0.671748
Subject_27,0.66027826,0.6946209
Subject_28,-0.3790598,0.1287926
Subject_29,-0.60110396,1.0982577
Subject_30,1.0115525,0.42636678
Subject_31,-0.712549,0.7793475
Subject_32,0.42335796,0.28911614
Subject_33,-1.567176,1.8314726
Subject_34,-1.5151851,-1.5915607
Subject_35,0.74148524,0.13089868
Subject_36,1.0043888,-1.0913996
Subject_37,1.8349968,0.74713576
Subject_38,1.0357331,-1.1944797
Subject_39,2.1435714,-0.9509418
Subject_40,0.18488996,1.2735789
Subject_41,0.04525345,-0.3897103
Subject_42,0.5711722,0.15922622
Subject_43,1.3435092,0.45561045
Subject_44,0.14468516,2.0765269
Subject_45,0.5733177,0.76389736
Subject_46,1.6335452,-0.34413543
Subject_47,-0.2673462,0.009807342
Subject_48,1.7311518,2.2827542
Subject_49,0.3449889,-1.0252883
Subject_50,-1.4539123,0.71127987
Subject_51,-0.42482877,1.1083808
Subject_52,-0.27400386,-0.12492811
Subject_53,-1.0928872,0.15303972
Subject_54,0.8451046,0.12854727
Subject_55,1.3607655,0.19757462
Subject_56,-0.3311864,-0.4083872
Subject_57,-0.74701947,0.39367935
Subject_58,1.6370617,-1.0139341
Subject_59,0.4562601,2.4035978
Subject_60,-0.6325852,0.51330453
Subject_61,-0.092632905,1.6495479
Subject_62,-0.19795282,0.20009439
Subject_63,-0.7763364,1.2815033
Subject_64,2.829974,-0.10601468
Subject_65,-0.8824219,2.228575
Subject_66,0.12206683,1.1452116
Subject_67,1.1379262,1.2299519
Subject_68,-2.133947,-0.20192178
Subject_69,-1.6037338,-0.88460493
Subject_70,-0.7910258,-1.0333612
Subject_71,0.004909149,0.042547286
Subject_72,1.2042688,1.6120485
Subject_73,0.70370215,-1.4752167
Subject_74,-0.25746602,-0.6396335
Subject_75,0.13338254,0.39050335
Subject_76,1.1740332,-1.0906518
Subject_77,1.1186877,0.9162219
Subject_78,-0.8256898,1.4156078
Subject_79,0.6472195,0.018005451
Subject_80,1.4528898,-0.45164776
Subject_81,-0.36387986,0.9918164
Subject_82,-0.81669587,0.5492264
Subject_83,-1.1105508,0.69712067
Subject_84,-0.35571384,0.10525304
Subject_85,1.649928,-0.80257386
Subject_86,-1.2841508,0.17322205
