Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_58,-0.4030503,-1.0373383,0.8275633,0.68968487,1.240974,-0.6291409,-0.50407535,0.5874325,-0.5763669,-0.9565724,-1.4577395,-0.46810508,-1.4839394,-0.77807903,0.109266944,-0.93030417,0.5397165,-0.9395604,-0.87092185,-1.6421024
Subject_59,0.7045174,-0.95814997,0.25123283,0.16001245,0.625339,-1.1324795,-0.61558396,-0.6347098,0.50333166,0.7677658,0.5067277,-0.034539245,-0.64294225,0.77835435,0.69877636,-0.4073762,-0.94098085,-0.66880214,-1.2103217,0.9653168
Subject_60,0.80745083,-0.2217041,1.3257755,1.575923,-0.49525005,0.21194209,0.6777831,-1.4102827,-1.1380012,0.15871674,-0.21570678,-0.6508479,-0.8437399,-0.46585447,1.2075617,-0.73136026,0.91246796,-0.74081844,0.25800917,0.1520284
Subject_61,0.9424318,-0.64520866,-0.4137016,1.4066627,0.8847797,1.1042771,1.0799702,0.4099123,-0.9478347,-0.7886242,0.27476278,0.8535008,0.99503756,1.3173443,0.83867675,-0.63169205,0.6979137,-0.19840977,0.40605974,-0.5195059
Subject_62,0.797571,-1.1437689,1.1728789,1.1701164,1.2199762,-1.2131537,1.0496625,0.8530073,-0.9913327,0.09282977,-1.305325,-0.5728956,-0.80716413,0.7115407,-0.62329626,0.7467072,1.1018419,-0.79769796,0.7968772,-1.1548128
Subject_63,0.983318,-1.1553913,-0.9641105,-1.6863949,1.2201356,-1.204603,-2.3489518,0.85265017,0.3940195,1.5956626,-2.2776368,1.1413107,-0.89975107,-0.81584096,-1.1738402,-0.08736483,-1.0565773,1.2456052,-0.045259655,-0.8897036
Subject_64,-0.8583437,0.62340784,-0.900897,-0.08180774,-0.45896488,0.59389293,0.8093609,-1.3218298,0.49035984,0.68511885,-1.1259137,0.8516629,0.96174526,0.67487764,-0.7788429,-0.9037442,1.0320886,0.11420778,0.9901189,-0.45626253
Subject_65,0.014734446,-0.5299173,-1.1373252,0.7821022,-1.4781889,-0.99066347,-0.009457472,0.293464,0.62412626,-0.50188136,-0.7087196,0.68382204,1.1927451,1.1986941,-0.28068984,0.78506285,-0.68676686,0.8603632,-0.72638416,0.26655263
Subject_66,1.1481835,0.7496593,-1.1926715,-1.0809091,-0.9690541,0.47119135,-0.94311863,-0.5785697,1.1798892,0.7560666,-0.23854843,0.78694326,-1.3333211,-0.45180047,-1.0902145,0.33156943,-0.92593366,1.6279396,0.09569937,0.2970223
Subject_67,-0.8044322,-1.1236365,-1.4482303,0.9861602,-0.81383806,-0.44737947,1.6608043,0.58519316,-1.1765687,0.3270761,1.3405107,-0.53430605,1.1802605,0.365806,1.363985,-0.57625353,0.89611346,-1.2880383,1.5540149,0.62001884
Subject_68,-0.6209296,0.6259453,1.0141795,0.5747743,-0.74079186,1.0721797,1.0078022,0.08749242,-1.1074356,-0.19443452,1.1852021,0.65218467,0.93549687,0.83536345,0.60625094,-0.93350124,0.9284244,-0.9195403,0.74858207,1.0767007
Subject_69,1.0218858,0.16027562,-0.4280262,-1.0483785,-0.75830656,0.3064408,-0.5943107,0.9087121,0.91950953,0.3374017,-0.4506728,-0.54114074,-1.1084175,0.75508875,-0.5850929,-0.80145407,-1.0704105,0.8674153,-0.86471355,0.9185615
Subject_70,0.5300719,0.88662255,0.5640579,0.008587942,-0.60830337,-1.0361443,-0.90578085,1.4350578,0.2595716,0.77852505,-0.7193416,1.3804829,0.9167863,-0.044335026,-1.4225713,0.61236143,-0.53665733,1.2106322,-0.6702373,-0.628125
Subject_71,1.2854449,-1.2555426,-0.06263963,-0.9915779,-0.66833985,0.82812774,0.09926544,-1.1801144,-0.97949606,0.0944947,0.16804944,-1.2011316,-0.9604484,-1.0522518,-0.8729712,-0.8659001,-0.59369314,1.4189485,-1.0952109,0.24862733
Subject_72,0.7900602,-0.8410709,0.9078113,0.19916016,1.0438876,-0.16287126,0.5237903,-0.7198144,-0.14621283,-0.14401276,0.31974557,0.1794304,0.48200682,0.9460942,0.73921275,0.62655777,-0.5438503,-0.27265438,-0.41269785,0.4169671
Subject_73,-0.8020167,1.3896196,0.42498696,0.8193406,1.0497491,-0.1704102,0.2554925,-0.9539948,-0.690871,-1.2700351,-1.0698428,1.1027434,-1.3422626,0.66901296,0.41043994,1.2095246,0.85202676,0.68357366,-0.60037965,0.98151356
Subject_74,1.0961446,0.69417924,-0.6331075,-0.23867783,-1.0174289,0.9788367,0.83795387,-0.68883836,0.26849335,-1.3113425,-0.51447207,0.07956736,0.30173352,0.4692119,0.81976736,-1.1872101,-0.5926206,0.22098866,0.6507056,0.8983638
Subject_75,0.25040472,-0.7427828,-0.9006191,0.8746551,1.25337,-0.947675,-1.0264428,-0.15065902,1.0370749,1.260328,-0.8191704,-0.75497466,-0.8023335,-1.1955053,0.6005171,1.1942984,0.8013638,-1.3019259,-0.33284804,0.2701907
Subject_76,-0.7368321,0.48594624,0.17116071,-0.80163205,-0.014023532,1.1269176,-0.7419569,0.49153703,1.5118179,-0.8906156,-1.0386704,-1.1362684,-1.6719375,0.46681523,0.58810973,1.2010455,-0.65904903,-0.7456958,-0.68844366,-1.499904
Subject_77,0.15186244,0.54506725,1.4241558,-0.60735166,0.73104763,0.7942741,-0.9109338,0.6775457,0.17947832,0.37900972,0.4605899,-0.16054705,0.7755381,1.0472428,-0.32530078,-0.33959413,-1.122325,-0.4148692,-0.83290154,0.2482599
Subject_78,-0.877681,1.4530623,-1.5161402,1.943197,0.5498709,1.5247697,1.6203195,-0.2966204,-1.3460033,-1.0700922,1.8294752,1.0967988,1.5934527,-2.4392807,1.1830357,-0.048933875,1.7267691,-1.1061791,1.4744201,0.9902457
Subject_79,1.2598984,1.2451336,-0.487404,-0.8021346,-0.5281537,-0.86309844,-0.8418925,0.744219,1.219315,-0.5709102,-1.1265703,0.73722106,1.5123143,0.07255953,-0.9903961,1.0206314,-1.232982,1.7858199,-1.4305222,0.24577431
Subject_80,0.6493449,-0.9721654,0.8672134,0.026978003,1.075749,0.0948141,-1.1770563,0.6431639,-0.9879246,-0.73706746,-0.55216974,-0.6127809,0.696403,0.64414704,0.7533502,-0.8309406,-1.2716699,-0.7368363,-0.81289214,-0.60382956
Subject_81,0.69815964,-0.78860563,0.77468485,0.6377818,0.60768443,1.1517992,1.8325535,-0.7401186,-1.0551174,-0.47036624,0.94466716,0.952052,0.8842439,1.0508785,0.95037663,-0.45525604,0.7915585,-0.32305104,1.7103018,-0.10726035
Subject_82,-0.049481273,-0.9069006,-0.8565874,0.5012463,0.06470063,0.3514203,1.1810714,-0.79551715,-0.7065224,-0.83351797,1.0953912,0.8652942,1.1388637,0.94263446,1.0414972,0.8261449,0.40222722,-1.1546675,1.5399895,1.0310743
Subject_83,0.72292453,-0.8099444,0.79014045,-0.21506323,-0.22978507,0.92253786,-0.9464448,0.044137243,0.72976184,1.0328419,0.39461794,-0.9163492,0.6180727,-0.1717821,-0.2355572,0.46836218,-0.5532786,-0.072949186,-0.83713514,0.20835054
Subject_84,1.0014578,0.45675218,0.58569354,-1.3052346,0.7716034,0.21158412,-0.48986912,0.7451504,-0.5646375,0.62966245,-0.45248613,0.95240176,-0.21046402,1.183058,0.467587,-0.7766086,-1.1581984,0.96037185,-0.5065836,-1.3482951
Subject_85,-1.535157,0.42978808,-0.9968446,0.86931,1.2331775,-0.33319706,0.7259127,-0.48881003,0.9923451,-0.71613747,1.0266631,-0.9876977,-0.54258716,-0.03484537,-0.38702893,0.5509269,0.49224994,0.20030984,-0.82511824,-0.09840636
