Subject_ID,Factor_1,Factor_2
Subject_1,-0.9132239,0.76899546
Subject_2,0.6122072,-1.2033198
Subject_3,1.0947927,-1.7603967
Subject_4,-1.1507823,-0.08502426
Subject_5,1.2123119,-0.15694503
Subject_6,-0.20451206,1.1174083
Subject_7,-0.3160709,-0.7738443
Subject_8,0.8448983,-1.1997056
Subject_9,-1.1064798,-0.17196208
Subject_10,-0.0069283177,1.5765159
Subject_11,0.3460421,1.0189825
Subject_12,1.6896577,-1.1361494
Subject_13,1.0502013,-0.054449044
Subject_14,0.010054543,-0.55411774
Subject_15,0.23503879,-0.4738152
Subject_16,0.33473635,0.40119475
Subject_17,0.59503525,0.19088562
Subject_18,3.5257998,-1.4289528
Subject_19,2.4110942,-0.10415298
Subject_20,-0.05824716,0.06898813
Subject_21,0.4944047,0.6768692
Subject_22,0.5111319,1.4112362
Subject_23,1.9530087,0.075815484
Subject_24,0.13195977,-1.8051437
Subject_25,-0.9671635,-0.37667292
Subject_26,0.32603145,-1.2097237
Subject_27,-1.3416477,-0.47377157
Subject_28,0.18613617,-0.36799288
Subject_29,-2.6014724,-0.93022096
Subject_30,-0.59742963,0.11912961
Subject_31,-0.35651153,-0.33632314
Subject_32,1.3343292,-0.2027474
Subject_33,-0.78005594,0.11648809
Subject_34,0.6691036,-0.84517044
Subject_35,2.1653495,-0.13188998
Subject_36,-0.22987112,2.4405377
Subject_37,-0.40543523,-1.2688792
Subject_38,-0.65102154,-0.99391663
Subject_39,1.0241189,1.1038303
Subject_40,-0.46522656,-0.3164477
Subject_41,-1.0925701,-0.32806498
Subject_42,-0.27746907,0.44733083
Subject_43,-0.12872346,-0.054561883
Subject_44,1.0652622,-3.1257935
Subject_45,-0.39823705,1.1689168
Subject_46,0.19345248,-0.35685483
Subject_47,-0.013378755,-0.95915306
Subject_48,-0.73735106,-0.777582
Subject_49,0.21067275,0.69461244
Subject_50,1.7965143,1.0054101
Subject_51,0.52272487,0.15648179
Subject_52,-0.2795942,-0.40081224
Subject_53,-0.1737882,0.16097222
Subject_54,-0.81788164,-0.14360704
Subject_55,-0.81832576,-0.9492743
Subject_56,0.43270648,-0.024774672
Subject_57,-1.4388827,0.5142548
Subject_58,-0.6063405,-0.41942665
Subject_59,0.22598024,-0.24803618
Subject_60,0.019682454,-1.1709815
Subject_61,0.6037691,0.31703404
Subject_62,0.8683598,-0.07735435
Subject_63,-0.44223186,0.51598096
Subject_64,-0.635478,-0.9463652
Subject_65,1.1124271,-1.2280502
Subject_66,0.18003383,-0.85721964
Subject_67,-0.62515235,-0.788115
Subject_68,0.5685961,0.3727952
Subject_69,1.14356,-0.22209246
Subject_70,-0.5392922,-0.17932129
Subject_71,-0.3693421,0.3886375
Subject_72,-0.4462986,1.6548561
Subject_73,-0.91556376,-0.19790047
Subject_74,-1.0420544,1.4149581
Subject_75,0.0145057775,-1.3097243
Subject_76,-1.1964551,0.07719815
Subject_77,0.5857208,-0.53777826
Subject_78,-0.17158636,-0.05008992
Subject_79,0.8597202,-1.4067202
Subject_80,-0.24598517,0.47038513
Subject_81,-1.297558,-0.5419965
Subject_82,-0.8140647,-1.1836251
Subject_83,-0.56096864,-0.80415833
Subject_84,0.35781693,0.28910443
Subject_85,-0.75375265,-0.6567237
Subject_86,-0.760036,-0.73125124
