0,1,2,3,4
0.4355503,1.363823,0.53501844,0.4758401,0.5600163
0.48186442,1.2259467,0.45904085,0.8366536,0.79959476
0.72449404,1.493444,0.47412178,0.5766423,0.4058898
0.5063351,1.4553951,0.52473384,0.5823845,0.3453702
0.5355261,1.3436143,-0.14128855,0.50775164,0.5117151
0.76926285,1.5551559,-0.21660174,0.6670645,-0.30887112
0.61715686,1.5826695,-0.112012774,0.7384096,-0.0077606947
0.67968535,1.5500507,0.3928785,0.72546536,0.56756103
0.80855113,1.5530554,0.31998694,0.40182754,0.40591365
0.6195216,1.1526607,-0.5600772,0.8271065,-0.40682772
0.8189826,1.4472942,-1.3211781,0.62391865,-0.66859305
1.1334764,1.507023,0.39955994,0.74726444,-0.44536415
0.807156,1.6455292,-0.4364954,1.085107,-0.46736866
0.79498166,1.7651476,-0.002779152,0.80878425,-0.14428775
0.80092365,1.6109967,0.20778541,0.6852724,0.16948673
0.797816,1.3953158,-0.5146891,0.9753665,0.6377555
0.884935,0.7872829,0.86000323,0.6461816,-0.14587706
0.86087704,0.85782146,0.6218812,-0.023742743,-0.334718
0.866355,1.161894,-0.50061435,0.57281303,-0.5447554
0.8642758,1.4104022,0.3282782,0.5869795,-0.69909465
1.4597791,1.6491803,-0.039242852,0.6971355,-0.64550394
0.99299747,1.7868533,0.23664609,0.7807399,-0.41415328
0.9698669,1.6669632,-0.39510915,0.5786482,-0.47871834
0.92417717,1.627778,-0.072140105,0.69600713,-0.028433044
1.1104709,1.5170244,-0.48433945,0.81754327,0.26382753
0.83750945,0.7057852,0.70290333,0.26696706,-0.20275687
0.9357364,1.2852117,-0.886981,0.043258484,-0.5078545
0.9606082,1.1557848,-0.18064085,0.58223283,-0.5468878
1.0013884,1.4601293,0.02489746,0.46106264,-0.7652708
1.0544056,1.6552857,0.2291497,0.6831569,-1.0979227
1.0225197,1.6568387,0.35197127,0.5937763,-0.3427509
1.4470086,1.6277137,-0.13318065,0.895954,-0.56149113
1.1213666,1.5698209,0.29846978,0.50627124,-0.7757326
0.8699295,1.4930851,0.07761727,0.51603615,0.36004877
0.9792195,1.0567416,-0.6332659,-0.0953563,-0.31668228
0.93867975,1.1836857,0.09356504,0.2571147,0.6427224
1.0499667,1.3783636,-0.3849015,0.19866624,-0.67403495
1.0962464,1.5645369,-0.102537125,0.43865144,-0.42981133
1.0121794,1.6125948,-0.6270082,1.1969651,-0.30608284
1.04138,2.0700836,-0.5020748,0.61052245,-1.777413
0.9635445,1.5992292,0.0031879295,0.50271094,-0.1583717
0.963542,0.8311915,-0.08939974,-0.30947477,0.12908097
0.97284687,1.0917236,-1.1226004,-0.12220972,-0.3301642
1.1388083,1.3138465,-0.0065866024,-0.36318138,-0.30220687
1.0961363,1.5513163,-0.21226515,0.47861946,-0.3080238
1.0057341,1.5994793,-1.0168022,0.6031173,0.21100019
0.9557364,1.5631243,0.28137368,0.48461932,-0.11680347
0.9147445,1.4040141,-0.07643335,0.63717043,-0.4232001
0.81080645,0.9279512,-1.0878143,-0.30614063,0.3181161
0.9093803,1.0783052,-0.15917754,-0.13047156,0.065244965
