Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
rigidity_left,-0.036097456,-0.09933578,-0.02565132,-0.018268682,-0.08103141,0.0009646253,0.20071426,0.014969718,0.057432152,-0.13231502,-0.053432714,0.117978774,0.15718362,0.054976318,0.07249857,-0.033801157,0.038978178,0.05383535,-0.015993081,0.06305912,0.005259841,-0.016536659,-0.0973069,0.01929649,0.0037254146,-0.08711012,0.0516106,0.049407594,0.044116937,0.060589064
rigidity_right,-0.067518845,-0.0011568848,-0.036741268,-0.0277005,-0.09708541,-0.0583072,0.13797611,0.029469883,0.08809891,-0.0059127742,-0.03689153,0.016162481,0.024028732,-0.01277688,-0.08008453,0.028504139,0.15309228,0.057293773,-0.04244443,-0.007104602,0.055003233,-0.0671927,0.08370798,-0.03567805,-0.08130024,-0.012380202,0.0493125,-0.069289126,0.03188225,-0.03709139
tremor_rest_left,-0.058677025,-0.058061004,0.0038852082,0.041838475,-0.00036319674,-0.022738107,0.0923933,0.010787607,-0.0549145,0.03875162,-0.025580138,-0.010711042,0.024136258,-0.03019941,-0.020884037,-0.05434035,-0.064245544,-0.10883689,-0.021975735,0.12130011,-0.071977615,0.017892933,0.0058615888,0.028538467,0.0342033,0.028191207,0.007359111,0.1058292,0.0128556155,0.16898537
tremor_rest_right,-0.04358108,-0.049168568,-0.050531823,-0.090145566,-0.10011073,-0.030878928,0.16170098,-0.063513204,0.054029252,0.055824626,0.03379656,0.0740987,-0.017610716,-0.21245818,0.07783593,0.02916416,-0.060126763,-0.019021891,0.08176593,-0.080934525,-0.08254035,0.028037231,-0.050028943,-0.019643009,-0.07030583,-0.021593008,0.026827099,0.051862683,0.108873166,0.10226725
tremor_postural_left,0.08467087,0.038367625,0.06746004,0.10623618,0.08026338,-0.119360715,0.10945827,0.08439705,0.010625019,0.07436295,-0.0030894636,-0.11887346,0.05290613,0.06913494,0.02451108,-0.008665563,0.01841849,0.023240676,0.018343307,-0.079011664,0.025054011,-0.012146237,0.018677669,0.09241115,0.020900251,-0.032763984,-0.0061697043,-0.015662244,0.047982097,0.046579417
tremor_postural_right,-0.008276079,0.022146618,-0.05154815,0.092801146,-0.07160424,0.12843105,-0.05165276,0.027758518,-0.06204459,0.076721646,-0.014101474,-0.006228807,0.10177917,-0.024400368,0.002929376,0.05271779,0.07703418,0.04380437,-0.002733175,-0.064516395,0.028423209,-0.01315269,-0.08912144,-0.038598094,-0.035794992,0.02344142,0.00044075702,0.14303967,-0.030527255,-0.015979994
bradykinesia_speed_left,0.045672856,-0.08889133,0.040704362,-0.038116433,0.116151184,-0.028468583,0.08158612,0.0024299258,-0.008544812,-0.014408305,0.025512336,0.03194669,0.031750876,0.13946731,0.0035088456,0.03994899,-0.03479987,0.11215103,0.15381882,0.041893978,0.031075345,-0.0038874652,0.041030504,0.06481992,-0.017264456,-0.061146088,0.09536046,0.009585581,-0.021129431,0.063568465
bradykinesia_speed_right,-0.033596385,-0.011904984,-0.09236369,0.06849411,-0.020971606,-0.038850997,-0.044885088,0.022864183,0.02493912,0.056678407,-0.11307386,-0.078160994,-0.028828112,-0.046879295,0.031859286,0.059906397,0.07128793,-0.009370436,-0.015445251,-0.03418307,0.00696765,0.074078456,-0.029768813,0.052798375,0.06907769,-0.09364943,0.04016168,0.0034279237,0.07500966,-0.0005811508
bradykinesia_amplitude_left,-0.034693263,-0.03661973,-0.02500613,-0.08261524,-0.088799775,-0.1067507,-0.11149207,0.12279063,0.006339956,-0.045568876,-0.028687134,-0.098690204,-0.0343356,0.038177315,0.09714367,0.025520118,-0.0005923526,-0.026818188,-0.010113565,-0.022674803,0.056383666,-0.037870854,-0.17673573,-0.031112058,0.15949497,-0.08781345,0.12294186,0.11892763,0.0637045,0.10404801
bradykinesia_amplitude_right,0.0032338714,0.07908075,-0.0653051,0.052819587,0.087213725,-0.059464,0.021289224,0.040445812,0.017039245,-0.15514453,0.051673423,-0.10224815,0.08362368,0.07551071,0.03711834,0.044128966,0.1636129,-0.014452336,-0.02655672,-0.059504002,0.043825928,0.030538505,-0.017522587,0.0385171,0.065673016,-0.021048086,-0.0070257955,0.02953993,0.0011413632,-0.014273413
bradykinesia_rhythm_left,0.12134544,-0.10902617,0.029532336,-0.08218698,0.024898343,0.013960465,0.018016899,-0.0593414,0.03592173,0.10710825,-0.09801864,0.040933847,-0.013425406,-0.017005224,0.16147266,0.0023607253,0.09306312,-0.062299248,0.041365962,0.001108555,-0.006521317,0.052671578,-0.020559816,-0.036038,0.043921255,0.017950045,-0.07365045,0.05011158,-0.04332055,-0.08597834
bradykinesia_rhythm_right,0.014804651,0.048872706,0.031057578,-0.09291667,0.057395697,-0.022643529,-0.050448503,-0.008982396,0.06667785,-0.027598694,0.03926974,-0.05641087,-0.07499813,0.1362161,0.018915957,-0.028761346,0.017818086,0.10283437,0.10678644,-0.035555106,0.06402383,0.08096335,-0.010794848,-0.2190262,-0.053387567,0.083871305,-0.006307392,-0.14288548,-0.055451073,0.08655047
mirrormovement_left,-0.036172632,0.091512114,-0.07329852,0.09664314,-0.024685225,-0.094444185,0.032774445,-0.043225814,0.009391065,0.11488468,-0.03542403,-0.072053775,-0.027545545,0.0055292207,0.3156337,-0.19245824,0.0074523254,-0.113138,0.041549083,-0.037100624,0.16792911,0.028425977,-0.08534601,0.06471554,0.47145215,-0.24723777,-0.08049105,0.035360523,0.13503383,0.064454794
mirrormovement_right,0.030203653,0.017234316,0.013617148,-0.12513244,0.08127417,-0.08905834,-0.043117378,-0.04072248,-0.027054178,-0.09501135,0.049083054,0.061783776,-0.0679137,0.016171755,0.07093398,0.0144420685,-0.064978495,0.011509311,0.06320233,0.007975553,0.018832764,-0.007313626,-0.03347695,0.01331717,0.08836253,0.040780306,0.06200904,0.16471808,0.043327242,0.12308302
