Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,0.5066934,-0.067755766,-0.38299087,-1.024975,-0.08139604,-0.0011129978,0.7899038,0.004407911,-0.17453785,0.07967301,0.7631521,-0.5233288,1.1543641,-0.071035594,-0.9059431,0.5688224,1.2419987,0.44919834,0.29280594,-0.2912414,0.89111984,-0.40580174,-0.34683433,0.47305965,-1.0503207,-0.44076157,0.59017277,-0.14727166,0.49261963,0.85960656
volume_sn_voxels_feature_1,0.29027814,0.014092381,-0.39779812,-0.24381258,0.062006377,0.35956946,-0.95157003,-0.15336569,-0.17656225,0.32107294,0.7175328,0.020605223,1.4607917,-0.10897743,-0.2964887,-0.4243278,1.5343844,1.0615582,-0.093590036,-0.18906376,-0.08286685,-0.98945594,-0.723298,-0.33170667,-1.2606757,-0.25268644,1.1950959,0.34807885,0.5211742,-0.09865749
volume_sn_voxels_feature_2,0.16393419,-0.19996211,0.11673035,-0.69042146,-0.011766542,-1.0517572,1.0026385,0.18257186,0.021861807,-0.12340072,-0.08890697,-0.19571927,0.65013146,0.11265509,-0.58430696,0.57323956,1.5474564,-0.06500842,0.7738799,0.3993768,0.39419916,0.23896694,-0.24599332,0.15113471,0.16829523,-0.17118257,-1.3201828,0.06596967,0.30747712,0.27497384
volume_sn_voxels_feature_3,0.14030933,-0.056348234,0.04654255,0.103535436,-0.049413588,-0.50272864,-0.4539141,0.0070257606,0.022612993,-0.096347354,-0.5935958,-0.093611054,0.8177459,0.114916116,0.12335765,0.27857015,1.4004039,0.0022106073,0.24779534,0.32731667,-0.20763367,0.05512381,-0.10050505,-0.507956,0.043346684,-0.017109338,-0.6638054,0.5565071,0.32359037,-0.24058375
volume_sn_voxels_feature_4,-0.062692,-0.89607215,0.95467013,0.584688,0.087334566,-0.69760054,-0.3589169,0.65853024,-0.17336208,-0.62651086,-0.97400224,0.081556655,-0.9056963,0.66871536,0.15118569,0.4456306,1.2724117,-0.056652196,0.5402555,0.9283698,-0.34253696,1.1244138,0.39030695,-1.0192597,0.40276337,0.3537385,-1.4749963,0.8448423,0.063089155,-0.5293909
volume_sn_voxels_feature_5,0.5124543,0.91432595,-0.9139343,-0.63545877,-1.0928211,-0.5857038,-1.1024249,0.2233123,0.3396052,0.18934081,-0.7353054,-0.7465458,0.6387391,0.79956436,0.9256661,1.0363637,1.2839633,-1.0144589,1.2430024,0.6768487,0.72480243,-0.9138811,-0.42163754,-0.91178846,0.08691274,-0.25186515,-1.5223199,0.0063594477,0.2575644,0.39865687
volume_sn_voxels_feature_6,0.29246286,0.048606694,-1.0349551,-0.57405317,-0.6368085,-0.31597456,0.12523884,0.2153011,0.38262522,-0.7722355,0.7842282,-0.59301585,0.067229666,-0.33019873,0.07040354,0.32679117,1.3967872,-0.1123814,0.29229203,0.312335,-0.21278687,-0.24645557,-0.4219023,-1.177908,0.13651271,-0.30052757,-1.2199847,0.23524295,0.38818926,0.18777665
volume_sn_voxels_feature_7,0.22505447,0.20598754,-0.3857814,-0.2899624,-1.0112698,0.48054805,-1.0509096,-0.337486,-0.4830557,0.5018563,-0.7834808,0.40825865,0.62223715,0.49701455,0.80418557,0.6691075,0.30593005,-0.46890664,0.51462317,0.20080289,0.48757875,-1.1850283,-0.37150797,-1.3633648,-0.18948047,-0.42741045,-1.5746799,0.8794288,0.980881,0.65619355
volume_sn_voxels_feature_8,-0.69426453,-0.7588948,0.2891778,-0.21634111,0.10447942,1.0695598,0.8675168,-0.3438046,-0.059247304,0.855671,0.13627943,0.7517732,0.39372063,-0.22323474,-0.7477488,0.3330223,0.40082976,1.0218002,-1.147096,-0.50859594,0.057326335,-0.053764217,0.13584998,-1.3469204,0.11235505,0.016236385,-1.3955656,0.60526514,0.94982845,0.1399254
volume_sn_voxels_feature_9,-0.9483914,-0.5260989,0.6336687,-0.14156687,-0.27133805,1.2368717,1.1585578,-0.29623613,-0.07521663,1.1509905,0.106340356,0.7257321,0.13491715,-0.039611124,-1.113375,0.38983512,-0.06359182,1.1139972,-1.0933592,-0.21233687,0.10483691,0.23261978,0.6397005,-0.982966,0.7389401,0.19008897,-1.4137906,-0.275617,0.85130197,-0.3361157
