Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
volume_sn_voxels_feature_317,0.11382062,-0.12552477,0.017875083,-0.15775788,0.071264476,0.3972195,0.156615,0.20950723,-0.8734966,1.5996258,-0.49109644,-0.22803973,0.014507697,1.8382182,-0.8961788,0.20216739,-0.11293662,0.003227415,0.38732317,-1.0366019,0.016606396,0.60683376,0.18972936,0.7261614,0.14892143,-0.45730567,0.29823825,-0.60333484,0.1399147,-0.25100657,1.0329471,-0.53718424,0.029159289,-0.2770797,0.5294008,0.8147263,0.5980965,0.7208309,0.00668606,0.120439455,-1.2026851,-0.2750919,1.0896062,0.64570004,-1.0232217,0.13118263,0.5175372,-0.17909954,0.28774995,0.49462807
volume_sn_voxels_feature_318,1.0616157,0.56418884,-0.09924836,0.037202638,-0.7460685,-0.01857686,0.57523453,0.299636,-1.2870291,1.2398828,-0.04742288,-1.1307039,-0.2518796,1.0906577,0.040845387,0.8104688,-0.18665422,-0.81161994,0.17752203,-1.5618166,-0.6753021,-0.26424205,0.14876857,0.13995689,-0.50255674,-0.036406398,1.2436547,0.94775987,-0.4416523,-0.18702428,0.91340613,-0.18264203,0.16586673,0.49578682,-0.5523113,-0.36015013,1.1948904,-0.77948743,-0.8142063,-0.3752465,-1.2790474,0.58578825,1.5665567,0.0337817,-0.67239124,0.0507397,-0.12485799,0.22161502,0.027709043,1.2967889
volume_sn_voxels_feature_319,0.6459055,0.27257967,-0.47549185,-0.18557055,-0.024662066,-0.19814749,-0.1542468,0.6069536,-0.8057075,1.2466332,0.24869329,-0.12898138,0.032196593,1.2188183,-0.19663487,-0.019500038,0.19368024,0.23659155,0.020436378,-1.6182623,-0.16320649,0.17239414,0.18435493,0.71014494,-0.23201749,-0.35144347,1.1043036,0.5303365,0.006830077,-0.17052454,0.3458838,-0.003967574,0.15439956,-0.2120247,-0.23301762,0.23874761,0.9146657,0.2651782,-0.56715417,-0.08879701,-1.3969531,0.084542476,1.1401182,-0.25881547,-0.9570625,0.0227761,-0.24992229,-0.2578812,0.043613285,0.7879257
volume_sn_voxels_feature_320,-0.23570053,-0.58557963,-0.51326656,-0.10128792,0.14268273,-0.6046803,-0.19338562,-0.10302142,-0.7504048,1.6221845,0.15351278,-0.015248196,-0.098392196,0.4146046,-0.15299581,-0.56131387,-0.06772763,0.13995837,0.55858785,-0.9100758,-0.14824827,-0.5155767,0.004605822,-0.048039544,0.62296766,0.4254919,-0.82382655,-0.9424157,0.2988038,-0.15141177,-0.41069463,0.53536266,0.09883903,0.039751466,0.58643293,0.29228416,-0.93170565,0.49664643,0.07285045,0.55551136,-0.8692004,0.011737995,-0.05450293,0.18511754,-0.53422195,-0.3794247,-1.2918032,0.21814427,0.018985545,0.32934305
volume_sn_voxels_feature_321,1.3099895,0.46593136,0.059242614,-0.2294917,-0.44772804,-0.26075548,0.017738936,0.13967824,-1.377924,1.2503796,0.80386895,-0.21558504,-0.4275212,0.014783797,-0.2769037,0.06706742,-0.08716909,-0.6724477,-0.08104587,-1.3800545,-0.14879131,0.22217964,0.7306228,0.043486916,-0.8926523,-0.55001944,1.0003284,1.1365005,-0.004795495,-0.5513367,-0.5031953,-0.57016605,-0.31880447,-0.39872134,-0.14453985,-0.32700288,1.2118121,-0.116867386,-0.8435031,-0.10052023,-1.2219605,0.5607895,0.9966389,-0.7197779,-0.494235,0.40680405,-0.81368077,-0.08353241,-0.6751933,1.3610424
volume_sn_voxels_feature_322,1.1382929,-0.06068626,-0.32775077,-0.059187848,-0.32759303,-0.78304046,-0.12392594,0.031455435,-1.2368059,1.015806,0.2726809,0.5651166,0.012807684,-0.6984867,-0.10944435,-0.407761,0.307863,-0.18902963,0.010021419,-1.4754826,-0.08005882,0.24649148,0.2471268,0.33305457,-0.4661535,0.21512093,0.15520126,0.2578079,-0.20119034,-0.118886046,-0.6844319,0.31361595,0.04496502,-0.14256376,-0.3022177,-0.0726851,-0.38603935,0.044061262,-0.5298144,0.030242953,-1.6020606,0.16280083,-0.45771196,-0.55715495,-0.38872626,0.3837427,-1.447434,-0.3137178,-0.40008608,1.1919569
volume_sn_voxels_feature_323,0.09749211,-0.4644314,-0.058804676,-0.08480509,0.17374562,-0.6921552,0.20368718,0.022152053,-1.0102123,1.4865156,0.8104857,0.6861685,0.39964077,-0.67352957,0.41980967,-0.23560649,0.45656708,0.35881418,0.011746181,-1.6641,0.045861196,-0.19832897,-0.07925395,-0.1908979,0.081320256,0.15900107,-0.57441336,-1.2835163,-0.080915816,-0.37256473,-1.4480761,0.58147776,-0.05335058,0.3703906,-0.023567846,-0.6178433,-0.7104771,0.37010443,-0.12332673,-0.19872029,-1.3951601,0.22354454,-0.46074614,0.14203118,0.13936213,0.45706344,-1.6188902,-0.26721832,-0.31421584,0.6503389
volume_sn_voxels_feature_324,1.1329111,0.29492235,-0.027850434,-0.09587705,-0.2745249,-0.7937251,-0.29889086,0.09835776,-0.8881276,0.61017054,0.06354891,0.25841373,-0.16208994,-0.662941,-0.5695732,0.2760369,0.3058064,-0.3976861,-0.28258154,-1.9339082,0.22042514,0.4876,0.9107374,0.7829823,-0.94226974,-0.15468514,0.68442625,0.7662862,0.018452493,-0.059499707,-0.41430235,-0.26809734,-0.6507822,0.31305376,-0.6636679,-0.094399475,0.7476235,-0.37454095,-0.87417835,0.019040914,-1.2342337,0.517597,-0.29087618,-0.54581547,-0.032493718,1.2122931,-1.6522813,0.040020607,-0.7651242,1.1813228
volume_sn_voxels_feature_325,1.1218542,0.2206409,-0.34578568,0.39475006,-0.0086759655,-0.8498988,-0.40806907,-0.2538239,-1.245999,1.2449507,0.12618734,0.5349401,-0.075638264,-0.56846946,0.3029693,0.17750202,0.1767883,-0.13776775,-0.8281073,-1.9753231,0.043711662,0.34383252,0.2344467,0.43418214,-0.46564448,0.24596854,-0.8096118,-0.5213573,-0.22730273,0.26101452,-0.5104609,0.036883395,0.31539798,0.17936029,-0.1350265,-0.31765902,-0.87271845,-0.17559543,-0.5326148,-0.28421533,-1.1428292,0.53455687,-1.0514227,-0.5462882,-0.16670036,1.1914729,-1.382335,-0.29737443,-0.6681301,1.2105304
volume_sn_voxels_feature_326,0.007860438,0.07781679,-0.0693968,0.23077771,0.34775272,-0.19861604,0.20027494,-0.19907936,-1.3186469,1.1733849,0.7063315,-0.10618883,0.0065516084,-0.6853075,0.20183174,0.28877863,-0.22412862,-0.07322471,0.07615425,-1.1623106,-0.0046396824,0.06937985,-0.09574305,0.119997144,0.3085423,0.48300317,-1.4047521,-1.4401686,-0.07312986,-0.16771294,-1.3019692,-0.04192579,0.43802452,-0.94254553,-0.16056353,-0.27498943,-0.26335785,-0.07439555,0.10184386,-0.3664739,-0.80188894,0.6740913,0.43161958,0.230533,0.008063794,1.077114,-1.248047,-0.24237637,-0.1402732,0.35172635
volume_sn_voxels_feature_327,0.8154777,0.22422688,-0.5343135,0.07927789,0.25602254,-0.60153645,-0.17279033,-0.20201384,-1.1827416,0.33576912,-0.31140018,0.60204893,0.1049261,-0.6393331,0.10930798,0.23321265,0.19334388,-0.037370007,-0.4700797,-2.1941633,-0.21317612,0.42444476,-0.1122891,1.0809714,-0.34812447,-0.19352935,0.36006504,0.09868382,0.0531473,0.23192109,0.42882362,0.2691211,0.8768107,0.720292,-0.33468863,-0.007815137,-0.028956577,-0.45644736,-0.49245483,0.20409267,-1.2711313,0.21080005,-0.78414094,-0.0160115,-0.41965255,1.2417362,-1.3336072,-0.31668594,-0.3908363,1.4213303
volume_sn_voxels_feature_328,-0.05586939,0.34606603,-0.16836594,0.424708,0.49121416,-0.49812847,0.13490643,0.53464055,-0.96641046,0.39852342,-0.026036432,0.32442302,-0.15753534,-0.117692456,0.41625702,0.3518366,-0.31382933,-0.04623872,-0.7024562,-1.5556904,-0.031437784,0.3103737,-0.16573147,0.7560657,-0.1876909,-0.053391,-0.7471623,-1.1546905,-0.16548996,-0.14470534,0.010877738,0.20039092,1.0896362,-0.9740258,-0.2280867,0.035365116,-0.5756251,0.044049684,0.18221429,0.08947286,-0.79898703,0.118163735,-0.13284795,-0.48467314,-0.01876799,1.4045373,-0.96661884,0.02504243,-0.122819446,0.73331577
volume_sn_voxels_feature_329,-0.5676241,-0.12948014,0.4424964,0.22098027,0.65667826,0.19862457,0.2954286,0.37625802,-0.8695327,-0.12664677,0.36841783,-0.34017864,0.20954953,0.06375725,-0.6293573,0.15162186,-1.1970397,0.07835729,-0.07833101,-1.9582164,0.41514498,0.54060364,-0.061755877,0.18230319,-0.3253083,0.47097862,-1.0073302,-1.4392627,0.30969593,-0.12204836,-1.208964,0.00475939,0.6952059,-1.4953396,0.21519224,0.792741,-0.13852471,0.19861917,0.6364923,0.2551326,-0.54395163,0.24459039,0.53590137,0.12929225,-0.08317516,0.9987981,-1.4035662,-0.18753272,0.8281453,0.10732734
volume_sn_voxels_feature_330,0.2705,-0.042999562,-0.5722992,0.05191717,-0.13733299,-0.32446158,0.23788843,-0.098821975,-1.1934961,0.090574935,-0.27083808,0.31641713,-0.008544135,-0.086952895,0.042068303,0.3465391,0.065147825,-0.31493908,-0.005643134,-1.3087698,0.094226345,-0.24388601,-0.51823926,1.2655774,0.110611156,-0.1339923,0.45876324,0.34713957,-0.3345606,-0.13297762,0.95063066,0.3302821,1.1168712,0.8876406,-0.34419802,0.10492114,-0.15292978,0.07606321,-0.59245616,0.12808684,-0.45587417,0.12773621,-0.64114654,-0.32652938,-0.3080639,1.5012895,-1.3126279,-0.2802293,-0.251344,1.1849824
