0,1,2
0.5443252,-0.07026608,-0.39040092
0.8385382,-2.0116801,-1.6320398
0.6977103,1.0058392,0.374715
-2.4225888,1.2225064,-0.892583
-0.24174002,0.81640744,0.22098781
0.96729106,0.35679933,-1.7993956
-1.1512074,-0.6772223,-0.2717831
0.49543315,0.71909165,1.07165
0.09041456,-1.5820897,-0.04395656
0.9804222,-0.37685284,-0.24555227
-0.78076106,-0.46232605,-0.31992513
-0.5805606,-0.9784652,-0.37630937
0.5187212,0.45342672,-0.86257446
-0.9681008,-0.63829,0.84510005
-1.4754021,1.3012825,-0.2127598
-0.8206876,-1.3154486,0.15079227
1.2339288,0.8653776,-1.8019058
0.14289294,-0.18973115,-0.06985169
0.40081656,0.4304298,0.043444686
-1.2291896,1.2312757,0.2652682
-0.8669274,1.4236696,1.3908305
0.2111215,-1.224044,0.63453805
1.0398065,-0.5063844,0.4661577
-0.7913271,0.16196269,1.9007534
0.29445633,0.49620774,0.3743904
-1.0221633,0.27566463,-0.50346124
0.84839755,0.48819184,0.61967766
0.6008718,-0.36210197,-0.52061737
0.33902013,1.8835484,-0.34419551
0.023948325,0.16678274,-1.3471092
-0.059818506,1.8793643,-0.7136501
-0.34668982,-0.23086004,0.21082991
-1.0274447,0.19219323,-0.052943833
1.218729,0.59739465,2.046569
0.5637931,0.31359518,-0.836312
-0.051299363,-1.617244,1.4197794
1.173574,0.18578327,0.06869519
1.0194474,-0.1593096,-0.35014364
-0.75287414,0.18858494,-1.1291233
1.337875,0.33933097,0.59166884
-1.7173251,-0.05702867,0.030480316
1.24308,-0.5345764,0.14302522
-0.5276486,0.18225157,-0.03027394
0.08465045,0.53094006,-1.1831846
1.089021,-0.2003695,-1.1673009
-0.8413532,1.180854,-1.0717838
-0.31370407,-0.6773283,-0.7368999
-1.2569267,0.43109962,-0.47244173
1.1296206,-1.2683545,1.1819581
0.025283782,0.37988967,0.046315767
-0.48853242,0.060606055,-0.7165779
-0.80569625,0.6069691,-0.16979627
-0.9572424,-0.20300657,0.37462276
0.63255304,0.20373426,-0.17736733
1.0414248,1.0095365,-0.22485714
0.07306714,-1.0756191,1.5525324
-0.64616317,-0.20565344,-0.40941638
-0.7482845,0.5024937,0.8513596
1.6136671,-0.05838537,-0.41367042
