0,1,2,3
0.36134422,-1.307202,-0.28672963,1.5269805
-1.2771206,2.5735624,-1.2210623,-1.2137179
-0.36175984,0.42929047,-0.87304974,-1.4382282
-0.4824578,1.975176,-0.3516299,0.38954923
0.50398016,1.0081846,-0.0144186355,-2.0616682
0.56105185,0.60943526,-2.35563,1.7896981
-0.2864638,-1.398807,0.71920264,0.8159652
0.017561844,1.2919002,0.09553919,0.09701291
-0.24691221,-0.6520052,1.1871312,-0.025143776
0.7190353,-0.09200839,1.4426746,-0.066407226
0.6794086,1.0388637,0.8761552,-1.238663
1.1720886,0.4300287,-1.4246674,2.4326653
-0.16596131,1.1432562,0.77981323,1.1936423
-0.41518286,1.2544175,0.30963567,1.210687
-1.5903443,0.48693025,2.1475115,-0.12177634
-0.15949924,1.0703553,1.6890281,0.7443515
-0.6916458,0.23531337,-0.40752393,0.39778116
1.7327503,0.06541335,0.54796916,0.041468605
-1.7085586,-0.56537,-0.4473511,-1.0903881
1.2445984,0.4905653,0.47887367,0.24730812
1.0595306,0.3759547,0.9781161,-1.2311038
-1.5206289,0.47004873,-1.1462123,0.055734787
-0.41428742,1.0593731,-0.995715,-0.27253103
-0.8913869,-0.19957645,0.9820862,1.1958641
-1.4065177,1.9926893,0.013602992,0.27238557
-0.8434601,-0.28383893,-0.28936183,-0.1124434
0.004048178,1.0677587,-0.7352237,-0.85471296
-0.1525732,-0.6093633,1.4806815,1.0007771
-0.86627436,-1.4399652,0.9223228,0.7242756
-0.5147823,-0.94487184,0.27148128,0.6565087
1.1760612,0.5024417,-0.6210191,1.3075901
1.5118451,-0.42387295,-2.4017055,-0.038465664
-1.2808708,0.8288637,-0.7565929,0.4168798
0.42098463,-0.21470462,-0.034598973,1.3937321
-0.62141925,-0.27562743,1.2556525,-0.049943075
-0.1077847,0.22501282,-0.3607885,-1.2429463
-0.08200712,1.6307435,-0.4098628,0.35829407
1.7971045,-0.6289981,0.66183215,1.1181794
-0.61098135,0.7723562,0.7121368,-0.16021137
0.77339375,-0.11824833,-0.063749984,0.5146197
0.7140801,0.63736707,-0.45766053,-0.12453255
0.5861805,-0.23624538,-0.44016317,1.5597471
-0.6189807,-0.068635024,0.5797632,-0.97486776
0.35015723,1.1305925,0.6513662,0.086174905
0.4120691,0.8155526,-0.27250063,0.83009857
-1.65836,-1.7746305,0.16766715,0.5780303
-1.2659049,1.5396845,-1.3268358,0.7000224
-1.2826267,0.57050884,-0.39589763,-0.86592734
1.5556743,-0.6922737,0.07910813,-0.7660131
-0.47072256,0.90366805,-0.46825913,2.2986808
-1.5511558,-0.19695054,-0.16969714,0.5385234
-0.16340575,1.3083801,0.027033666,-1.091437
-0.89485943,0.21021599,0.5388359,0.29223976
0.23645775,-1.1243758,-0.97045434,-0.6813132
-1.7430001,1.0278038,-0.7509007,0.68934387
1.1015209,0.47413287,1.3400222,-1.1897082
0.5342751,-0.20680647,-1.5443065,0.33363405
-1.1251992,0.6958545,0.70937586,-0.49365383
-0.062164124,0.36167318,-1.6464517,-0.20863856
3.6110396,-0.26245865,-0.5859212,0.31115946
-0.7389083,-0.07358122,1.1714002,1.2740501
-1.3021771,-2.568463,0.555723,-0.26971886
-0.28452107,-1.5032296,-0.8179669,-0.5505592
0.9640778,1.0573218,1.330567,0.15810192
1.3492423,-0.16102755,-0.5611961,0.9758474
0.13418342,-0.64240545,-0.936708,0.84421396
-1.3395944,0.14528623,0.903737,0.43555924
-0.66083795,-0.022811696,-0.5114676,0.84253806
0.035183527,0.38807586,0.36970526,0.63332736
2.2869642,-1.2366755,0.42374858,0.8484593
-0.06288943,-2.0180538,0.954703,0.40126625
0.6153879,0.4408405,-0.09349584,-0.2761467
2.0983295,-0.19989863,0.17850137,-1.3060169
0.8288448,0.927901,-1.6785188,-0.18543938
2.0942273,2.785441,0.6118616,0.33409593
-2.1340446,1.6623586,0.022460852,-1.5800264
-0.16978693,0.15930644,-2.177003,-0.63970065
0.3765298,-0.52029616,-3.4213037,-0.14485498
0.74286926,0.4913209,-0.5476984,0.36069238
-0.7531901,-0.12514745,-0.15580663,-1.676758
0.6893928,-0.45565206,1.0134594,-0.3959881
2.0071638,0.58700866,0.5160837,0.3694835
-0.6526487,-0.6252463,-0.38686016,0.015933031
-0.81723815,0.83608794,-0.63389444,0.24153535
-0.8102037,0.21816652,-1.344248,0.19787987
-2.6992412,0.5791293,-0.10938431,-0.8502328
-0.20849499,-0.08169498,1.2581496,0.32141098
0.4303536,-0.7128219,-0.89146304,0.4324802
