Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v20,0.00043251453,0.0002035337,-0.000725992,-0.00085016555,-0.0014366241,0.0003418206,0.0006071466,-0.0017362651,0.0002824082,-0.00060731324,-0.0022012112,0.0012339369,0.0007942866,0.00022207783,0.0010135213,-0.0001832287,-0.00042639667,6.313308e-05,0.0011198866,-0.0009737815,-0.0005389354,-0.000667473
volume_sn_voxels::v21,0.0005394372,0.00034359042,-0.00073543703,-0.0006080983,-0.0014916186,0.00063040573,0.0005916749,-0.0013480854,0.0006986342,-0.00095476216,-0.0015243787,0.0012593757,0.0011854728,-5.7255507e-05,0.0009676711,-0.00017697073,-0.0003946036,-0.00030537118,0.0004646441,-0.0013726442,1.0966423e-05,-0.0004338179
volume_sn_voxels::v25,0.00053991395,0.00011247816,1.2009419e-05,-0.0010572986,-0.0010766988,-8.9208705e-05,0.0014683523,-0.0010484048,-0.00095076096,-0.00074626214,-4.070954e-05,0.00039010195,0.00023779535,0.00016869965,0.0016753555,0.00016523947,-0.00034541596,0.0012261528,0.0022079372,0.000112115136,-0.002222472,-7.413239e-05
volume_sn_voxels::v26,0.0005253429,6.0214974e-05,-0.00039241512,-0.0010862468,-0.0011759172,-9.876023e-05,0.001184798,-0.0012063899,-0.0009770343,-0.00057801785,-0.0009625293,0.0007229813,0.00014032176,0.00017619082,0.0013102528,1.9572088e-05,-0.0006940941,0.00040542116,0.0022655388,8.4753e-05,-0.0021636672,-0.0004375993
volume_sn_voxels::v28,0.0005787262,0.00013286347,-0.00059556914,-0.00075158133,-0.0015385319,-9.897889e-05,0.0007897346,-0.0013513744,-0.00034517667,-0.0006529626,-0.0016757147,0.00073992653,0.00044109856,-2.7482465e-05,0.0011109406,-0.00026325852,-9.13951e-05,0.00014355479,0.0018974731,-0.00041805883,-0.0012176397,-0.0006255809
volume_sn_voxels::v29,0.00053041434,0.0002998347,-0.0007266564,-0.00078863074,-0.0015724412,0.00017955643,0.0006068867,-0.001233635,-2.6906073e-05,-0.00089998014,-0.0014889159,0.0007735202,0.00048817974,-0.00021522581,0.0009420961,-0.00033436576,5.9505357e-05,-9.95569e-05,0.0012855581,-0.00079254055,-0.0004288332,-0.00037381455
volume_sn_voxels::v34,0.0006722986,0.00013284903,-0.0001129233,-0.0012376638,-0.0014535995,-0.00022369104,0.0010038445,-0.0011826404,-0.00090315344,-0.00065112,-0.0008698102,0.0006058632,-0.00041843843,-0.00038569412,0.0010589134,-6.817665e-05,-3.861828e-05,0.00054936495,0.0020697445,0.00035780302,-0.002445647,0.00011567187
volume_sn_voxels::v35,0.0005272254,0.00016469267,-0.00031673152,-0.0010127128,-0.0014341224,-0.00013074488,0.0008703664,-0.0012639638,-0.0006397713,-0.0007305996,-0.0013608382,0.0005853427,-0.00018743107,-0.00031575758,0.0009025761,-0.00020839558,0.00015901994,0.00034216294,0.0018814697,0.00014831577,-0.0019535003,-0.00012871761
volume_sn_voxels::v36,0.0005798882,0.00014128677,-0.0005139691,-0.0008533452,-0.0015849994,1.8287335e-05,0.00066194346,-0.0012707049,-0.0004585865,-0.0007054812,-0.001627248,0.00059683307,0.00010376556,-0.00020459776,0.00069459784,-0.00027629046,0.00031155808,4.760291e-05,0.0018553542,3.3807857e-05,-0.0009933561,-0.00031345367
volume_sn_voxels::v41,0.0005999887,0.00028700096,4.1377654e-05,-0.0011810455,-0.001349085,-0.00023424972,0.00092593377,-0.0009785768,-0.0007098772,-0.00074655405,-0.0007320528,0.000752604,-0.0008252063,-0.0005142963,0.00038853096,-1.0450823e-05,0.00046958285,0.0007175415,0.0023073012,0.00027340234,-0.0022048133,0.00083097105
