0,1,2,3
0.9515609,1.0286778,0.90957236,-0.86289245
-1.1658397,0.2601779,2.0641267,0.4598339
0.68036336,1.6918988,-0.9072047,-0.3408588
0.2568578,-1.037892,0.47447777,-1.0716519
0.48893353,1.4448432,-0.12403346,0.6501253
0.8546292,-1.1184667,-0.6844878,-0.5655151
0.53032464,-0.5260479,-0.2700149,-0.32745862
0.14633861,1.4778265,0.8052831,0.24265455
-0.4303406,-0.7110873,-0.008771098,-1.7912968
-0.25491646,0.53773063,-0.1176564,0.96580243
-0.8313718,0.29858768,1.167935,1.2032121
-1.0807904,-1.0193404,-0.40378398,-0.6049198
-1.2040066,0.38410732,0.35204712,0.18888228
0.4407778,-2.8132296,-0.1909218,-0.9229098
-0.27386123,0.47384375,0.15873368,0.22769582
-2.049766,-0.80019104,0.0820342,-0.817435
-1.2237577,0.074281074,-0.524519,0.79427844
-0.31634247,0.99833053,1.5932052,0.20096211
0.60445017,-0.13369852,0.34613714,0.8194606
2.177368,1.1269326,0.5938366,0.70006335
-0.60058504,-0.56598276,-0.29386815,-0.9535016
0.25137186,-0.11516722,0.60003376,-0.59254307
0.700512,-2.0346973,2.3814352,1.1564126
-1.3678612,-0.5002178,-0.2666354,-0.83897096
-0.6090682,-0.20321108,-0.19657095,-1.194067
-0.2159109,0.4328735,-1.2306104,-0.55502015
1.2236798,0.7039113,0.516027,1.5235146
0.05836487,-2.0638325,0.2415228,1.1069574
0.104507565,0.6209917,-1.1203711,-2.2166255
0.24736223,1.689084,1.8316907,0.5798344
-1.1364492,0.7343299,1.637627,-1.0958754
-0.024825715,-0.46972346,1.9080943,-0.50501376
0.20827171,-0.59705955,0.4355311,-0.6305146
-0.22987513,-0.7733969,-1.7792375,-0.25345072
1.3237107,0.592919,-1.1015723,0.8588111
-0.02979053,-0.3091804,0.14358872,-1.180582
0.6576536,-0.91742027,-0.928738,0.18749455
0.7273509,-0.31129053,-0.06868758,-1.2081476
-0.551316,1.0442228,1.0887136,0.02761651
1.8757658,1.7076652,-0.5148563,-1.8835258
-0.52594817,0.46078086,-0.53793246,0.29274592
-0.10808136,-0.04950886,0.33506167,1.0002049
-0.62732565,-0.30759665,-0.6416678,0.5827277
1.5330021,0.46960935,0.84592277,-0.45191255
0.51254743,0.30014127,-0.31341702,-0.9699154
0.9100239,-0.21336327,0.08470778,-0.51502424
0.041021265,0.028651105,0.2895635,-0.47557324
0.6525055,-0.6507554,1.2708191,-0.101169206
1.7075914,1.0065504,1.275301,0.27511555
-1.3585737,0.33986548,-0.8151604,-2.1105998
-1.0579827,0.0027642923,-0.014582461,1.1292069
0.22458303,1.1674289,0.61253744,-1.2626046
-0.37599146,-0.15475997,0.889715,-0.41411138
-0.89518464,0.11357933,-1.171915,-0.49064893
-0.33687323,0.7733911,-0.8254148,0.10386928
1.392704,1.2597815,-0.79867023,-0.68088406
-0.9349552,1.6365523,-1.1497171,-0.69471586
-0.12276825,0.10485982,-0.8209312,0.31034893
-0.88668406,0.7793062,1.0983034,0.7503359
0.15212047,1.9755689,-1.0279102,0.33499232
-0.0805871,1.7059124,1.093007,0.7602909
1.0698446,0.7859421,-0.22852203,0.59728193
0.92274255,1.3563783,0.07737875,0.9514089
0.76567245,0.4127262,-2.5876992,1.133113
0.65577763,0.2419183,-0.9841387,-1.2656059
1.3567725,-1.9071416,0.018101213,-0.26033047
-1.3767745,-0.10262301,0.7296756,-0.8205108
1.5910724,-1.2662948,0.843854,-0.24666458
0.3921249,-1.8254464,0.25800437,-1.692048
-0.46837708,-1.9494954,-0.3918932,-0.08609047
0.9389445,-0.35380918,-0.25807083,1.5067564
-0.47963914,-0.079294406,-0.07226381,-0.45204997
-1.878715,-1.9291459,-1.8567483,0.013561678
-0.5270451,-0.22656709,-1.0700517,1.0109265
1.2764454,1.1323625,-1.7600722,2.606305
0.061059255,0.55987054,0.72464955,0.79595804
0.028437437,-0.9422034,-0.4421152,-0.8554047
-2.1816106,1.3005693,1.4404271,-0.5016606
0.37755916,-0.4452816,0.59001845,-1.2527659
0.23900709,-0.45272198,0.7687011,-0.11457756
-1.8170984,0.9672456,1.1124972,0.81565166
-0.17689998,1.3225511,-0.4817491,0.83681804
-0.074513435,-0.8204715,0.96471804,-0.30082047
-1.3986756,-2.1988587,-1.5003359,1.8101605
1.7612085,1.6586388,0.69883955,-1.4626185
-1.1845758,-0.15459572,1.6848321,-0.8158711
-1.2166903,-0.24480589,-0.10062092,-0.36439735
-1.3830262,-0.1938655,-2.2803085,-1.3006136
0.3595924,-0.2210526,1.351563,0.80936396
1.400782,-1.0484107,1.2762873,-1.326431
1.2031462,-1.4887011,1.6289866,-0.60323954
-0.10412993,-0.1859559,-0.45158637,1.0825534
0.95375013,0.7313544,-1.4433061,-0.5229222
-1.168133,-2.1847203,-0.7511088,0.060552727
-0.009672012,-0.5310341,-1.2358962,-0.53610224
2.174941,0.34916666,-0.27600902,0.58116937
-0.3101938,-0.6589244,1.536868,-0.44079056
-0.6524871,0.45519277,-1.7730229,-0.84625137
-0.29343924,0.653321,0.28210256,-0.7660997
-1.1802678,0.72808737,0.8300833,1.5432544
-0.7471365,0.49765056,0.12442912,-1.174484
1.0861905,-1.0229511,-2.1394544,-0.40852347
1.4778963,1.2669206,-0.86445874,-0.07353344
-1.0401312,0.08343176,-0.64261866,1.893985
0.6363066,1.1147327,-1.2250136,-0.5787343
-0.675168,-1.050404,-0.69764924,-1.4584773
-0.5703777,-0.39954874,1.193705,0.6721117
2.1397965,-0.493089,0.69819164,0.45450604
-0.5926981,-2.5041249,0.78696036,0.23960824
0.7943223,-0.2961973,-0.3902453,0.31944427
0.906569,0.47857127,-0.43161857,0.501312
-0.8729435,0.5191124,0.027797267,-0.18151571
-0.2705616,-1.3023405,-0.4109291,-0.4192863
-0.48333445,0.54726416,-0.085503094,-0.30700564
-0.3422743,0.3748287,-1.0878493,0.8859735
0.1229395,1.4795262,0.4092725,-0.4208091
-0.43715292,1.5104645,0.13898115,-0.23321691
0.31365705,-1.083966,-0.29393804,-0.3183444
0.801222,-0.8211737,-1.4717908,-0.54228425
0.91244346,0.3277334,0.64954376,-0.22280772
0.042394556,1.6004297,2.520373,-1.0787606
-1.2922199,0.1980521,-0.10053178,-1.4899246
-0.18716547,-2.0513275,0.17503428,-1.3436174
2.1199117,-1.0705987,0.7252903,-1.0255425
0.08589189,1.0538673,-0.15942746,1.2216189
-0.43661723,0.92326885,0.9721796,-0.5460601
1.4107391,-1.4139454,0.82050633,1.5419841
-1.8317306,0.14499304,-1.9290206,0.5392778
