Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
rigidity_left,-0.43277973,-0.11585764,-0.04027619,-0.11911758,-0.013830423,0.03848821,0.089922294,0.017784795,0.0015535033,-0.1144558,-0.03607201,-0.03332103,0.031560045,0.13965867,0.17660572,-0.14135806,-0.058162097,0.053621955,0.11040294,0.07765286,-0.12651327,-0.12444661,-0.14297548,-0.054829784,0.025695171,-0.13460067,0.08718495,-0.180716,-0.10191803,-0.06915265
rigidity_right,-0.0031077832,-0.08815119,0.22835933,0.14222704,-0.0745872,-0.10577442,0.04841763,0.06907821,-0.110395834,0.13820703,0.14162214,0.04448277,-0.12588486,-0.054801643,-0.073957376,0.04131963,-0.15676583,-0.13739057,-0.14773205,0.078679524,0.13442698,-0.07652713,-0.0029858036,0.13320993,-0.032064505,-0.1843868,0.09569055,-0.06157906,-0.10850804,-0.029691195
tremor_rest_left,-0.17843108,0.04631094,-0.064789005,-0.17858608,0.030901289,-0.33286756,0.13007016,-0.0839922,-0.11074585,0.07801617,0.019202376,0.23239808,-0.042981613,-0.11594242,-0.0070362715,-0.012407272,-0.021778034,-0.12290572,0.10481151,0.02297017,-0.07088137,-0.00034702837,0.044553142,-0.0719335,0.020880017,-0.14773645,-0.04360573,0.12079398,0.019750515,0.11508364
tremor_rest_right,-0.0405239,-0.050715193,0.05245417,-0.11261344,0.07331331,-0.13811396,0.17785323,-0.08848084,0.06706943,0.16066192,-0.040543795,0.1479047,0.038238104,-0.29101583,-0.0773815,-0.16600296,-0.0520257,-0.0032798485,0.023425285,0.11099679,-0.08899821,-0.35116807,-0.048217215,-0.024970908,-0.1189622,0.06727732,0.071131766,0.08570631,0.029134737,0.2536251
tremor_postural_left,-0.1611689,-0.041191533,-0.16232465,-0.011710903,0.078131154,-0.35806924,0.06896667,0.11520516,-0.034812056,0.15549155,0.005783127,0.056381334,0.03026912,0.09200913,0.06790905,-0.146401,-0.032601517,-0.12654622,0.045512747,0.019086674,-0.16426158,0.25962365,0.19431289,-0.04395631,-0.026039517,0.15964225,-0.037817795,-0.052885357,-0.046388146,0.12471837
tremor_postural_right,0.12453135,-0.04137289,0.009440281,-0.071967356,0.04142053,0.1192561,-0.15604174,0.090523355,-0.07740932,-0.0008747748,-0.055379845,0.15756147,-0.05405183,-0.31208667,-0.13048834,0.071297824,-0.09834482,0.054380152,-0.11165516,-0.050554123,-0.016632695,-0.19085827,-0.20735443,0.14824453,0.0075055207,0.050563827,0.2454249,0.14899698,-0.04027354,-0.08199769
bradykinesia_speed_left,-0.1644917,0.055254076,0.13963492,-0.04726388,0.019288016,0.14122643,0.044339824,0.14839216,-0.06410448,-0.0037582726,0.0057408633,-0.13952364,0.08157178,0.07378844,0.14645325,0.022504907,0.07694813,0.13966075,0.17341505,0.048015054,0.21822065,-0.12263261,-0.03167667,-0.24790908,0.019986339,-0.107216954,0.010285224,0.033723164,-0.0323726,0.005980645
bradykinesia_speed_right,0.10372282,-0.025349043,0.14752033,0.1942428,-0.096835904,-0.054217644,0.05126905,-0.015966065,0.12015211,-0.02569393,-0.001439407,0.073965214,-0.122130185,-0.032718968,-0.10903353,0.12236925,0.033443138,-0.034262612,-0.064314775,-0.010566103,0.020908786,0.025189906,-0.06420637,0.052420452,0.020873537,-0.040697917,0.06806283,0.13040826,-0.019864313,0.06681777
bradykinesia_amplitude_left,-0.30403143,-0.03934232,-0.16433527,-0.22076859,-0.14945906,-0.11217327,-0.056904815,-0.07139246,0.018305264,-0.05057947,0.0059710424,-0.37610206,0.11016245,-0.05573834,0.17479357,-0.031221533,0.0053353505,0.034236457,-0.051260144,0.007210055,-0.021336326,-0.11598275,-0.17781669,-0.041150767,0.009046912,-0.10211061,0.013224325,0.11617602,0.13392164,0.11718363
bradykinesia_amplitude_right,0.08574475,0.0128555745,0.022265757,0.24373008,-0.0062198737,-0.02308559,0.13584772,0.046783686,-0.069593064,-0.02438722,0.33014888,-0.07075833,-0.04060138,0.012929115,-0.077044986,0.13140993,-0.0030713968,-0.04560069,0.10151828,0.036981005,0.06543277,-0.00038383208,0.09287481,0.08895944,0.035284456,0.073564716,0.19353989,-0.07750015,-0.041789476,-0.07868706
