Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Feature_86,1.1017263,1.3535404,0.5256424,-1.0402334,1.0399541
Feature_87,1.1968046,1.4963629,0.4657729,-0.83195984,1.3107666
Feature_88,1.2132893,1.2116137,0.69696695,-1.4792492,0.85100436
Feature_89,1.0572076,1.4444418,0.761521,-1.3242788,1.0427912
Feature_90,1.0924628,1.8088578,0.90910953,-1.1783897,1.4702505
Feature_91,1.5528456,0.56627744,-0.9291226,0.6907898,1.283621
Feature_92,1.054625,1.4823364,0.92345595,-1.5769346,0.9906938
Feature_93,0.9609181,1.9484904,1.1190381,-1.5541955,1.300422
Feature_94,0.8914656,1.943513,1.0210004,-1.1944257,1.4497563
Feature_95,0.94646674,1.563924,0.23261559,-0.13455664,1.5535052
Feature_96,1.4694206,0.7595325,-0.74879616,0.5166267,1.1515398
Feature_97,1.748855,0.4621616,-1.0064733,0.790033,0.8187382
Feature_98,1.2097183,1.4139947,0.94791275,-1.6791929,0.7020512
Feature_99,0.9783226,1.6776869,1.1361791,-1.6903933,0.9247194
Feature_100,0.79492205,1.6431729,1.0109766,-1.2128075,0.94101167
Feature_101,0.80655867,1.7133257,0.85723805,-0.9186604,1.1491395
Feature_102,0.92953765,1.4416429,0.40624818,-0.28546894,0.99940544
Feature_103,1.4907783,1.2020055,-0.1889423,0.11902015,0.9190786
Feature_104,1.6953214,0.6690469,-0.63565224,0.42182216,0.6267923
Feature_105,2.5125465,0.91958404,-0.10182855,0.5782459,-0.49366286
Feature_106,2.3222485,0.96780926,-0.34797055,0.66757065,0.0013539116
Feature_107,1.0702462,0.86512244,-0.74928075,0.64837897,0.7661573
Feature_108,0.7157404,1.2946136,-0.109394506,-0.31018043,1.0504653
Feature_109,0.9186233,0.46545544,-1.1233226,0.23209774,0.806477
Feature_110,1.055035,1.5698829,0.7055894,-1.3214556,0.7079405
Feature_111,0.86386716,1.5508645,0.4806449,-1.061972,1.07496
Feature_112,0.8776498,0.35851005,-1.182831,0.40581542,1.2271656
Feature_113,0.8895242,0.32379285,-1.167478,0.19612399,0.6786269
Feature_114,1.2228162,1.4040473,0.87118983,-1.8049084,0.6122004
Feature_115,0.9203283,1.5980451,0.8971852,-1.4991293,0.8357771
Feature_116,0.7663928,1.943696,1.0071639,-1.5334358,1.2617291
Feature_117,0.9189885,0.74162877,-0.9568646,0.54711133,1.5997077
Feature_118,0.7980139,0.3860037,-1.224044,0.53198177,1.3456548
Feature_119,0.9030216,0.13957308,-1.3068725,0.46271962,0.87706774
Feature_120,0.968965,1.8073949,1.1795077,-1.9360132,0.97224987
Feature_121,0.6951142,1.9399651,1.1905141,-1.6300782,1.2370641
Feature_122,0.2938639,1.7707866,1.0089499,-1.2201732,1.1976205
Feature_123,0.31792256,1.7778566,0.7632071,-0.84791636,1.3479846
Feature_124,0.43726072,1.5587105,0.22267388,-0.39218044,1.5747756
Feature_125,0.8039698,1.3799744,-0.48173887,0.093783945,1.7552894
Feature_126,0.93888384,0.6522236,-0.9978236,0.4393578,1.2838359
Feature_127,0.96852016,0.31710204,-1.2724389,0.6060157,0.87339294
Feature_128,0.9163132,1.6008204,1.0442531,-1.9252496,0.7075315
Feature_129,0.65786695,1.8075157,1.207935,-1.7150582,1.0040709
Feature_130,0.27924675,1.7645977,1.0953221,-1.3545837,1.0621654
Feature_131,0.13750307,1.6639729,0.8259038,-0.94187206,1.108485
Feature_132,0.28318542,1.447754,0.25684658,-0.59730697,1.1588986
Feature_133,0.8594564,1.1465256,-0.3189468,-0.16117273,0.99665916
Feature_134,1.106586,0.6139248,-0.8893536,0.32066724,0.7728666
Feature_135,1.2179118,0.20531823,-1.2648466,0.58916885,0.41178915
Feature_136,0.6826526,1.5465369,1.0996644,-1.691934,0.41309324
Feature_137,0.34196475,1.5933503,1.256882,-1.3515629,0.5642248
Feature_138,0.38967484,1.4524456,0.8105209,-1.0185192,0.564996
Feature_139,0.338252,1.3472914,0.39967632,-0.6472572,0.52831054
Feature_140,0.91290486,0.9259824,-0.32139215,-0.20623252,0.33338788
Feature_141,2.3480089,0.80107766,-0.1614306,0.6096372,-0.5134242
Feature_142,1.910489,0.74892724,-0.6045034,0.8073393,0.29844382
Feature_143,1.6200478,0.7064223,-0.80221075,0.952166,0.8143558
Feature_144,1.0332512,0.6601577,-0.77201796,0.69203776,0.9042734
Feature_145,1.0874343,0.6376709,-0.8679894,0.7595801,1.0900583
Feature_146,0.88754636,0.813597,-0.7993032,0.24497333,1.0743597
Feature_147,0.9503769,0.7268643,-0.8325818,0.5622241,1.3288021
Feature_148,0.79317516,0.4379776,-1.3225144,0.0779447,1.2210795
Feature_149,0.48097625,1.2143885,-0.20876934,-0.61309004,0.6465023
Feature_150,0.636401,1.0832988,-0.47475037,-0.29531804,1.0897533
Feature_151,0.7273003,0.9074957,-0.60441893,0.20432551,1.2001415
Feature_152,0.712658,0.7473244,-0.898861,0.36053875,1.4826416
Feature_153,0.33921626,0.5687056,-1.2384802,0.59799665,1.5741059
Feature_154,0.33971724,0.47561044,-1.4656482,0.5501626,1.9008371
Feature_155,0.3692753,1.4571803,0.14000529,-0.8151508,0.9999286
Feature_156,0.6527524,1.5716846,1.9111623,-0.6493015,1.3082671
Feature_157,0.47150174,1.1098841,-0.5028155,0.005106113,1.4220868
Feature_158,0.516239,0.76316035,-0.9827944,0.26800516,1.5641965
Feature_159,0.32339215,0.61529034,-1.2670546,0.57324594,1.8140732
Feature_160,0.18980692,0.3489036,-1.6208578,0.49365127,1.8114828
Feature_161,0.21112421,0.1684803,-1.7807226,0.3584514,1.7095526
Feature_162,0.50667566,0.19447815,-1.5967243,0.1569976,1.2025871
Feature_163,0.7768081,1.5736182,0.87755954,-1.4773909,0.42269805
Feature_164,0.4219131,1.8527707,0.8924582,-1.3785077,0.8194487
Feature_165,0.18993354,1.6627095,0.64822733,-1.00803,1.0372926
Feature_166,0.44098622,1.6141382,0.285486,-0.7434182,1.2576823
Feature_167,0.43579227,1.2988979,-0.18370268,-0.37587124,1.4305027
Feature_168,0.44614527,0.93052584,-0.7680925,0.34089366,1.4534317
Feature_169,0.23492363,0.5169478,-1.2737297,0.4933289,1.5372821
Feature_170,0.33502895,0.30667323,-1.5699825,0.6662994,1.5459687
Feature_171,0.3956099,0.13679998,-1.8321455,0.5524062,1.4681928
Feature_172,0.5533772,0.08415057,-1.5156364,0.26061395,0.8183551
Feature_173,0.71955574,1.7471824,1.0842254,-1.7736168,0.5655558
Feature_174,0.41262332,1.9917651,1.184069,-1.6803117,0.93313277
Feature_175,0.19634679,1.7609785,0.89730155,-1.2203813,1.0903739
Feature_176,0.16639504,1.5520432,0.57131344,-0.829324,0.99431914
Feature_177,0.05495266,1.5262756,-0.010644581,-0.5497448,1.401722
Feature_178,0.266774,1.1191998,-0.71152604,0.029609313,1.3798234
Feature_179,0.36682874,0.554996,-1.1438743,0.35584947,1.1479079
Feature_180,0.51138437,0.276304,-1.595886,0.55243087,1.1341419
Feature_181,0.54351634,0.01407434,-1.6456679,0.43822953,0.7338458
Feature_182,0.75396305,0.029288469,-1.3985546,0.3423049,0.38112968
Feature_183,0.7464863,1.6565937,1.0486273,-1.928723,0.48780203
Feature_184,0.34912816,1.8306144,1.1664343,-1.6526078,0.7848236
Feature_185,0.06111457,1.7705015,1.0308194,-1.2780029,0.92870796
Feature_186,0.19824032,1.4722244,0.67032695,-0.8552476,0.82884157
Feature_187,-0.07978787,1.5179396,0.18843618,-0.68633986,1.0416282
Feature_188,0.2272864,1.012205,-0.58867776,-0.23196194,0.8277129
Feature_189,0.48133314,0.5598785,-1.1346097,0.21004316,0.6665856
Feature_190,0.7174301,0.18728586,-1.5241064,0.49434423,0.563765
Feature_191,0.46861318,1.7341449,1.1002469,-1.8555762,0.55878806
Feature_192,0.08499028,1.5398757,0.9075313,-1.3662469,0.6418394
Feature_193,-0.026409209,1.351144,0.59769744,-1.0585182,0.5495282
Feature_194,-0.113013275,1.4041666,0.28645223,-1.0133965,0.5545914
Feature_195,0.3024104,0.99677944,-0.43075722,-0.26551756,0.28272554
Feature_196,0.8160471,0.59173125,-1.0807552,0.19754045,-0.01943868
Feature_197,0.9966209,0.103195064,-1.5532377,0.50964904,-0.22731987
Feature_198,1.1112866,-0.09900355,-1.4100893,0.58119637,-0.33722398
Feature_199,0.59737164,1.4138452,0.9212566,-1.8016422,0.028442647
Feature_200,-0.34611893,1.3988408,0.82928807,-1.5424515,0.2028485
Feature_201,0.09436771,1.5284203,0.6742609,-1.5714909,0.20807615
Feature_202,0.19275416,1.1710756,0.070234105,-1.1227654,0.104197554
Feature_203,0.6522302,0.8728543,-0.50930613,-0.5681995,-0.34258252
Feature_204,1.1663026,0.3976906,-1.0623639,0.059375994,-0.65339136
Feature_205,1.2009791,0.047405005,-1.3467861,0.5269876,-0.7700566
Feature_206,2.1178787,0.6678522,0.13993303,0.3820781,-1.1703768
Feature_207,2.1034148,0.75906855,-0.19634315,0.7426694,-0.6400638
Feature_208,2.0986722,0.7441593,0.02982983,0.30872074,-0.9007832
Feature_209,1.6306299,0.90342283,-0.68179834,-0.26680785,-0.18861796
Feature_210,0.9825588,0.56664854,-0.9589191,0.49177995,0.6234211
Feature_211,0.82520056,0.38080844,-1.5418656,0.2497279,1.3287685
Feature_212,1.0245557,0.44496045,-1.4742922,-0.040225346,1.1359891
Feature_213,1.1002475,0.60944617,-1.1767688,-0.30121365,0.58775985
Feature_214,1.0512377,0.7187165,-0.7885282,-0.4920061,-0.24179377
Feature_215,0.6458798,0.7576349,-0.9715142,-0.030235283,0.6548145
Feature_216,0.7195296,0.5646919,-1.0360417,0.27023256,0.9266734
Feature_217,0.79163355,0.40775368,-1.2997959,0.43942758,1.2406315
Feature_218,0.4091453,0.3339718,-1.6732713,0.30673245,1.6481069
Feature_219,0.23943305,0.29462883,-1.8103518,0.3620086,1.7970045
Feature_220,0.6317338,0.2695893,-1.7614799,-0.08003478,1.7142609
Feature_221,0.63398886,0.5057035,-1.2529659,-0.28045878,0.8932336
Feature_222,0.29187614,0.955715,-0.6531802,-0.5112516,0.6790241
Feature_223,0.5402761,0.7034664,-0.89081305,-0.14290194,0.84373766
Feature_224,0.4544039,0.49698147,-1.2541468,0.2759794,1.1745434
Feature_225,0.28205976,0.37192437,-1.5517254,0.43081775,1.5424708
Feature_226,0.07711387,0.2931014,-1.9294808,0.091788635,2.031286
Feature_227,0.15888597,0.2315472,-1.8880124,0.22717772,1.9228761
Feature_228,0.17929335,0.1849905,-1.6844798,0.018736908,1.5306453
Feature_229,0.43492138,0.29859522,-1.3917398,-0.18079181,0.95150757
Feature_230,0.4140871,1.177097,-0.46170634,-0.6984958,0.7746331
Feature_231,0.5430036,0.86202085,-0.91287166,-0.29373297,1.0652095
Feature_232,0.24430248,0.59222066,-1.2055563,0.13668257,1.2855794
Feature_233,-0.03240984,0.400326,-1.5656803,0.5000521,1.6204035
Feature_234,-0.1251916,0.22408539,-1.8185078,0.44903666,1.7972308
Feature_235,-0.13003251,0.22743642,-1.7188121,0.33922154,1.6687251
Feature_236,-0.008968678,0.10612832,-1.834939,0.018997544,1.691656
Feature_237,0.23616862,0.17916706,-1.4733164,-0.16421402,0.9127113
Feature_238,0.7165961,1.4814686,0.60619044,-1.4632045,-0.0030471496
Feature_239,0.031112544,1.5645866,0.48658895,-1.3802035,0.3410448
Feature_240,0.08454659,1.6438904,0.18760853,-1.2050486,0.6594749
Feature_241,0.53484464,1.4100289,-0.11009249,-0.82001513,0.89143413
Feature_242,0.40411815,1.0824085,-0.674509,-0.27997234,1.0674391
Feature_243,0.2794559,0.6377746,-1.1423854,-0.0304583,1.2739071
Feature_244,0.07597681,0.40321624,-1.337706,0.28472653,1.284133
Feature_245,-0.29984707,0.25231546,-1.6213806,0.35080025,1.4319669
Feature_246,-0.1622313,0.17626008,-1.8192301,0.38151348,1.5617625
Feature_247,-0.1072259,0.049262345,-1.7278929,0.17399773,1.0855358
Feature_248,0.30424097,0.03243276,-1.403862,0.08840968,0.5790926
Feature_249,0.88220835,1.1024846,0.5616192,-1.4529388,-0.16691372
Feature_250,0.6021127,1.640698,0.92958534,-1.518986,-0.05793386
Feature_251,0.3521517,1.6491538,0.7809788,-1.3383878,0.40187773
Feature_252,0.001117929,1.6075784,0.5777656,-1.0381634,0.55433655
Feature_253,0.2102618,1.4329681,0.22252363,-0.8476968,0.80604184
Feature_254,0.24889755,1.3550508,-0.565522,-0.51769286,1.1001687
Feature_255,0.20180483,0.8159411,-0.95113915,-0.070388414,0.9956095
Feature_256,0.04040863,0.47327977,-1.4400517,0.3256531,1.0732073
Feature_257,-0.06282159,0.224306,-1.6853808,0.4100413,1.0269684
Feature_258,-0.3947681,0.039552175,-1.7653636,0.37677315,0.9326734
Feature_259,0.13369216,0.010310867,-1.5269452,0.2770302,0.71370876
Feature_260,0.49832943,-0.03712395,-1.44939,0.052053362,0.15082775
Feature_261,1.2306888,1.4182454,0.7681925,-1.9077675,-0.33939302
Feature_262,0.86298114,1.7509972,1.0636973,-1.8278399,0.10495156
Feature_263,0.26472032,2.0131698,1.0909992,-1.7650293,0.47962064
Feature_264,-0.052358594,1.5104733,0.7045334,-1.4125439,0.562133
Feature_265,-0.11080067,1.3878686,0.36737427,-0.91544795,0.58328277
Feature_266,-0.01039374,1.3435143,-0.21519206,-0.83754414,0.69701403
Feature_267,0.08030667,0.5075527,-1.3824066,0.18511203,0.46989256
Feature_268,0.07190286,0.20091918,-1.5884302,0.36365777,0.4195969
Feature_269,0.12047751,0.031626526,-1.7417073,0.4350933,0.270451
Feature_270,0.48743472,-0.10147372,-1.7760644,0.38827738,0.07152366
Feature_271,0.799474,-0.18965007,-1.4803072,0.23110937,-0.374852
Feature_272,1.2245146,1.1081238,0.5551348,-1.6417032,-0.42665067
Feature_273,0.9116168,1.6491439,0.9609159,-2.0035508,0.09894652
Feature_274,0.23802705,1.6451628,0.91188884,-1.6786023,0.37264597
Feature_275,-0.18609922,1.545085,0.77215075,-1.3525063,0.44265267
Feature_276,-0.2796396,1.4471812,0.42177793,-1.2367554,0.4862675
Feature_277,-0.28627774,1.3860798,-0.024211837,-1.023273,0.2682842
Feature_278,-0.028979253,0.90425056,-0.7962328,-0.5128004,0.060016595
Feature_279,0.19546586,0.48253495,-1.3500986,0.032664962,-0.20333245
Feature_280,0.2987544,0.24451682,-1.4526017,0.31257924,-0.30707976
Feature_281,0.6543969,-0.016963119,-1.9814242,0.50091594,-0.5071567
Feature_282,0.73581946,-0.09916605,-1.4399436,0.37417948,-0.60785615
Feature_283,1.1210496,0.9497237,0.37611133,-1.2959487,-0.42616192
Feature_284,0.8682793,1.4932626,0.7566142,-2.1123571,-0.29480383
Feature_285,0.33965486,1.7012367,0.9440761,-2.0037308,0.12225325
Feature_286,-0.29345912,1.5178423,0.752553,-1.65073,0.2042746
Feature_287,-0.4921274,1.4061991,0.4780867,-1.4635453,0.18687749
Feature_288,-0.38508743,1.3183264,0.027736474,-1.2366952,-0.14928311
Feature_289,0.079139106,0.9740367,-0.5916957,-0.7318196,-0.58623654
Feature_290,0.5323242,0.46020448,-1.189647,-0.08110473,-0.7948131
Feature_291,0.77899873,0.10293392,-1.5271777,0.3612709,-1.0651919
Feature_292,0.96711284,-0.15376727,-1.5520717,0.4716035,-1.1646549
Feature_293,1.096725,1.210107,0.5905284,-1.8896724,-0.51621073
Feature_294,0.459121,1.6277375,0.935036,-2.216162,-0.37719443
Feature_295,-0.0006083923,1.5385767,0.80424637,-2.105295,-0.2463267
Feature_296,-0.07083798,1.2911589,0.43789363,-1.7821765,-0.20454656
Feature_297,-0.16655566,1.2621115,0.033641953,-1.5876894,-0.6489483
Feature_298,0.32551548,0.7536611,-0.58113223,-0.8111531,-1.0665004
Feature_299,0.81617075,0.39916122,-1.0766816,-0.18707229,-1.3040701
Feature_300,1.0701791,0.07007705,-1.3265697,0.26393685,-1.6072705
Feature_301,1.1401752,-0.16802612,-1.2918237,0.41590533,-1.6402365
Feature_302,0.7428737,1.2002454,0.80485547,-2.156398,-0.7859185
Feature_303,0.37618065,1.2350773,0.79394776,-2.1646566,-0.6867194
Feature_304,0.20226547,1.0648961,0.49746758,-1.9398249,-0.7193774
Feature_305,0.3446325,1.0065355,0.12346921,-1.5950724,-1.1511241
Feature_306,1.9596783,0.62820643,-0.045219913,0.41620004,-1.0809817
Feature_307,1.8702831,0.64366394,-0.4075235,0.4853259,-0.6823962
Feature_308,1.7068328,0.7291523,-0.34303775,-0.057848845,-0.754724
Feature_309,1.476374,0.6432676,-0.9632456,-0.19309859,0.16550387
Feature_310,0.76577294,0.2948232,-1.5562646,0.024694134,1.1073797
Feature_311,0.8078695,0.5345377,-1.2232378,-0.3896236,1.0265067
Feature_312,0.8317855,0.53079015,-1.0640057,-0.49751377,0.37374887
Feature_313,0.60260665,0.59016705,-1.2583834,-0.040462617,0.38854614
Feature_314,0.35993195,0.18616614,-1.796269,-0.0037844558,1.5870054
Feature_315,0.23536985,0.18106848,-1.688428,-0.048725486,1.7141395
Feature_316,0.36291614,0.27721402,-1.4025412,-0.29546914,1.2722547
Feature_317,0.48382542,0.39606118,-1.136882,-0.50826925,0.666403
Feature_318,0.46229842,0.496672,-1.3100493,-0.049490195,0.6661448
Feature_319,0.3369023,0.31011397,-1.624141,0.179522,1.0218705
Feature_320,0.10836886,0.15252893,-1.7828012,0.21967055,1.4197497
Feature_321,-0.04394653,0.12274083,-1.8448582,0.14074777,1.690464
Feature_322,-0.2872973,0.049454022,-1.8374988,-0.110499166,1.6098313
Feature_323,-0.012743174,0.14608544,-1.4767945,-0.1949091,1.3110244
Feature_324,0.3130847,0.28943482,-1.2458677,-0.2723002,0.71319413
Feature_325,0.2272719,0.70635635,-1.0600306,-0.40184563,0.44829217
Feature_326,0.41580868,0.39357626,-1.3808326,-0.08266993,0.83520913
Feature_327,0.19084354,0.2978063,-1.444895,0.15599798,1.0086936
Feature_328,-0.14520694,0.450496,-1.7491261,0.094690636,1.4467357
Feature_329,-0.39437342,0.09061969,-1.9488882,0.21758766,1.6340225
Feature_330,-0.32999447,0.0643513,-1.8081753,-0.011029515,1.618337
Feature_331,-0.15676244,0.02665341,-1.7046714,-0.19587064,1.2941053
Feature_332,0.28919658,0.15382728,-1.3090367,-0.28939626,0.66929364
Feature_333,0.53097874,1.0650038,-0.51976347,-0.76211685,0.35374358
Feature_334,0.43346873,0.79305166,-1.0153645,-0.4606201,0.5835165
Feature_335,0.41575468,0.497435,-1.3370564,0.04879825,0.69758075
Feature_336,0.06361488,0.21079084,-1.5020727,0.21430565,0.88051015
Feature_337,-0.35680953,0.17468588,-1.743166,0.27729076,1.3049048
Feature_338,-0.50283015,0.0755035,-1.9115796,0.23576024,1.429283
Feature_339,-0.5139073,-0.04154051,-1.824008,0.07374722,1.37231
Feature_340,-0.2675151,-0.050035868,-1.5796194,-0.03270906,1.1211743
Feature_341,-0.051541258,1.3339295,0.11897963,-0.93337095,0.13991094
Feature_342,0.07645941,1.1743094,-0.3221652,-0.6481063,0.2557806
Feature_343,0.32637584,0.87893844,-0.84943575,-0.42053193,0.36489227
Feature_344,0.15093572,0.5061328,-1.414963,-0.021383245,0.5640559
Feature_345,-0.046272043,0.29222065,-1.6514223,0.23492053,0.7257778
Feature_346,-0.1454509,0.20396428,-1.5548787,0.35883704,0.69615644
Feature_347,-0.3985843,0.045278523,-1.6617959,0.24423908,0.8026399
Feature_348,-0.34165904,-0.01749417,-1.5853906,0.07913254,0.7442379
Feature_349,-0.09211444,-0.14530759,-1.4281678,0.05174205,0.41357723
Feature_350,-0.00057731476,1.486015,0.5942408,-1.1762763,0.045077946
Feature_351,-0.3231844,1.298069,0.29513672,-0.88194215,0.09970032
Feature_352,0.020214729,1.4215919,-0.06753078,-0.85826415,0.40651488
Feature_353,0.208736,0.97676724,-0.6536673,-0.62735915,0.21273012
Feature_354,0.12649192,0.7158165,-1.2062039,-0.18567884,0.09504819
Feature_355,-0.29579213,0.41529799,-1.4622377,0.13031836,0.2081142
Feature_356,-0.22090578,0.25162786,-1.391241,0.27340743,0.106169
Feature_357,-0.22799008,0.09318164,-1.5775434,0.26619658,0.27269644
Feature_358,-0.21214494,-0.023796069,-1.6057469,0.23436595,0.16429529
Feature_359,0.32400137,-0.06597356,-1.2813063,0.18592528,-0.11771589
