factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.6868,0.6518,0.6129,0.3982,530,0.9888,True
1,1.8826,0.4931,0.3118,0.4526,531,0.9907,True
2,1.7733,0.5548,0.4622,0.4213,530,0.9888,True
3,1.6652,0.4728,0.355,0.3945,526,0.9813,True
4,2.082,0.4545,0.2888,0.4283,529,0.9869,True
5,1.7913,0.5038,0.4105,0.4062,524,0.9776,True
6,2.1475,0.5797,0.4682,0.4476,529,0.9869,True
7,2.0345,0.5428,0.367,0.4897,528,0.9851,True
8,1.8775,0.5083,0.3806,0.4428,522,0.9739,True
9,1.8456,0.4362,0.2713,0.4376,529,0.9869,True
10,1.8348,0.5315,0.3907,0.4285,528,0.9851,True
11,1.8941,0.4593,0.3186,0.4303,528,0.9851,True
12,1.9367,0.4599,0.3019,0.4368,529,0.9869,True
13,1.7675,0.4823,0.3605,0.3858,529,0.9869,True
14,2.2048,0.4294,0.3091,0.4001,521,0.972,True
15,1.8132,0.5514,0.3894,0.461,527,0.9832,True
16,1.915,0.479,0.3349,0.4374,527,0.9832,True
17,2.139,0.4264,0.3,0.3985,525,0.9795,True
18,2.2432,0.4649,0.3405,0.4086,525,0.9795,True
19,2.1323,0.5092,0.3565,0.4276,528,0.9851,True
20,2.0475,0.3853,0.2662,0.3805,531,0.9907,True
21,1.7543,0.4232,0.2639,0.4181,525,0.9795,True
22,1.8524,0.4287,0.2783,0.4215,528,0.9851,True
23,2.6423,0.5268,0.3482,0.5156,528,0.9851,True
24,1.8787,0.4017,0.2527,0.4064,517,0.9646,True
25,2.1925,0.4154,0.2935,0.4005,516,0.9627,True
26,1.5094,0.5179,0.4412,0.3683,528,0.9851,True
27,1.8321,0.6261,0.5254,0.4413,530,0.9888,True
28,2.1822,0.4603,0.2907,0.4643,520,0.9701,True
29,2.2855,0.3228,0.2128,0.337,524,0.9776,True
