Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,2,50.0,Unstable,0.5553427524864674
1,3,75.0,Robust,0.7513645887374878
2,1,25.0,Unstable,0.5213196761906147
3,1,25.0,Unstable,0.5085304863750935
4,1,25.0,Unstable,0.6434121802449226
5,2,50.0,Unstable,0.6908468045294285
6,3,75.0,Robust,0.8490291088819504
7,3,75.0,Robust,0.7909024357795715
8,4,100.0,Robust,0.9027035981416702
9,2,50.0,Unstable,0.6604084968566895
10,1,25.0,Unstable,0.6765733622014523
11,1,25.0,Unstable,0.566108912229538
12,2,50.0,Unstable,0.6230580359697342
13,1,25.0,Unstable,0.5965561494231224
14,1,25.0,Unstable,0.6236304976046085
15,2,50.0,Unstable,0.5680635720491409
16,3,75.0,Robust,0.85362908244133
17,2,50.0,Unstable,0.73517195135355
18,2,50.0,Unstable,0.5503933764994144
19,1,25.0,Unstable,0.5111255943775177
20,1,25.0,Unstable,0.5455992557108402
21,1,25.0,Unstable,0.7355246543884277
22,1,25.0,Unstable,0.5236860364675522
23,2,50.0,Unstable,0.6909423992037773
24,2,50.0,Unstable,0.5708358250558376
25,1,25.0,Unstable,0.562480840831995
26,1,25.0,Unstable,0.6302321255207062
27,1,25.0,Unstable,0.39240337908267975
28,4,100.0,Robust,0.9077364653348923
29,2,50.0,Unstable,0.540800953283906
