Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v0,0.00020583892,0.0005110937,-0.0002329994,4.981661e-05,-0.00059315446,0.0011559988,-0.00010202774,-0.0018674103,0.0004504747,0.0006465941,-0.0015948826,0.0010180599,0.0011562486,5.8611087e-05,-0.00024685732,0.0008842019,-0.0010856319,-0.00029576308,-0.0017237968,-0.00053789373,0.0013192563,-8.206046e-05
volume_sn_voxels::v1,0.00027706745,0.0006800957,8.357279e-05,0.00025128003,-0.00067978416,0.0012662424,-5.5675166e-05,-0.0017295597,0.0004313068,0.000530298,-0.001067077,0.00039103953,0.0013164722,-0.0004926436,1.5999722e-05,0.0017315729,-0.0009136182,-0.001189033,-0.0016528452,-0.0007653726,0.0014030105,0.0015145614
volume_sn_voxels::v2,0.00028858116,0.00040600423,-0.00042988177,-8.490499e-05,-0.00068547484,0.0009842172,6.81853e-05,-0.0017780012,0.0006599467,0.0005205431,-0.0019314415,0.0013874036,0.001570907,0.00044920956,-3.702023e-05,0.0008010558,-0.001415236,5.081213e-06,-0.0012786493,-0.00088423374,0.0009334217,-0.0006673384
volume_sn_voxels::v3,0.0003634424,0.0005155568,-0.0003762024,-7.0610604e-06,-0.00088864163,0.0011749018,5.0473267e-05,-0.0018957972,0.00095264404,0.00028930063,-0.001504471,0.0012598133,0.0021095027,-4.3471175e-07,0.00014082916,0.0011487096,-0.0011384975,-0.0005794337,-0.0015537122,-0.001284087,0.0011148966,1.8125858e-05
volume_sn_voxels::v4,0.0004271771,0.0006187742,-8.141804e-05,0.00010118525,-0.001083408,0.0013409232,6.236654e-05,-0.001890633,0.0010258654,0.00018201211,-0.00081205595,0.0008465577,0.001805699,-0.0005867046,0.0001559195,0.0018188072,-0.00044965997,-0.0011059162,-0.001986325,-0.000998513,0.0011402689,0.0014069111
volume_sn_voxels::v5,0.00029659877,0.00026300034,-0.00064235635,-0.00027143143,-0.00076648436,0.0008355572,0.00027535573,-0.0018269892,0.00061613636,0.00021234712,-0.0018772602,0.0013169195,0.0013813768,0.0005067235,0.0002911693,0.00041092635,-0.0013006038,0.00034383486,-0.00023139513,-0.0012529634,0.0004410932,-0.0009932576
volume_sn_voxels::v6,0.00035238548,0.00036726255,-0.00049924525,-0.0002209276,-0.0009840078,0.0010631036,0.00024730535,-0.001759962,0.0008684501,-1.256016e-05,-0.0017342882,0.0016800707,0.0018276613,0.00019782754,0.00046763688,0.00073383213,-0.0011210202,-0.0002054425,-0.00062131986,-0.0014774597,0.00040289664,-0.0007273543
volume_sn_voxels::v8,0.0005258255,0.0006538603,-0.00014204286,-6.6213164e-05,-0.0011275805,0.0013499822,0.00017274881,-0.0018183148,0.0012950738,-0.0004333199,-0.0008074574,0.000881878,0.0020724467,-0.0004950444,0.00044154515,0.0015155068,-0.00017843892,-0.0017837078,-0.0016318874,-0.0011792338,0.00093505764,0.0015730583
volume_sn_voxels::v11,0.00030800112,0.00018960873,-0.00067384844,-0.00036726645,-0.001019475,0.0006320291,0.00051931845,-0.0016020605,0.0003976104,-8.621151e-05,-0.0022319502,0.0011791326,0.0010477928,0.0004535107,0.00073502585,9.56837e-05,-0.0011184906,0.0003414276,0.00068826386,-0.0012118508,-6.960611e-05,-0.00072885834
volume_sn_voxels::v12,0.00041655186,0.00029421173,-0.00073224324,-0.00048977043,-0.0011758956,0.0006733544,0.0005624058,-0.0016006838,0.0006427069,-0.0003055206,-0.0017277376,0.0015655628,0.0012546707,0.0003907814,0.0006767528,0.00023660329,-0.00074499514,7.3248084e-05,0.00019511409,-0.0018198224,7.111716e-06,-0.00070162833
