0,1,2
0.5842496,0.3020729,0.28375065
0.31041074,-0.17436448,0.50468105
0.41869628,-1.4740433,-1.4661548
1.2280873,1.3932152,0.3440909
-0.8860422,-0.24749723,-0.5263772
-0.15840746,0.12913287,-0.7065796
-0.20885909,-0.1298913,-0.4443509
0.3028434,-0.06816788,-0.6642607
0.16691737,-0.44564444,-0.10173901
-0.30003092,-0.9661678,-0.6161921
-0.09223216,2.3031585,1.610598
1.6322405,-1.2182841,0.15130079
0.4299263,-0.241225,1.3041277
-0.033607636,-0.076486476,-1.128177
0.5480506,-0.5891202,0.76610446
0.39275882,-1.2608503,0.7359429
0.8427928,0.25220487,0.35172737
-0.9373513,-1.1618382,0.22377966
0.9368386,0.037182715,1.0724344
-0.07979639,-0.48126557,-0.095753774
0.81062603,0.9544834,0.0010104813
0.5874126,-1.4476361,1.8097819
-0.18671165,-0.6788808,1.2424955
0.15457584,0.0871454,0.5618008
0.029740283,1.2645158,-0.96483165
0.10220965,-0.024267105,0.32808763
-0.565919,0.3716801,-1.3746651
-0.5502752,-1.8825662,-0.2011224
-1.9203004,1.488793,0.24513453
1.1560749,0.041365687,0.42692852
-0.13375705,1.1386539,-0.25086477
0.57914644,0.69917125,0.26222178
1.3631893,0.724713,0.031793468
0.07841763,0.42812887,-0.40231517
1.1944646,0.89303976,1.2746751
-0.34738293,0.060596563,0.19326268
0.046204444,-0.57579345,0.35395846
0.9684736,0.34265357,0.19869258
-0.028360453,-0.28966853,1.3561358
0.8048934,0.5488896,0.16036594
-1.1637853,0.80743134,-0.53247994
0.2682796,-0.24359706,0.79983807
-0.08122253,1.9558396,0.7708765
-0.042810082,0.84849,-0.2086373
2.4808455,-0.41752842,0.44154054
1.0934696,-0.5810423,-0.5279464
0.2732698,1.3450142,-1.1998848
1.0435512,-0.9997469,0.24488963
-0.57701784,0.07115391,0.11051314
-0.57980895,-0.33613497,0.5301724
0.66153175,-0.40345964,0.5302763
-0.27589783,1.1143785,-0.05088768
0.62366855,0.27023265,-1.0465808
1.244447,1.1902125,-0.46853203
-0.7125056,0.822223,-2.0871954
0.032676563,-0.8469859,0.8936167
-0.41961426,0.7205371,1.1322724
-1.8396859,0.45248273,-0.1789732
0.7203323,-0.7576098,0.36840093
-1.6795632,-2.2686353,-0.13531153
-0.5579466,-0.37471056,-0.17505796
-0.7688976,0.92972475,0.5093801
1.6666511,-1.2165432,-1.4757724
1.0290116,-0.6505824,-0.043932013
0.052391138,0.9946077,-0.098278455
0.40352246,1.1146877,-0.3618867
-1.4531218,-1.7735914,0.19728659
-0.37469295,0.82413334,0.20426932
-0.23725258,1.2616609,1.86042
-1.212991,0.9764203,-1.3352379
-0.2835745,0.6421812,-0.22564448
0.35649037,-1.116767,-0.43189225
1.089683,0.56389195,-0.24266948
-0.07972253,0.8694734,1.0127964
-0.6197918,-0.58167857,1.2966846
-1.0565548,0.33512056,1.539482
0.20184848,-0.8999091,1.0179296
-0.38170758,-0.7655187,-0.5945912
-0.015172868,-1.3391818,0.8423636
-0.25195563,-0.66174775,-0.014216063
-0.7228425,-0.22477214,1.0913496
0.7743793,-0.6012756,1.137331
0.097922444,-0.033288054,0.022459624
0.51239353,0.9825432,-1.3717455
-1.5011711,0.4256617,-0.0071394825
-1.231903,0.35619065,0.57920516
-0.16821311,-0.79133326,-0.4848338
0.6717199,-0.17778249,1.0383931
-1.6388826,0.3073267,-1.180911
1.7676917,0.26387548,-0.6606799
0.813502,-0.25302175,0.2426795
0.54476684,-0.23428066,-1.0410537
-0.38020837,0.3773962,0.2199942
0.57057214,-1.4624017,-0.21437734
-0.26330718,-0.5497586,1.2960349
0.688042,0.57574904,-0.4463071
-0.6757238,0.091461055,-0.7385061
-0.64827484,-0.39200994,-0.566156
-0.054432347,-1.2991904,0.5843456
-0.10335819,0.18587695,0.6062154
0.43334147,-0.2659161,-0.0803976
-0.10029307,-0.049064416,-0.6765203
-1.2165072,0.57302696,1.1539199
0.003767037,1.6624548,-1.5267676
-1.6249511,0.37882897,0.22244115
-1.293009,-0.762078,-0.16158485
-0.061575,-0.84684336,-0.33335066
-1.6224542,0.7633544,-0.24528474
-0.30525768,-0.76744974,-1.2902824
-1.166783,0.38473403,-1.1627588
0.86673665,0.25954753,-0.037278604
0.6594213,1.5353222,-0.3115532
1.2939601,0.27424395,-0.86584026
0.6136748,-0.046509586,-0.7374839
-1.020257,0.3158522,0.43651786
-0.7093162,0.4962559,-0.3630769
-0.10043443,-0.19810407,-0.5111973
