Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
rigidity_left,0.13424054,0.021483002,-0.21977632,-0.44406122,-0.074525125,0.0045118374,-0.04401763,0.04963757,0.08979904,0.16794878,0.28407228,0.21397214,0.10580379,0.11878027,0.16420831,-0.09665317,-0.0004186749,0.16526838,0.04508033,0.27430284
rigidity_right,0.1732623,-0.35190892,-0.0123436125,-0.07218282,0.07400959,0.3895101,-0.13251498,0.019656502,-0.08273213,0.12035263,-0.21071932,-0.015830196,0.3096675,-0.08324077,0.23621853,-0.23000725,0.028483337,0.053486872,-0.3374928,0.13499866
tremor_rest_left,0.005377419,-0.001106122,0.3238473,-0.35977596,-0.1013163,0.029281894,-0.042056765,0.08549727,0.15533401,0.030894713,0.10137168,-0.015260771,0.26254642,-0.0911732,0.099315256,0.19381472,-0.020145135,-0.11996227,0.27078837,0.08010047
tremor_rest_right,-0.107267454,-0.0061536287,0.14851943,0.099141195,0.18290152,0.091276094,0.34617934,0.25484738,0.19137622,0.14840788,-0.19484384,0.1006955,0.04732977,0.115427926,-0.001127133,-0.055446662,-0.41363847,-0.056194086,0.021811407,-0.06636197
tremor_postural_left,-0.21944338,0.015204074,-0.115129724,-0.42772412,0.22201048,-0.019907795,0.32272333,0.21595427,-0.21359983,-0.05445893,-0.09271822,0.1457557,-0.14751047,-0.10304081,0.3362135,0.02881986,-0.07505811,-0.28354785,0.036540553,0.091904186
tremor_postural_right,0.21559705,-0.003445269,-0.16241007,-0.09391926,0.017615031,-0.0061723213,-0.049836386,0.22177202,0.3012442,-0.20227267,0.23812255,-0.3505607,0.3581878,0.35639745,0.096738115,0.03964536,-0.19553594,-0.1554453,0.0077593336,-0.09411794
bradykinesia_speed_left,0.01761927,0.2455523,0.29170272,-0.47884893,-0.09421301,-0.09816907,0.20366998,0.41494668,0.0861564,-0.11938219,-0.013412516,-0.23964654,0.25333476,0.17604716,-0.08803544,0.1022553,0.1295337,0.07948809,-0.019318957,0.14756317
bradykinesia_speed_right,-0.19840875,0.18883525,-0.029015616,0.18270688,0.0006625627,0.016293038,-0.20577353,-0.086740986,-0.03519727,-0.055602174,-0.0711097,0.18847857,-0.11967765,-0.13668953,-0.040810112,0.030813498,-0.2151295,0.085185885,0.13532105,-0.0547086
bradykinesia_amplitude_left,0.2098658,0.028203191,0.29201522,-0.27190557,-0.051546764,0.16605452,-0.3429491,0.14895053,0.2849906,0.19027208,-0.062171325,-0.26387072,0.13059582,0.12589726,0.15781006,-0.0048792106,0.28674132,0.14416568,-0.4333516,0.17720518
bradykinesia_amplitude_right,0.08811983,-0.05264597,-0.12637995,0.20969585,0.30967006,0.2674484,-0.1738494,0.06009741,-0.121497706,0.02250806,-0.387142,-0.1250892,-0.15638264,0.1307133,0.0005662619,-0.28968436,-0.011090792,0.0650381,0.005308718,-0.15559804
bradykinesia_rhythm_left,0.04952999,-0.2312478,0.2784624,-0.10878654,-0.085688435,0.13104646,-0.21748528,-0.040622387,-0.019607395,-0.17219216,0.04490208,0.15466936,0.03260868,0.067214236,-0.17837285,-0.3873251,-0.09820729,0.11696965,-0.045307674,-0.1288337
bradykinesia_rhythm_right,0.34341523,-0.14400414,0.02936695,0.44204745,-0.22262417,0.27856,-0.22316717,0.082817405,0.021427386,-0.18384272,-0.12859598,-0.25615743,-0.3662289,-0.35166535,-0.20749722,-0.031392217,-0.37598523,0.3218738,-0.08580431,0.07953245
mirrormovement_left,0.06579011,-1.2916224,-0.13610294,0.82987326,0.026775947,-0.14558744,0.026562287,-0.32689855,0.037620388,-0.3594514,-0.11998583,0.15459211,-0.09846019,0.17505682,-0.009452021,-0.091050446,-0.29564637,-0.47556427,-0.14775784,1.3036352
mirrormovement_right,0.022714479,1.6249362,-0.051450945,-1.425577,-0.40607423,-0.25990313,-0.07403145,-0.09128414,-0.27768046,0.07685256,0.019233547,-0.15742086,0.00040236936,0.44541138,0.14101218,0.48186305,0.08633489,0.3176415,-0.2982604,-0.2587051
