0,1,2
1.4113688,0.091494575,0.19295302
-0.6641438,0.9142551,1.2382755
-0.13499951,1.5763509,-1.4024136
0.24358627,1.8873881,0.030749341
2.003908,-1.7574514,-1.7383062
-2.3669703,0.52538705,-0.8543688
-0.33860826,-2.4280682,1.4088368
-0.94541377,0.060998537,0.47402447
0.34633788,1.6921852,-0.06814895
-1.3785242,0.8840271,-0.21878907
0.36824992,-0.7151409,0.42090148
-0.9775953,-0.5130547,0.3066795
0.99084586,-1.0846738,-0.7727169
2.0027087,0.4134658,1.0480394
0.7408979,0.15165177,-0.77528876
-0.6024971,-1.1640933,-1.1507175
-1.1774697,-0.16367736,2.1305277
1.2186141,-0.85805464,-1.5278496
0.35212287,1.9213089,0.88702923
0.74819654,0.2000864,-0.7461699
-0.55522543,-0.4361992,0.23571064
0.50157946,0.16227393,0.11848038
0.20328416,-0.28712612,-0.23963234
-1.4039999,-0.57186913,-0.9809294
-1.9918385,0.6318862,-1.0355445
0.9499385,0.4712488,1.0569069
-2.0171242,-1.007835,1.1533448
-1.0836614,-0.2531483,0.4179982
1.6215605,0.4509591,-0.15377057
0.4999381,1.0223774,-0.112295486
-0.39215317,-0.40606612,-1.3068736
-1.0396909,0.8002817,0.24909897
-1.9069123,1.618593,-0.86022156
-1.8506106,0.58849245,-0.86434513
0.40565073,0.8109546,0.42414704
-1.2955315,-2.8004732,-1.902574
-2.0658805,-1.4493221,0.29481876
1.7496802,-1.7184489,-0.21255909
1.617245,-1.019073,2.007997
-0.6441273,0.17424338,0.000653672
-1.7339051,-0.44125673,-0.30543396
1.2916718,3.2909868,-0.40902105
-1.384802,-0.45241264,0.3740674
0.4724395,0.28010842,0.33315882
0.7841967,0.22252244,0.3312924
-0.6978981,0.05406222,1.2432438
0.6136845,0.47116807,-0.40016434
-1.2323058,1.174183,1.6247723
1.9830986,1.375046,-0.33660442
2.2414756,-0.19904126,-0.998741
-0.22649997,-0.2465058,0.51547086
-0.6958065,0.34536713,2.2228544
0.102008425,-0.6246176,-0.026172794
2.52182,1.6704574,0.7280656
-0.34865242,0.2308321,0.9103341
0.50298023,1.1229476,1.6860131
-0.5428996,-0.18592212,0.5628355
-0.64707065,1.3741224,-0.23164445
-0.037174154,0.30543554,0.95987695
0.92247844,0.55466175,-0.028942687
-0.2162555,-1.4644538,-1.7604464
-1.2953031,-1.2063466,1.589582
-0.20811604,0.3799712,-1.8112134
0.23541346,-2.499826,0.88376814
0.096070506,0.599334,0.5824286
1.3783249,0.9119198,-1.298028
-0.869855,0.0027315177,0.3437487
0.82380915,0.35595372,-1.2907559
-0.45870718,-0.5689491,0.55974656
0.8182733,0.3331301,1.7985067
