Subject_ID,Factor_1,Factor_2
Subject_1,0.82757324,0.9881226
Subject_2,1.5095868,-0.9758371
Subject_3,-0.6217144,-0.092634365
Subject_4,-0.07204371,1.4497416
Subject_5,-0.11467183,-0.16080719
Subject_6,1.337018,0.27240527
Subject_7,0.9199135,-0.04033386
Subject_8,-1.1537313,-0.14219049
Subject_9,2.2915611,-1.4979042
Subject_10,0.9092558,-0.9898745
Subject_11,0.13092567,2.8085418
Subject_12,-0.442917,0.86595225
Subject_13,0.34556267,-1.6305041
Subject_14,-1.6735014,0.65300906
Subject_15,-0.43391266,0.85182256
Subject_16,1.0109931,1.0770569
Subject_17,0.6907307,0.4077856
Subject_18,0.40991437,2.9997103
Subject_19,-0.6235728,1.6642183
Subject_20,1.1896943,-1.2366471
Subject_21,1.0774063,1.2215985
Subject_22,0.9736915,-1.1677023
Subject_23,-0.09980066,2.0975888
Subject_24,-1.0525137,-0.14628033
Subject_25,0.32262278,-0.908289
Subject_26,2.2658134,0.43211156
Subject_27,1.1171658,-0.8528593
Subject_28,1.0752333,1.0239464
Subject_29,0.54007083,-1.4090742
Subject_30,0.28701517,-0.9741612
Subject_31,0.3196404,-0.58999497
Subject_32,1.0568532,2.0582511
Subject_33,0.86436284,0.7191554
Subject_34,0.046181224,1.3678367
Subject_35,-0.5363097,0.9510499
Subject_36,-0.04162389,-0.5858541
Subject_37,-0.09225791,-0.67297316
Subject_38,-0.7541904,-2.7596986
Subject_39,1.7773857,-0.5034613
Subject_40,-0.11743736,-0.21655859
Subject_41,-1.897449,-1.1197196
Subject_42,-0.9452519,-1.7435642
Subject_43,-0.78089887,-0.48334596
Subject_44,-0.34770614,-0.73361963
Subject_45,-1.3061737,-0.98883647
Subject_46,0.89218205,1.6995595
Subject_47,0.72387457,1.708044
Subject_48,0.8137815,-1.2319366
Subject_49,-0.9778756,-0.43309206
Subject_50,-0.7371809,1.3315808
Subject_51,0.7939739,0.7344484
Subject_52,-0.98853964,-1.0203023
Subject_53,-1.4244155,0.7812846
Subject_54,-1.6082819,1.1608806
Subject_55,1.55866,-1.5646298
Subject_56,-0.6179784,0.9127086
Subject_57,-0.7434211,1.5149332
Subject_58,0.103181444,-1.5824769
Subject_59,-0.5918406,0.88512534
Subject_60,0.8395555,0.34336963
Subject_61,1.0297791,-0.64722097
Subject_62,1.8497481,1.3424897
Subject_63,2.5764995,1.0669096
Subject_64,-0.036477584,-1.099836
Subject_65,0.3060145,-1.6706865
Subject_66,0.7695751,0.5214272
Subject_67,-0.69542044,-1.2907373
Subject_68,-0.40548226,1.0918915
Subject_69,-0.5398707,1.8456374
Subject_70,0.27513918,-1.6549604
Subject_71,-0.49799705,-0.5183941
Subject_72,0.629197,-0.8265163
Subject_73,1.2970785,0.34254366
Subject_74,-1.0889435,0.92732984
Subject_75,1.8580339,-0.14662963
Subject_76,-0.69575775,-1.2341785
Subject_77,-0.46478018,-1.140248
Subject_78,0.5588479,-1.3392264
Subject_79,1.3095772,1.3087597
Subject_80,0.030111559,-1.6375563
Subject_81,0.006418579,1.4690365
Subject_82,-0.13716127,2.2029126
Subject_83,0.16646488,0.75344473
Subject_84,0.3756181,-0.29666302
Subject_85,2.51569,-1.5608023
Subject_86,0.09043409,0.60453224
