Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Feature_0,-0.019249273,-1.3377533,-0.33258265,0.022153962,1.1331213,-0.18187709,-0.6608487,1.352111,-0.563278,-0.17980109,-0.7207785,0.1661198,-0.7995618,0.1675105,-1.2446922,1.0845371,0.33353335,-1.0857757,-0.1612583,-1.0960897
Feature_1,-0.30552652,-0.74295384,0.21956462,-0.10951412,1.2116222,0.6277077,-0.3969593,2.1325989,0.87575036,-0.5250524,0.90762615,-0.11192146,1.4129115,-0.51060086,-1.4200697,-0.3622663,-0.21038063,0.2869474,-0.35717562,-0.8884318
Feature_2,0.14485711,-0.024080923,-0.11223572,0.5689197,0.30901927,0.22983666,-0.6073782,1.3852165,-0.53750265,0.43520308,-0.2982073,-0.72872263,-0.96327555,0.47915015,-1.319175,0.9998318,-0.55637264,-0.45339027,0.13611753,0.15641135
Feature_3,-0.31974486,-0.18302566,0.1046374,-0.08593047,0.414392,-0.18605915,-0.35296702,1.3425096,-0.6123519,0.095651716,-0.30893016,0.18693164,-0.75081503,0.44713682,-1.0808338,0.9152643,0.20288162,-1.1881477,0.30947575,-0.45747533
Feature_4,-0.3472936,0.24007802,0.8720995,-0.9297787,0.8214179,0.9069485,-0.58155894,1.3799044,-0.33294404,0.3802622,0.19360662,0.6394686,-0.06352907,0.36040145,-1.0053389,0.99458826,-0.4816909,0.1001004,-0.4767408,-0.7242918
Feature_5,0.05860317,0.61398077,0.4588511,-0.2740854,0.6528067,0.6189471,0.34106165,1.5951408,-0.17578267,1.0925084,0.7169207,0.24513559,2.1361837,0.4564415,0.43112797,0.34403858,0.3542704,1.2245817,-0.42756063,-1.5949202
Feature_6,-0.8278439,0.9230136,0.88993114,-0.47328588,0.63924694,0.88981724,0.71551657,1.5104975,0.23569965,-0.55010766,0.8624314,0.3402291,1.4702193,0.3130176,0.67981035,-0.44183162,-0.53619474,0.994883,-0.21941875,-1.3777006
Feature_7,-1.1262522,-0.18825613,-1.3260119,0.16155212,0.47182548,-0.42906356,1.128578,1.2823806,-0.24213241,0.15251997,-0.8653072,-0.35929832,-1.7609246,0.23441416,-0.880117,-0.33281967,0.4957163,1.2309628,0.1467849,0.33657914
Feature_8,-0.58861303,-0.2878255,-1.4472991,0.26158226,-0.22140068,-0.27700323,0.8552441,1.3798858,0.32125196,1.3225737,-1.0566496,-0.17602572,-1.292371,-0.8064373,-0.6635013,0.08816991,-0.009492081,1.3332795,0.44580135,1.1081635
Feature_9,-0.5979841,-0.21201164,-0.8089511,0.14456536,-0.20291191,-0.3249401,0.9639359,1.5012156,0.058823105,0.32121637,-0.38348588,0.3282932,-2.0053363,-0.4486758,-0.4187458,-1.6456468,0.27582866,0.87630075,0.3367286,1.0494721
Feature_10,0.12699194,-0.2732143,-0.20356555,-0.41329852,-0.5225991,-0.3786956,0.903339,0.71770924,0.7058114,1.0258788,-0.9134735,-0.29106748,-1.7219664,-0.30759057,0.079440095,-1.3168236,0.5864641,0.7261376,-0.10014415,-0.09462346
Feature_11,-0.087642625,0.9587664,0.6055049,1.2146645,-1.3664876,-0.96461636,0.86114615,1.4851636,-0.6232326,1.0975531,-1.5302765,-0.04592737,-1.2404883,-0.46688685,0.34580028,-0.2960567,0.76270795,-0.3351746,0.94677156,0.92389566
