Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,-0.5479067,-0.8584205,0.65771765,-0.61101675,1.4559888,1.370672,0.33534604,-1.1262321,0.5517292,0.9587857,-0.93252146,1.3681191,-0.8374617,-0.4441907,0.36446002,-0.6039864,0.7290935,-0.66058826,-1.0448302,-0.6649914
Subject_1,1.4250225,0.11113457,-0.7936723,0.22647493,-1.0373428,-1.845791,-0.9541033,-0.5209524,0.5971275,-0.41586688,0.63734305,1.6693048,0.8850326,-0.73109585,0.691449,-1.6288618,0.30334702,0.42837298,0.91686386,0.074610285
Subject_2,-0.521559,0.9854861,0.9517668,-0.14500879,0.31185752,1.0627817,-1.416024,0.9932112,-0.57348603,0.48123425,-0.27702063,0.7374243,-0.4517162,0.179647,0.27085873,0.5004244,0.51521945,0.0135691175,-0.82198113,-0.43288666
Subject_3,0.3303401,0.3641164,-0.75578403,0.13662927,0.34607193,0.21241142,-0.3463936,0.51160204,-0.9054531,-0.19873513,-0.32344794,-0.22967178,-0.60083365,-0.280306,-0.49513686,1.3315822,0.36894193,-1.3041896,0.2048099,-0.92433876
Subject_4,-1.3643842,-0.93743855,0.5892995,0.98463666,-2.5024395,-0.71913785,-1.325061,-0.69497925,0.7660518,1.1879649,0.1804195,-0.39737773,0.6162131,0.7988289,1.0610075,0.8626379,-0.49769628,1.2119435,0.12945019,0.31048742
Subject_5,-0.5616291,-0.9818117,-0.6854534,-1.000272,0.3422162,-0.700863,0.20676032,-1.0863144,0.09949277,-0.5282388,0.26173085,2.0416877,-1.0941343,-0.29953468,0.45149314,-0.97964287,-0.9724688,0.3254922,0.8706644,0.019431073
Subject_6,-0.098272376,1.6929355,-1.405535,-1.614819,-0.95044297,-1.0034862,-1.9864976,-0.08838796,0.6439809,-0.76796377,1.7900375,0.9064131,0.6521601,1.0228289,-0.55043447,-0.87120056,-1.7663431,-0.74377304,1.6828105,0.7278608
Subject_7,0.41217402,-1.525421,-0.63386136,-0.31783095,-0.221566,1.1367993,-0.46948242,-0.6313394,-0.9314045,-0.82494557,-0.6074122,0.82945645,0.091694556,0.6883553,-1.1171768,-0.5254826,0.3227635,0.078965075,0.34225792,0.5678647
Subject_8,1.6636808,-0.62880677,0.6556878,0.14240962,0.20436528,-1.3103832,0.46223027,1.2054398,0.7914828,0.93475467,0.998971,-0.49989125,-0.17252107,0.49324077,0.15390795,-0.57415724,-0.8508902,-1.4478836,1.2247866,-1.172351
Subject_9,0.40284085,-0.16348632,1.367799,-0.27048555,-1.1596496,1.084172,-1.3120257,-0.7296192,-0.4474345,0.35188732,1.7051483,0.3272707,0.85377496,0.8649959,0.3212494,1.1133159,-0.732966,0.07181887,0.68225926,-0.73053414
Subject_10,0.56482255,-0.73011607,0.55767614,0.8050637,-0.64583874,-0.81246513,-0.96260154,-1.4735363,0.15644279,-0.87441266,-0.06569629,-0.4157226,-0.30081865,0.3650108,1.0975413,-1.9012758,0.20194246,0.41683853,-0.45547187,0.9243154
Subject_11,-0.5598152,-2.1440246,1.561035,0.5251035,-1.6006323,-0.35076612,1.342828,1.2781756,-0.6912254,0.22505093,0.4297828,-1.3085957,0.50001436,0.5431916,0.71438146,0.8061984,0.82495576,0.51514196,-0.30939952,0.6733782
Subject_12,0.74035,-0.14919707,0.61983395,0.015806777,0.2297801,-0.6567902,-0.43609223,0.5174995,1.1562008,1.4070945,0.9392407,1.2700764,-0.13943566,0.8220108,-1.7922037,-0.948723,-2.634677,0.44542566,0.5921972,1.2414936
Subject_13,-0.8252154,-0.500053,0.062594384,-0.28602886,0.9989519,0.74792635,0.96853006,1.2020013,-1.4312133,0.68003696,-1.4162885,-0.6904605,-0.7765144,-1.1023574,0.8679444,0.25329882,0.68839747,-1.007571,-1.3284048,-1.1687735
Subject_14,-1.2046062,-0.7742963,0.23253681,0.6440858,0.39825007,0.6327723,1.0070256,-0.7519231,-0.8834775,0.39452177,1.0481101,-0.2164102,-0.22882341,-0.64812845,0.03422099,0.44750872,0.99721736,0.43477157,-0.16631487,0.45954466
