Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,0.1032546,0.5965055,0.4579143,-0.49389663,-0.38623425,0.17754832,-0.52747935,-0.35511747,0.2718327,0.58489734,-1.1526393,0.23609348,-1.5361503,-0.27957132,-0.13014539,-0.5572394,0.3202697,-1.3340039,-0.9190249,-0.25296953,-0.16856673,0.119767174,0.598337,0.10108018,0.48674092,0.37497228,1.1345819,0.38421905,0.84198195,-0.0010838492
volume_sn_voxels_feature_1,0.07200425,-0.13146608,0.88323075,0.3225933,0.4806079,0.7915671,0.2874344,-0.19922572,0.19215421,0.9068686,0.26948968,0.16292892,-1.3906393,-0.062084105,0.77051264,-0.11418771,0.1282247,-1.3561344,-1.1359305,0.07824223,-0.3111935,-0.25549617,-0.13737749,0.40010384,-0.49718755,0.43124926,1.339985,0.2734944,0.5305077,0.23182319
volume_sn_voxels_feature_2,-0.03851144,0.17684297,0.094239034,-0.7700542,-0.37916854,-0.08310522,-0.51026005,-0.36092052,-0.106381625,0.16279066,-0.59920794,-0.08175733,-1.6733059,-0.2018244,-1.2908362,-0.5053361,0.13752066,-0.7290576,0.2859853,-0.3752612,-0.24387093,1.1005001,0.50543576,-0.7048549,0.59593236,0.047327988,-0.18373308,0.15483262,0.24047166,0.003827338
volume_sn_voxels_feature_3,0.2338983,-0.15074772,0.14338769,-0.17823082,0.5555153,-0.20316231,0.008880207,-0.4952681,-0.22363564,0.19137281,0.8612486,0.57183486,-1.0261616,-0.18204273,-1.2148695,0.109057486,0.009923196,-1.2043252,-0.13625123,0.060026612,-0.11100083,0.1499542,0.12712231,-0.40209544,-0.041113585,-0.42311206,0.1294797,-0.17720605,-0.072292544,0.22808146
volume_sn_voxels_feature_4,0.2922692,-0.4193201,0.71604145,-0.058086537,0.7753392,-0.16632935,-0.6194415,-0.5117854,-1.0263196,-0.39282623,1.0355338,0.4189512,-1.4460598,-0.18058176,-1.4665161,-0.10995836,-0.19097087,0.6769011,0.8918621,-0.0063974233,0.33461058,0.8085893,0.291277,-0.918374,0.04169631,-0.9086573,-0.43440363,-0.7636483,-0.561249,0.9858948
volume_sn_voxels_feature_5,1.0686024,-0.24030462,-0.9396933,0.15866922,1.1323581,-0.22301726,-0.19811937,-0.12043468,-0.6561926,0.4671213,-0.34564358,1.051273,-1.1740549,0.1262899,-1.4021666,-0.057838257,0.3912573,-1.1950952,-0.7203512,-1.0546759,-0.45682672,0.58887875,1.2068441,-1.2769289,0.652631,-0.547133,0.033723246,1.19829,0.4761876,-0.7228784
volume_sn_voxels_feature_6,0.88669384,0.12978354,0.0029185084,-0.7272073,0.34620458,-0.16682966,-0.26530313,-0.31542385,-0.3068491,0.5729798,-0.76956594,-0.41686973,-0.5727106,-0.52213305,-1.5328926,-0.39270324,0.5396239,-0.65332013,-0.26388103,-0.17141934,-0.5242777,0.586501,0.47573668,-0.38613802,0.07014999,0.67307425,-0.55371416,0.88484013,0.7518634,-0.11490325
volume_sn_voxels_feature_7,1.0438174,-0.23584922,-0.639836,-0.19746275,1.6595494,0.4791398,0.5655723,-0.43350664,0.057049293,0.82411844,0.35782203,0.6651491,0.042046778,0.07606017,-1.1194868,0.081165425,0.20527227,-1.1457307,-1.2110021,-0.2774546,-0.19392169,0.056306068,0.9971007,-0.91268164,0.3370936,0.0072899065,0.07548859,0.3462727,0.5885621,0.063164085
volume_sn_voxels_feature_8,0.19950512,0.22475754,1.088772,-1.22756,1.4547396,0.9668608,0.27281263,0.11550304,0.61202425,0.24268237,-0.5030804,-0.26943213,-0.3278276,0.045269582,-1.4941667,0.31421015,-0.72678846,-0.2608064,-1.0952418,0.11826223,0.006509671,-1.3482572,0.8006671,1.1186653,0.04428324,0.26026207,-0.011865679,-0.6909181,0.4642796,0.76536256
volume_sn_voxels_feature_9,0.30384588,0.06089673,1.2186533,-1.3142891,1.2077144,0.69935715,0.12863612,0.5484106,0.38055056,-0.48706606,-1.1253679,-0.10009202,-0.34909457,1.3963358,-1.2922665,0.34515923,-1.3987932,0.49935913,-1.6402215,0.039029807,0.009019756,-1.3254389,0.78369087,1.081545,-0.46071368,0.25037333,-0.29427516,-0.76437753,0.1854462,0.34190586
