Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
-0.32297212,-0.6932087,0.5010774,1.6880338,-0.03173234
0.10599994,0.6542359,0.47489002,1.5135164,-0.16129933
0.09832979,0.7202703,0.8421001,1.8754605,0.049522925
0.04607688,1.2094032,-0.6519959,1.0229348,-0.9105604
-1.1025287,-0.53635514,-0.73836756,1.3371127,-0.3108361
0.15179324,0.30195418,-0.024441628,1.3698823,-0.2618392
0.15352109,-0.914354,-0.28458095,1.6569375,0.0818091
0.22094308,0.42621967,0.4376372,1.5561991,-0.2117185
1.6950716,-0.016276482,1.1069314,1.6922765,-0.07137044
0.56551135,-0.8121544,0.65043426,1.6965288,1.0642068
-0.8777074,0.52445567,0.6249104,1.5815848,-0.1370179
-0.34206796,0.080715284,-1.2579368,1.006194,-0.25419924
-0.7140215,0.4096075,-0.68784636,1.2575138,-0.25007382
-0.34314135,0.53227085,-0.4492332,1.3442734,-0.26661488
-0.11251525,0.4080827,0.868084,1.4361311,-0.18926328
0.31752938,-0.483363,0.16495742,1.4775126,-0.17006482
-0.5416653,0.35528886,0.63944703,1.4882467,-0.17827776
-0.8434014,-0.55678564,0.6548677,-2.3580477,-1.0352974
-0.37491193,-0.52121174,0.7500171,1.4166234,-0.16246839
0.19566005,-0.12512599,-1.1813651,0.92839724,-0.3688819
-0.20539089,-0.31450972,-1.0600127,0.9516332,-0.3367872
-0.2813365,0.13546057,-0.9224087,-0.42535615,2.38442
0.23126234,-0.6976558,-0.29967123,1.3003155,-0.263964
2.1380148,-0.36779767,0.012055573,1.3855714,-0.2506625
-0.26329204,0.49993366,0.30234075,1.6528113,-0.16781579
0.47402784,0.6914486,-1.2490045,0.77815545,-0.38819045
1.1095923,-0.19605729,-0.9776882,0.76659006,-0.5412357
1.2362193,-0.31421784,-2.6791067,0.9908801,-0.38531753
-0.47062698,0.3993923,-0.20988347,1.1179521,-0.5469764
0.52918535,0.3833978,-1.0160801,0.34236592,-0.5606384
-0.5253966,-1.033866,-1.363054,0.76835734,0.8957557
-0.01517174,-0.8361587,-0.7303333,1.0425423,0.014835274
0.009621523,0.16394053,-0.34022477,1.1604376,0.007285397
-0.7489419,-0.12190531,-0.87169147,0.98601604,-0.080180086
-0.06690522,0.8209214,-0.8603901,1.0884224,0.023881907
-0.64243966,1.2379836,-0.12475759,1.3362185,0.008766902
0.117290296,-0.7290401,-0.41575876,1.3116896,0.020549783
0.99809074,-0.21026234,-0.7976386,1.1160369,-0.6341332
-0.06485702,-0.6623932,0.3502921,1.5029142,0.040811364
-0.028710242,0.2147332,0.16548504,0.6173705,-0.42538625
0.88863665,0.73982745,0.33579272,1.3970612,-0.16945261
0.056960743,0.611272,-0.2910126,1.2222427,-0.17477277
0.16096605,-0.63686454,0.8929838,1.6438524,0.045934778
-0.7482007,0.23850605,0.58006203,1.5322326,0.013316659
0.0035116693,0.3537052,0.26358974,1.4728472,-0.030168433
1.0684805,-0.3727403,0.2532527,1.6460713,1.1756219
0.3223979,0.29510397,-0.086349025,1.2188781,-0.42748666
-0.45074645,0.8998295,0.7538384,1.520618,-0.23877388
-0.24636814,0.54482216,0.79625535,1.5807683,-0.14012304
0.18622537,0.042173356,0.76044095,1.5112269,-0.11007082
-1.3298709,-0.249817,0.7247935,1.562409,-0.017507028
0.2932427,-0.2930166,0.65684134,1.5103525,-0.030063929
-0.64264363,-0.582117,0.50821936,1.4213701,-0.13478544
-0.71294194,-0.2804674,0.3844153,1.348445,-0.17049831
0.7044213,0.65958416,0.20733888,1.2995039,-0.27906618
0.58618116,-1.0431685,0.6512166,1.4833239,-0.29480648
-0.6732627,0.19482374,0.77340996,1.586683,-0.21297492
0.9991421,0.36281863,0.56843996,1.7337761,0.7966088
-1.5646284,-0.0041486756,0.6121741,-0.2766042,-0.87997806
0.7373689,0.32045656,0.59065837,1.5971478,-0.005186411
