Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
0.0015486647347428407,0.0030017656890009244,0.003204023969743744,-0.00022918028712637094,0.0012815065543557171
0.0011324855539253432,0.003177456939930469,0.0034033350140162152,-0.00037258288038993743,0.0017015047031211663
0.002183680762058378,0.003173942368855574,0.003045982276970833,-0.00034846372399788885,0.0005962405219645116
0.001863801188068337,0.0033846006020934478,0.003294748613624816,-0.000464595088600369,0.001001250122012681
0.0014670943104900932,0.0035653473524933296,0.0034749529060332505,-0.0005893621544836141,0.0014127831654438562
0.0026590608781322856,0.003355382427358615,0.002831908399479498,-0.0004936784002369147,3.5285273183099404e-05
0.0024394087216343834,0.003607011654144806,0.0030821098898773653,-0.0006401523115906419,0.00037787146507566765
0.0021284974587759986,0.0038382207463370007,0.003305333703714678,-0.000786623967311555,0.0007484631141262036
0.0017515234817008832,0.0039493770255669995,0.00341633769901873,-0.0008769760079313256,0.0010969016870733981
0.0025384425929004116,0.0024490351932382765,0.0015746323515236475,-0.0002028095473634,-0.0007794079856900545
0.0027867581538772966,0.0028207480034043234,0.00200534990706219,-0.0003079485088988443,-0.0006765742411656599
0.002895465063924633,0.0033168764676394296,0.0024492527310993723,-0.0005124169619132005,-0.00040518879036133336
0.002811138285793569,0.0037235267543066944,0.0027827111253164085,-0.0007249356836985498,-6.198787824766716e-05
0.0025987078535866528,0.004012346581530072,0.0030115662195602548,-0.0009129501946647223,0.0002705702019888481
0.002294670798691803,0.004180591940919917,0.003160702325222247,-0.0010460814555014178,0.0005855062006860632
0.0019635437286110225,0.0042075971345144824,0.0032118439523480527,-0.0010991313495637145,0.000842910082399526
0.0014673902670496156,0.0022750113964305012,0.0004504131794170419,-0.000444386648236638,-0.000344367007954098
0.0019380222280428862,0.0024791695124483882,0.0008109060803088583,-0.00042834508308196156,-0.0005395160813759796
0.0024009141735985987,0.0027479012370323934,0.001298665065040282,-0.00043248786101861064,-0.0006500300472605153
0.002739323513008522,0.003162008308914471,0.001822627985849542,-0.0005350627013903486,-0.0005815749465035318
0.0028907449332356517,0.0036513900762671103,0.0023031048217962095,-0.0007278515588287829,-0.00034480121961407773
0.0028232645334396534,0.004026411627817448,0.0026291824325202708,-0.0009301593619163331,-3.524259264217834e-05
0.002622173555660309,0.004243029381132251,0.00281584747742385,-0.001088925731168659,0.0002531594357863524
0.002352452418952304,0.004333810330802451,0.002920934589878468,-0.0011867944053984977,0.0004986097998913003
0.0020705336726920057,0.004318280747392367,0.0029519081416036434,-0.001224157125173313,0.000680760555897233
0.0012419396562054342,0.002545410401636197,9.904388836431132e-05,-0.0006063263861880292,1.0713519899118039e-05
