Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v0,2.244528,-0.2298392,0.21481839,-0.0667205,0.17406805,0.08291658,-1.8555135,0.22020839,0.052792735,-0.49585995,-2.5306056,-0.40504503
volume_sn_voxels::v1,2.2517748,-0.4218712,0.106309935,0.029370368,0.019529171,0.038770072,-1.8515196,0.21729285,1.70779,-0.53408176,-1.9378353,-0.28518474
volume_sn_voxels::v2,2.7163622,-0.0035574634,0.28041092,-0.12611602,0.32230598,0.07807338,-2.4199483,0.11762756,-0.66040486,-0.35515106,-2.932253,-0.30454475
volume_sn_voxels::v3,2.9943726,-0.054376245,0.18837662,-0.049425583,0.16231574,0.043716997,-2.7397068,0.16413552,-0.0012649067,-0.42194813,-2.4467359,-0.24233687
volume_sn_voxels::v4,3.0352125,-0.090963125,0.1465892,0.17071334,0.05685938,0.009935528,-2.6912854,0.12705511,1.660878,-0.42509657,-1.7070802,-0.11634735
volume_sn_voxels::v5,2.481328,0.14413294,0.22453105,-0.32286242,0.2819873,0.1516798,-2.8251157,-0.06945981,-1.1774949,-0.2092939,-3.0606513,-0.10673106
volume_sn_voxels::v6,2.7931752,0.1573789,0.14322655,-0.16310547,0.2784251,0.096062675,-3.150292,0.018899642,-0.60351205,-0.24020374,-2.5227869,-0.03297686
volume_sn_voxels::v7,3.3469396,0.109777905,0.09315261,-0.019848289,0.17804766,0.01884968,-3.616739,0.04051626,-0.035898183,-0.29388234,-2.042402,0.01689173
volume_sn_voxels::v8,3.536875,0.049715854,0.07070606,0.25379145,0.09035073,0.034099754,-3.554243,0.0762104,1.530829,-0.2776411,-1.2913637,0.11136893
volume_sn_voxels::v9,1.4806495,0.16967991,-0.10684646,-0.6882769,0.19300674,0.22711755,-2.3523526,-0.8395046,-1.3737731,-0.0762839,-3.142517,-0.31519383
volume_sn_voxels::v10,1.7228878,0.28476527,0.024645122,-0.79393816,0.16058156,0.16486976,-2.794586,-0.7448156,-1.5229684,-0.09865011,-3.4064867,-0.18801995
volume_sn_voxels::v11,1.8336576,0.29226378,0.13711126,-0.62105185,0.1555352,0.1196126,-3.0722995,-0.47362217,-1.2730402,-0.10800915,-3.0561852,-0.043945625
volume_sn_voxels::v12,2.2637112,0.31215933,0.13732527,-0.39447471,0.17908165,0.098066986,-3.7411773,-0.27270284,-0.98693055,-0.1455402,-2.73129,0.06070786
volume_sn_voxels::v13,2.4265528,0.23706219,0.07821414,-0.1260828,0.174933,0.021737793,-3.7755883,-0.08602708,-0.34399453,-0.14350651,-1.8625929,0.15290985
volume_sn_voxels::v14,2.6630235,0.11029535,0.009864412,0.04722023,0.14483127,-0.034979112,-3.72622,-0.00764266,0.06701527,-0.14876351,-1.1977323,0.2052364
