0,1,2
-0.64452094,0.023677103,1.5910951
-0.4021379,-1.3746395,1.4990691
-1.4787962,1.2377559,0.34804463
0.25580227,-1.2846164,-0.3429576
1.5625918,0.019018149,0.382866
1.0754733,-0.07898603,1.1552616
0.03975653,-0.034529746,0.6207464
2.295858,-1.51182,0.38628882
0.7488601,-0.12166079,0.63194287
-1.4047872,0.05618941,1.1619545
1.0522156,-0.9085873,0.18572459
-0.26360744,0.6735317,-2.7050343
-2.0718148,-1.977308,-0.3536974
1.57708,-0.14446957,-1.0987676
-0.26227692,0.857238,-2.2470138
0.9259662,-0.3665676,1.3952179
-0.3751468,-0.0861545,0.6856201
-0.2813612,-0.8564803,0.41946793
0.3357459,-0.4252189,-0.90526044
1.9921782,1.4141047,2.042806
0.504606,-1.6121883,-0.58990335
0.09469543,0.14369377,2.5401816
2.4183524,0.06368674,-0.42354977
-0.6423698,0.3019374,0.08641266
-0.076667726,0.15684535,-0.28091198
1.7746005,1.1118599,2.417186
-0.616922,-1.776154,1.2974406
-0.108103186,-0.79297715,-0.5332017
0.3457303,-0.058642518,1.0564767
-1.1641598,0.255963,0.03434763
2.1321929,-0.5673379,-0.5244733
-0.39336655,-0.051167134,-0.5308532
-1.3762589,1.9980912,0.3224216
-0.56122583,-0.45271665,0.13859624
-0.00035122674,0.8026159,1.6255709
1.6720899,1.2982085,-1.2932705
-0.16280676,-1.5515448,1.8392416
-0.7263624,0.4483521,0.1824081
-1.174946,1.8265207,-1.0559788
-0.31254455,-0.19966844,0.10464247
0.6590845,1.1610705,2.0953045
-0.22195765,-1.2316525,-0.71818465
-1.9102561,0.08135982,-0.25492337
-1.530159,-2.683416,0.2447261
-0.077475876,-0.16772853,-0.54216033
-1.28368,-0.25699967,1.7455266
0.42779627,-0.53504556,0.7823987
-0.4100787,-0.4075205,-0.30517554
1.7685491,-0.16415463,-1.9475
-0.76359504,-1.3228896,-0.093747966
0.18411791,-0.22185655,0.14382623
0.014547973,0.7350337,-0.38821086
0.73378026,-0.3205462,-1.0820724
-0.35741943,1.4901891,-0.9883891
3.11473,-0.5994636,0.48197797
-0.17236863,0.66527236,0.29916307
0.3271016,-0.16250771,-0.088843636
-0.10642979,-1.177069,1.3533119
-1.2283934,0.15195212,0.85862786
0.3080833,-0.5358164,0.17262559
0.24223293,0.40090132,-1.297506
1.3100523,0.39736733,-0.61054456
0.7688684,0.19626531,0.7701768
-0.6793859,0.40988022,-1.9314805
