Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4
Subject_1,-0.06851325,-0.54999745,-1.3612357,-0.15958469
Subject_2,-0.12737483,0.18852498,0.2797558,0.755215
Subject_3,-0.18855901,-0.08340366,0.9382154,0.05204324
Subject_4,1.4960172,1.5482328,-1.0688317,-1.1728201
Subject_5,0.122188635,0.1552418,0.3165,-1.03245
Subject_6,-1.113192,-0.616125,0.122004166,-0.41821593
Subject_7,-0.2240636,-0.33585602,0.75903213,-0.335739
Subject_8,-0.27907783,-0.27945688,-0.37867045,-0.92583376
Subject_9,-0.0066669774,-0.377019,2.7541237,-0.27273697
Subject_10,0.30296478,-0.21186681,-1.4503181,-0.9668943
Subject_11,-0.38271868,-0.35069394,0.7705691,1.2490703
Subject_12,-0.5950282,-0.34337774,0.99963033,0.7743665
Subject_13,-0.080566995,0.046722878,0.03784073,0.6216687
Subject_14,-1.2751604,-0.5268332,0.7760263,-1.9493873
Subject_15,0.00079735095,-0.15540022,-0.31159863,0.26349193
Subject_16,0.21880102,-0.9609701,0.20225172,-1.4896442
Subject_17,-0.70122284,-0.34391263,0.041574225,1.2135925
Subject_18,-0.04592574,-1.3586112,-1.5556015,0.8914982
Subject_19,0.8139076,0.41919348,-0.6480813,0.7290455
Subject_20,2.7819777,1.6889229,-0.59244835,0.08552893
Subject_21,0.66989017,1.135699,1.434811,-0.5306836
Subject_22,-0.04296582,0.82176936,-1.952227,1.403719
Subject_23,0.75839573,-0.27510935,0.26579016,-0.5507615
Subject_24,-1.0234625,-1.5579516,0.661334,-0.51145834
Subject_25,-0.3607933,0.33604315,-0.3402346,0.42089656
Subject_26,-0.46464452,-1.4184554,0.63974524,0.6474336
Subject_27,0.3260274,0.3099583,-0.31329224,0.6179187
Subject_28,-0.27873287,-0.8492537,0.90208274,-0.23125532
Subject_29,-1.2954614,-0.13538428,-1.4685493,0.6104248
Subject_30,1.0766354,1.2663752,0.24752292,0.10926121
Subject_31,-1.76964,-0.393259,0.8364184,-0.038647413
Subject_32,1.2545215,0.81691754,0.4919905,0.97308797
Subject_33,-0.10582349,-0.26869428,0.23588873,0.6118656
Subject_34,0.65027857,0.7759267,-0.8930609,0.9973737
Subject_35,0.9011564,0.25565425,-1.5441122,0.041853726
Subject_36,1.2187947,1.3429338,0.54024273,-0.17066754
Subject_37,-0.644466,-0.4075459,-1.1744862,-0.09894675
Subject_38,-0.16538335,-0.036120426,-0.37635046,-0.2781655
Subject_39,0.22862267,-0.8815071,-0.20186636,-0.72641367
Subject_40,0.90275943,1.5513978,0.13915606,2.2046118
Subject_41,-0.20342827,0.4347369,1.7485547,-0.115456544
Subject_42,-0.4938677,0.42063615,-1.5222536,0.21862829
Subject_43,1.2584867,-0.27330914,-0.08544229,0.22219437
Subject_44,0.5384964,0.28383493,0.7308878,0.84031653
Subject_45,-1.4443927,-0.19843073,0.47030032,0.6636831
Subject_46,0.18731506,-1.1436648,0.6761089,0.18560304
Subject_47,1.3229995,1.2796872,-0.5436905,-0.32104525
Subject_48,-0.15483981,0.39769137,0.38727185,0.4780944
Subject_49,3.0359275,3.4173837,-0.7729875,0.06619518
Subject_50,-0.85486037,-0.17418487,2.8666291,0.4229442
Subject_51,0.9901113,0.78632337,-0.11395476,1.53987
Subject_52,0.73996884,1.4713758,-0.48010418,1.1519231
Subject_53,-0.7737203,0.10296639,0.63123006,0.18755595
Subject_54,-1.3914896,-0.39201388,-0.17270613,-0.86494714
Subject_55,0.0076325117,-0.15547583,-0.40372667,-0.12951554
Subject_56,-0.49171907,0.3663251,0.6533765,-0.8976479
Subject_57,-0.3221174,-0.415203,0.18160398,0.20227824
Subject_58,1.4898736,1.1393014,-0.85324484,-0.444386
Subject_59,-1.0505253,-0.062017314,-0.73111534,1.9954779
Subject_60,-0.23256691,-0.14602919,0.17130667,0.4915539
Subject_61,0.5601241,1.0648983,0.015802987,-0.06262376
Subject_62,0.068093605,0.043098185,0.6200568,1.0827903
Subject_63,0.18064508,0.14845839,0.10109991,-0.80922145
Subject_64,0.8230235,1.4032388,0.9398966,-2.2242694
Subject_65,1.2630897,0.5976939,-0.3084531,-0.09136398
Subject_66,-0.51720315,-0.01431126,2.4055722,0.7365771
Subject_67,2.0141823,1.4821618,-0.47476605,0.07529465
Subject_68,0.23150386,0.5633459,0.5390589,-0.4091306
Subject_69,-1.1229216,-0.13376044,0.17751412,0.62513745
Subject_70,-0.42374936,0.049738295,-0.7901753,-1.1693441
Subject_71,-0.9807402,-0.046149295,-1.022706,-0.01885129
Subject_72,0.77395487,0.47929245,-0.834834,0.64615464
Subject_73,-0.9716765,-1.966067,-0.64404327,-0.5064598
Subject_74,0.051032692,-0.2899844,-0.97268295,1.0644989
Subject_75,0.68681407,1.7065665,1.09092,2.6220741
Subject_76,0.49269232,1.947719,1.1783344,-0.92837346
Subject_77,0.3867833,-1.0652333,-0.64637744,1.018373
Subject_78,2.0477903,-1.0092763,-0.10066887,-0.8408819
Subject_79,-0.22514723,-0.043755896,0.82636636,-0.028144939
Subject_80,1.1546997,-0.1339621,-0.35895425,-0.3187555
Subject_81,-0.06245743,-0.6211075,0.53023,-1.0251935
Subject_82,-0.9243803,-0.809707,0.56878585,0.26132318
Subject_83,2.9927025,0.3225744,-0.20489223,-0.081795596
Subject_84,1.4157125,0.13228516,0.19965725,0.38532653
Subject_85,-0.3774035,-0.062647976,2.5882273,0.40186185
Subject_86,-0.09081376,-0.2650763,-1.0094645,-1.2549152
