Subject_ID,Factor_1,Factor_2
Subject_1,-0.5268231,0.19294882
Subject_2,-0.5652569,0.0436759
Subject_3,-0.15537547,1.8970644
Subject_4,-2.2563453,-0.7474385
Subject_5,0.45442343,-0.057600215
Subject_6,-0.66632134,0.1787578
Subject_7,0.52618206,1.0251836
Subject_8,-0.5044498,0.04376802
Subject_9,1.597936,-0.34083995
Subject_10,-2.1687336,-0.18186478
Subject_11,0.14788304,0.1580215
Subject_12,-1.831717,0.44741324
Subject_13,0.8815654,-0.121795684
Subject_14,-1.2063404,0.39545202
Subject_15,-1.1924162,0.07966076
Subject_16,0.485837,-0.7298526
Subject_17,0.7925691,1.7430558
Subject_18,0.16456437,-0.03476218
Subject_19,-0.30949885,-1.5483682
Subject_20,-2.263585,-2.0042276
Subject_21,-0.007845438,-0.77928954
Subject_22,0.64452434,1.0890326
Subject_23,-2.4706333,-0.73588693
Subject_24,-0.9935356,0.54317486
Subject_25,0.7033734,0.98555636
Subject_26,-0.6523387,0.3262997
Subject_27,0.740105,-0.38675413
Subject_28,0.63528687,0.098830186
Subject_29,0.08418877,0.08115786
Subject_30,1.6392332,-1.2101749
Subject_31,0.6695464,0.61171126
Subject_32,-0.0744847,-0.030704683
Subject_33,-1.1343541,1.9048764
Subject_34,-0.85132116,-0.74912465
Subject_35,0.0064391815,-0.86975944
Subject_36,0.6223647,-0.7054322
Subject_37,-0.99006724,0.55392313
Subject_38,1.9219576,0.57281226
Subject_39,-1.2463591,-1.2500262
Subject_40,0.20991234,-0.56327677
Subject_41,0.5407953,-0.35747403
Subject_42,1.8971937,-0.2769966
Subject_43,1.5510954,-1.1711845
Subject_44,0.9947557,-0.33113006
Subject_45,-0.6404597,-0.07751443
Subject_46,2.3039067,-0.7962796
Subject_47,-0.9801251,-2.7286878
Subject_48,1.90013,0.11483491
Subject_49,-3.0380692,-3.3889945
Subject_50,1.435652,0.3173932
Subject_51,1.3991435,-1.6037514
Subject_52,1.044072,-0.7712355
Subject_53,-1.6972859,-1.001143
Subject_54,-1.0810391,0.81059724
Subject_55,2.490659,-0.17292134
Subject_56,0.6038952,0.061091844
Subject_57,-1.322828,0.69388753
Subject_58,1.765025,-0.8636578
Subject_59,1.7985197,0.70380294
Subject_60,0.98715305,0.5549429
Subject_61,1.2675784,-0.89053875
Subject_62,-0.9985026,0.015251632
Subject_63,0.63487786,0.1451523
Subject_64,2.580848,-0.4447441
Subject_65,0.10462886,-0.5256744
Subject_66,1.1364554,0.71055615
Subject_67,-1.0341879,-0.9692479
Subject_68,-0.46385622,-0.2632354
Subject_69,0.4129531,2.7115076
Subject_70,-0.052692868,1.2299572
Subject_71,1.687935,0.48807034
Subject_72,0.84780335,-0.80589306
Subject_73,-1.152207,0.08573786
Subject_74,-1.4613854,-0.56426865
Subject_75,1.9428229,-1.0680058
Subject_76,1.6565986,-0.50783855
Subject_77,0.5670575,-0.19283852
Subject_78,-1.708566,0.98116153
Subject_79,-1.7287533,0.26201972
Subject_80,1.0707467,-0.15891731
Subject_81,0.45971447,0.051591177
Subject_82,-0.8887615,-0.7257611
Subject_83,-1.8569528,-2.368341
Subject_84,0.20689107,-0.0472354
Subject_85,-2.349688,0.22837238
Subject_86,1.219338,0.16815628
