Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
rigidity_left,3.2043983e-05,-0.00025994412,1.0058584e-05,-0.000120457815,-0.0006470313,0.00029872905,-0.00067565177,-0.00086795323,6.844183e-06,-4.9421917e-05,0.00017512575,-0.00013416396,-0.0012283423,0.0015649949,0.00056393974,-0.0014286198,0.001017931,-0.0015561514,-0.0018036336,0.0001692949,-3.9285453e-05,0.0004889223
rigidity_right,-1.9551162e-05,9.1832495e-05,-0.00062419614,0.00036480636,0.00044935284,-0.00080492476,0.000174357,-0.0001803869,-0.0003931121,0.00013286922,-0.0007238469,-0.0009122534,0.00016918452,-0.0005774581,0.00017565678,0.0021204273,0.00065694546,8.326408e-05,0.0019022301,0.00025932761,-0.0006728712,-0.00057980313
tremor_rest_left,6.6740744e-05,1.6155549e-05,7.462435e-05,-0.0005062407,0.00022194795,0.0010604939,-0.0003442345,-0.0005798644,0.00020539114,0.00023560887,-0.0002613809,-0.00055851287,-0.00096406357,0.0010165991,-0.00028270116,0.0005068873,0.0010872654,-0.00033544624,0.0003528455,-0.0020891405,-0.0018569973,0.0022328305
tremor_rest_right,0.00014352653,-4.015615e-05,-0.00011799333,-0.00020647228,0.0005986043,0.00020615528,7.7850935e-05,-0.00021080334,0.0005029149,0.00016556354,-0.00066854845,-0.0005283016,0.00013719585,0.00032167239,8.034537e-05,0.001368575,0.0011869845,0.00079784554,0.00217057,-0.0014572602,-0.0013261412,0.00087965315
tremor_postural_left,-0.00012783085,-0.00025264279,6.113446e-05,-0.0011618879,-0.00020527163,0.00065949967,-0.00035140946,-0.00015678686,0.00012324621,-0.00022452054,0.00012959128,-0.000193446,-0.00083247595,0.00042272452,-0.0001872361,-0.0002409877,0.00013464571,-0.0011490984,-0.0017826739,-0.0027858436,-0.0015857529,0.0020837695
tremor_postural_right,0.00010365167,0.00038374215,-0.00017906702,9.042789e-05,0.0010019353,-0.00061703305,0.00026782273,0.0006476916,0.00053853233,0.00030977227,1.4403942e-05,0.00033093963,0.00017301935,-0.00065656856,-0.0008674881,0.0025539023,0.00029248357,0.001935812,0.0029049956,9.733106e-06,-0.00029875262,7.643179e-05
bradykinesia_speed_left,7.70829e-05,-0.00010731852,0.0001297665,0.00020768466,-0.0006932098,0.00057569076,-0.00035612826,-0.000644068,-0.00026128546,-0.00039928724,0.0013179634,0.00027130943,-0.0006375301,0.001803293,0.0002905513,-0.00066328724,0.0007504463,-0.00016238913,-0.0018634894,-0.0007934087,-0.000576215,0.0019847816
bradykinesia_speed_right,-4.138274e-05,7.109388e-05,-0.00036527222,0.0006200038,0.00028517007,-0.0004709784,0.00057996507,0.00073861546,0.00023414646,-0.00013488726,-0.0008131035,-0.00022446552,0.00095757,-0.00036651135,-0.0005422983,0.0007654464,-0.00014814571,-0.00091277075,0.0018005831,-8.69993e-05,-0.0001308259,-0.0005269397
bradykinesia_amplitude_left,4.109133e-05,-0.00018631505,0.00024601095,-1.4809264e-05,-0.0011006054,0.00028532013,-0.0006838172,-0.0005883392,-0.00017670731,-0.00044134798,0.0010541944,7.345916e-05,-0.00074328366,0.0019161388,0.0004141277,-0.0009215613,0.00038194488,-0.00015321872,-0.0024637114,-0.0008324431,-0.00047377797,0.0023255814
bradykinesia_amplitude_right,-4.6843044e-05,0.00016180944,-0.0003919564,0.0005435531,0.0001268592,-0.0005864937,0.00047393766,0.0005697791,8.634231e-05,-0.00037912544,-0.0009870538,-0.00070155686,0.0008367529,-0.00065055105,-0.0001730215,0.00063529704,-0.00063893216,-0.0009876385,0.0014268981,-0.00043985032,9.982494e-05,0.00064769154
bradykinesia_rhythm_left,9.901851e-05,8.273114e-05,2.123518e-05,1.4047829e-05,-0.000838274,-0.00015731498,-0.0005742338,0.00023326442,-0.0006713784,-0.00027895794,0.00034281632,1.0957669e-05,-0.0005874902,0.0010751967,0.0006875989,0.000113251575,-0.0005723619,-0.00046535162,-0.00045645522,0.0008087466,-9.635962e-06,0.0012855564
bradykinesia_rhythm_right,0.00023401146,0.00037742854,-0.00044563893,0.0009568139,-0.00017327342,-0.0017643847,2.1518954e-05,0.0007008421,-0.0003567653,-0.00039880525,-0.0011214532,0.00036281292,0.0015105718,-0.00045616645,-0.00010479546,0.0011805692,-6.308453e-05,-0.0017699501,0.0008907251,0.0019790952,0.00023594178,0.0010181341
mirrormovement_left,-0.00016504341,0.0007621104,-0.0018935472,0.0014144164,0.0008744154,4.889202e-05,0.0006180985,0.0006581231,0.0011856038,0.001779985,-0.0011427584,-0.0024870567,0.0013243511,-0.0027231795,-0.0016572811,0.004665379,0.00037026082,0.0008587419,0.007525782,-0.005629025,0.0053176535,0.0012755423
mirrormovement_right,0.00013971516,1.0055707e-05,0.0005084549,-0.00024269862,-0.0016759894,0.0016222637,-0.00051494665,-0.0015571818,0.0006869256,-0.00068283133,0.0014432281,0.0010624662,-0.0011812958,0.001159944,0.00021412416,-0.0004991859,0.0010591996,0.0013940809,-0.003555523,-0.0010265077,-0.0012826975,0.0027088756
