Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Feature_0,-0.32257962,0.0012891479,-0.08536675,0.18368894,0.12515306,-0.22047229,-0.22721122,-0.1599558,0.014801599,-0.027615353,-1.3092359,0.45196268,0.11077107,0.06383659,-0.3141649,0.16452569,0.068197876,-0.16894594,-0.15480489,0.05150658
Feature_1,0.17318879,-0.27556455,0.7260993,-0.33040053,0.093594894,-0.058279376,-0.1710271,0.07967131,-0.088949874,-0.44024912,-0.20511802,0.2032516,0.078073576,-0.07495176,-0.076797694,-0.091127075,-0.01465164,0.4290218,-0.17270881,-0.4067556
Feature_2,-0.08649442,0.0616488,0.21262956,0.34529456,-0.06876477,-0.18121189,-0.11835002,-0.012147406,0.2208823,-0.14564516,0.2944807,0.23293872,0.25560108,0.016665796,-0.03585161,0.06791448,0.25611252,-0.053057615,0.17516617,0.38542378
Feature_3,-0.2538163,-0.12790036,0.30143276,0.22847304,-0.045316607,0.039792843,-0.12799837,0.052687924,0.11230094,-0.35591587,-0.75501436,-0.024511935,-0.2602722,0.18917379,-0.3726193,-0.004853274,0.31909388,-0.20904656,0.1129612,0.002229541
Feature_4,-0.02586164,-0.0035434936,0.2043894,0.41673753,0.0500798,0.12086776,-0.042092912,0.13527428,-0.07203779,0.16547121,0.6637678,0.3545019,0.66483176,0.08710666,0.115373604,-0.19899027,0.13783878,-0.18617845,0.00070951844,0.08772102
Feature_5,-0.13731581,0.02556723,0.30347735,0.03895137,-0.31376284,-0.12196708,0.18612982,0.11688464,-0.18347599,-0.38790545,-0.25503367,-0.28346664,-0.026716124,0.13126083,0.5467005,0.03224903,-0.017590646,-0.4462624,-0.06709735,-0.14111726
Feature_6,-0.2562413,-0.29340425,-0.51408273,0.39644694,0.047887042,-0.00023041686,-0.29781932,0.06459141,0.14584997,-0.034018055,-0.027313842,0.051270146,-0.49079356,-0.16610976,0.08445463,0.29134592,0.14177497,-0.0814427,0.08886233,0.33718333
Feature_7,0.51175076,0.053644367,0.49227372,0.00083601376,-0.13281296,-0.15362824,0.10190075,-0.07310669,-0.1370218,0.03089675,-0.8536146,-0.8163467,0.0072158133,0.11982693,-0.10087719,-0.6724933,0.052739196,0.09111815,-0.14431375,-0.08510399
Feature_8,-0.1802683,0.013969458,0.023363672,-0.15994838,0.0322766,-0.07035626,-0.05940236,-0.33972752,0.1322981,0.038086005,-0.33457196,-0.12563957,-0.15281259,-0.47307244,0.09682295,0.2693095,0.20270889,0.09875892,0.14628285,0.2691847
Feature_9,-0.02447801,0.1072707,0.0148085235,-0.08688426,0.016797287,-0.1483143,-0.061186578,0.11281948,-0.03682471,-0.0136832455,0.430056,-0.4020361,-0.024937103,-0.059199546,0.039326765,-0.24829228,0.04418829,0.2040977,-0.123363525,0.078205615
Feature_10,0.020351572,-0.08121731,-0.2280983,-0.09496237,0.09195564,-0.087142766,0.06558856,0.10490393,0.2263436,0.19700302,-0.32411575,0.35213748,-0.26622128,-0.09751997,0.29282528,0.075894974,-0.11991101,0.028159924,0.007361215,0.05432171
Feature_11,-0.40499815,-0.01696272,0.32605886,-0.34798646,-0.29330528,0.010818602,0.15462387,-0.054120135,-0.117521994,0.45071384,-1.1599658,-0.29949155,-0.21366972,-0.17999403,0.34621134,-0.08159509,0.099038206,0.058281444,-0.090671234,-0.35997695
Feature_12,-0.3682268,-0.25200707,2.353218,-0.4195812,-0.0140645625,0.14548406,-1.3443207,0.17103142,-0.6779929,0.03402233,-1.1582763,-0.14781423,0.5102677,0.12471653,0.12533766,0.31754875,0.0037735763,-0.2926277,-0.19986616,-0.3176152
Feature_13,-1.2249552,0.13331226,0.10620441,0.14024618,-0.1348991,0.05058204,-0.69210273,-0.41763383,-1.0189215,-0.0012913955,-0.28201714,0.18780296,-0.29781973,-0.60061336,-0.095152974,0.48311248,0.14732274,-0.24605088,0.07619829,0.2669274
