factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.4633,0.3955,0.2839,0.3667,520,0.9701,True
1,1.6725,0.5498,0.4383,0.4318,529,0.9869,True
2,1.9652,0.4006,0.2557,0.4109,526,0.9813,True
3,1.5496,0.5528,0.4469,0.419,523,0.9757,True
4,1.5498,0.6298,0.626,0.4061,528,0.9851,True
5,1.7907,0.4077,0.2194,0.4335,518,0.9664,True
6,1.5012,0.4972,0.378,0.4035,522,0.9739,True
7,1.818,0.3838,0.2329,0.3892,524,0.9776,True
8,1.7387,0.4033,0.2349,0.4182,523,0.9757,True
9,1.8035,0.4494,0.2668,0.4378,527,0.9832,True
10,1.621,0.457,0.3386,0.3991,528,0.9851,True
11,1.7291,0.4487,0.2898,0.4215,527,0.9832,True
12,1.8982,0.4217,0.223,0.4525,524,0.9776,True
13,1.8161,0.5619,0.4332,0.4441,525,0.9795,True
14,1.7647,0.3559,0.212,0.3798,519,0.9683,True
15,1.6474,0.4321,0.2721,0.4095,526,0.9813,True
16,1.6239,0.2285,0.1538,0.285,512,0.9552,True
17,1.7081,0.4292,0.3053,0.3794,522,0.9739,True
18,1.5306,0.4095,0.2639,0.398,519,0.9683,True
19,1.7932,0.463,0.2864,0.4488,522,0.9739,True
20,1.5071,0.382,0.2731,0.353,525,0.9795,True
21,1.6154,0.4833,0.3881,0.3767,528,0.9851,True
22,1.9105,0.3172,0.1957,0.3476,512,0.9552,True
23,1.6488,0.4168,0.2644,0.4065,526,0.9813,True
24,1.6039,0.3435,0.1999,0.3668,521,0.972,True
25,1.7006,0.4908,0.3196,0.4642,522,0.9739,True
26,1.7395,0.4033,0.2701,0.3809,526,0.9813,True
27,1.6495,0.5362,0.4213,0.428,527,0.9832,True
28,1.6274,0.4236,0.2997,0.373,521,0.972,True
29,1.7492,0.4813,0.3253,0.4244,528,0.9851,True
