Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,2,50.0,Unstable,0.6007877327501774
1,2,50.0,Unstable,0.5811810865998268
2,3,75.0,Robust,0.8116538748145103
3,1,25.0,Unstable,0.5519932396709919
4,3,75.0,Robust,0.779349260032177
5,2,50.0,Unstable,0.5926675163209438
6,1,25.0,Unstable,0.49795443192124367
7,2,50.0,Unstable,0.6783529967069626
8,2,50.0,Unstable,0.6119487285614014
9,2,50.0,Unstable,0.7408699691295624
10,2,50.0,Unstable,0.5738751068711281
11,2,50.0,Unstable,0.8091693222522736
12,2,50.0,Unstable,0.6456197947263718
13,1,25.0,Unstable,0.7268054559826851
14,2,50.0,Unstable,0.6016745418310165
15,2,50.0,Unstable,0.681224312633276
16,3,75.0,Robust,0.8694920390844345
17,1,25.0,Unstable,0.5847667120397091
18,3,75.0,Robust,0.7672821283340454
19,1,25.0,Unstable,0.4294036068022251
20,2,50.0,Unstable,0.5532759502530098
21,2,50.0,Unstable,0.5649459026753902
22,3,75.0,Robust,0.7169075980782509
23,4,100.0,Robust,0.9071869552135468
24,3,75.0,Robust,0.7715573236346245
25,1,25.0,Unstable,0.42206238582730293
26,2,50.0,Unstable,0.5288992803543806
27,2,50.0,Unstable,0.5131425224244595
28,1,25.0,Unstable,0.3826392963528633
29,3,75.0,Robust,0.7661735415458679
