Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,4,100.0,Robust,0.9406660944223404
1,4,100.0,Robust,0.9249619841575623
2,3,75.0,Robust,0.7547083683311939
3,1,25.0,Unstable,0.5060176141560078
4,1,25.0,Unstable,0.4000231549143791
5,2,50.0,Unstable,0.7123365290462971
6,3,75.0,Robust,0.867347240447998
7,2,50.0,Unstable,0.7338030189275742
8,3,75.0,Robust,0.7579374760389328
9,3,75.0,Robust,0.7221042513847351
10,2,50.0,Unstable,0.572541918605566
11,2,50.0,Unstable,0.688807487487793
12,3,75.0,Robust,0.8086605668067932
13,2,50.0,Unstable,0.6639271788299084
14,3,75.0,Robust,0.7948614731431007
15,1,25.0,Unstable,0.552657026797533
16,2,50.0,Unstable,0.5833279527723789
17,2,50.0,Unstable,0.7155841514468193
18,2,50.0,Unstable,0.8273668140172958
19,1,25.0,Unstable,0.5520059168338776
20,3,75.0,Robust,0.7906515672802925
21,2,50.0,Unstable,0.6056365370750427
22,2,50.0,Unstable,0.5457430705428123
23,3,75.0,Robust,0.7275675721466541
24,1,25.0,Unstable,0.35634097270667553
25,2,50.0,Unstable,0.5895054638385773
26,3,75.0,Robust,0.742486484348774
27,2,50.0,Unstable,0.5820019729435444
28,3,75.0,Robust,0.7567939460277557
29,3,75.0,Robust,0.9028489291667938
