factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.7624,0.5565,0.4144,0.4407,528,0.9851,True
1,1.6577,0.3912,0.2632,0.3654,525,0.9795,True
2,1.7701,0.4231,0.2673,0.4066,525,0.9795,True
3,1.7683,0.4467,0.2809,0.4233,529,0.9869,True
4,1.8975,0.4555,0.307,0.4029,532,0.9925,True
5,1.9139,0.4308,0.2992,0.3925,525,0.9795,True
6,1.9212,0.4137,0.2021,0.4621,519,0.9683,True
7,1.7234,0.3587,0.2365,0.3754,524,0.9776,True
8,1.7617,0.4704,0.3476,0.399,528,0.9851,True
9,1.6792,0.3773,0.2365,0.3733,525,0.9795,True
10,1.9581,0.4267,0.2833,0.4192,522,0.9739,True
11,1.503,0.5694,0.4685,0.4175,531,0.9907,True
12,1.7317,0.4309,0.2549,0.4419,520,0.9701,True
13,1.7304,0.4724,0.3073,0.4326,529,0.9869,True
14,2.1543,0.4689,0.2837,0.4584,524,0.9776,True
15,1.5733,0.3938,0.2627,0.363,526,0.9813,True
16,1.6054,0.636,0.6282,0.4126,529,0.9869,True
17,1.6623,0.4469,0.3165,0.3958,522,0.9739,True
18,1.5149,0.4745,0.3522,0.3868,529,0.9869,True
19,1.7481,0.391,0.2464,0.3967,524,0.9776,True
20,1.7005,0.4467,0.2815,0.4289,523,0.9757,True
21,1.7675,0.5698,0.4508,0.4495,529,0.9869,True
22,1.645,0.3711,0.2167,0.4024,519,0.9683,True
23,1.6155,0.3498,0.2019,0.3901,521,0.972,True
24,2.0022,0.2324,0.1531,0.2884,515,0.9608,True
25,1.7242,0.5629,0.4636,0.432,531,0.9907,True
26,1.7748,0.4305,0.2459,0.4402,525,0.9795,True
27,1.6082,0.4961,0.3623,0.4052,531,0.9907,True
28,1.8783,0.4845,0.3424,0.4246,525,0.9795,True
29,1.7054,0.4103,0.293,0.3723,523,0.9757,True
