Patient ID,Factor_0
Subject_0,0.10984770208597183
Subject_1,0.22981886565685272
Subject_2,0.149660125374794
Subject_3,-0.4417808949947357
Subject_4,-0.39171600341796875
Subject_5,0.09598764032125473
Subject_6,-0.3240366280078888
Subject_7,-0.16900785267353058
Subject_8,-0.35718250274658203
Subject_9,-0.12410944700241089
Subject_10,0.19268415868282318
Subject_11,-0.025719741359353065
Subject_12,0.22136946022510529
Subject_13,0.09000492095947266
Subject_14,-0.3136250972747803
Subject_15,0.26595231890678406
Subject_16,-0.10202034562826157
Subject_17,-0.02170504629611969
Subject_18,0.010005672462284565
Subject_19,-0.34531643986701965
Subject_20,-0.022949518635869026
Subject_21,-0.49785828590393066
Subject_22,-0.0893857553601265
Subject_23,0.39076781272888184
Subject_24,0.09557697921991348
Subject_25,-0.2477797269821167
Subject_26,0.5076791644096375
Subject_27,0.13013207912445068
Subject_28,0.44493815302848816
Subject_29,0.715425431728363
Subject_30,-0.43051671981811523
Subject_31,-0.24435818195343018
Subject_32,0.2808475196361542
Subject_33,0.32512250542640686
Subject_34,0.12188887596130371
Subject_35,-0.02768932841718197
Subject_36,0.16617250442504883
Subject_37,0.2163388729095459
Subject_38,-0.24150227010250092
Subject_39,-0.023899337276816368
Subject_40,0.43323302268981934
Subject_41,-0.3365198075771332
Subject_42,0.2666364014148712
Subject_43,-0.2248799055814743
Subject_44,0.013723214156925678
Subject_45,0.08562978357076645
Subject_46,0.1896246075630188
Subject_47,-0.07687460631132126
Subject_48,0.25884225964546204
Subject_49,0.0878709927201271
Subject_50,-0.519411027431488
Subject_51,-0.06251928955316544
Subject_52,-0.14139814674854279
Subject_53,0.14725399017333984
Subject_54,0.3561345338821411
Subject_55,-0.11128047853708267
Subject_56,-0.3584026098251343
Subject_57,-0.3891603946685791
Subject_58,0.4118153154850006
Subject_59,-0.03005867265164852
Subject_60,0.2993767559528351
Subject_61,0.3297829031944275
Subject_62,0.43843963742256165
Subject_63,-0.07887228578329086
Subject_64,0.26584967970848083
Subject_65,0.37091064453125
Subject_66,-0.33599185943603516
Subject_67,0.19332049787044525
Subject_68,-0.15556120872497559
Subject_69,-0.16885514557361603
Subject_70,0.42245912551879883
Subject_71,-0.24910499155521393
Subject_72,-0.1294906586408615
Subject_73,0.09189921617507935
Subject_74,-0.36646416783332825
Subject_75,0.24153093993663788
Subject_76,0.005053341388702393
Subject_77,-0.412349134683609
Subject_78,-0.19033730030059814
Subject_79,-0.525536835193634
Subject_80,-0.10546284914016724
Subject_81,0.13518337905406952
Subject_82,-0.2203032225370407
Subject_83,-0.4438295066356659
Subject_84,-0.41539689898490906
Subject_85,-0.011466887779533863
