Feature,Factor_0
volume_sn_voxels_feature_131,-0.9941695332527161
volume_sn_voxels_feature_132,-1.3560291528701782
volume_sn_voxels_feature_133,-1.458011269569397
volume_sn_voxels_feature_134,-1.5361248254776
volume_sn_voxels_feature_135,-1.2090941667556763
volume_sn_voxels_feature_136,-0.7072470784187317
volume_sn_voxels_feature_137,-1.2634860277175903
volume_sn_voxels_feature_138,-1.2841378450393677
volume_sn_voxels_feature_139,-0.9697843194007874
volume_sn_voxels_feature_140,0.36200812458992004
volume_sn_voxels_feature_141,0.14359153807163239
volume_sn_voxels_feature_142,-0.8963178992271423
volume_sn_voxels_feature_143,0.22624416649341583
volume_sn_voxels_feature_144,0.1106688380241394
volume_sn_voxels_feature_145,-0.867059051990509
volume_sn_voxels_feature_146,-1.0669196844100952
volume_sn_voxels_feature_147,-1.2303814888000488
volume_sn_voxels_feature_148,-1.0545399188995361
volume_sn_voxels_feature_149,-1.4336715936660767
volume_sn_voxels_feature_150,-1.4366859197616577
volume_sn_voxels_feature_151,-1.2126356363296509
volume_sn_voxels_feature_152,-1.6017484664916992
volume_sn_voxels_feature_153,-1.429014801979065
volume_sn_voxels_feature_154,-1.153098702430725
volume_sn_voxels_feature_155,-0.6482579112052917
volume_sn_voxels_feature_156,-1.499529242515564
volume_sn_voxels_feature_157,-1.5446910858154297
volume_sn_voxels_feature_158,-1.4081063270568848
volume_sn_voxels_feature_159,-1.3690608739852905
volume_sn_voxels_feature_160,-0.6056380271911621
volume_sn_voxels_feature_161,-1.418533444404602
volume_sn_voxels_feature_162,-1.5060704946517944
volume_sn_voxels_feature_163,-1.3179795742034912
volume_sn_voxels_feature_164,-1.1367312669754028
volume_sn_voxels_feature_165,-0.2739015519618988
volume_sn_voxels_feature_166,-1.4173407554626465
volume_sn_voxels_feature_167,-1.2819491624832153
volume_sn_voxels_feature_168,-0.7571864128112793
volume_sn_voxels_feature_169,0.0895475223660469
volume_sn_voxels_feature_170,-0.7887560725212097
volume_sn_voxels_feature_171,-0.7711279988288879
volume_sn_voxels_feature_172,-0.8985711932182312
volume_sn_voxels_feature_173,-0.9941785335540771
volume_sn_voxels_feature_174,-0.9755646586418152
volume_sn_voxels_feature_175,-0.9813112616539001
volume_sn_voxels_feature_176,-1.275184154510498
volume_sn_voxels_feature_177,-0.9491879940032959
volume_sn_voxels_feature_178,-1.3255616426467896
volume_sn_voxels_feature_179,-1.3139718770980835
volume_sn_voxels_feature_180,-0.9827826023101807
volume_sn_voxels_feature_181,-1.4032045602798462
volume_sn_voxels_feature_182,-0.9703612923622131
volume_sn_voxels_feature_183,-1.2307227849960327
volume_sn_voxels_feature_184,-1.4656635522842407
volume_sn_voxels_feature_185,-1.3632278442382812
volume_sn_voxels_feature_186,-1.383351445198059
volume_sn_voxels_feature_187,-0.7262589931488037
volume_sn_voxels_feature_188,-1.322265386581421
volume_sn_voxels_feature_189,-1.3512681722640991
volume_sn_voxels_feature_190,-1.307694435119629
volume_sn_voxels_feature_191,-0.9110097885131836
volume_sn_voxels_feature_192,-1.0393847227096558
volume_sn_voxels_feature_193,-0.5437659621238708
volume_sn_voxels_feature_194,-0.5099361538887024
volume_sn_voxels_feature_195,-0.7560718059539795
volume_sn_voxels_feature_196,1.3866057395935059
volume_sn_voxels_feature_197,1.0614773035049438
volume_sn_voxels_feature_198,1.2983478307724
volume_sn_voxels_feature_199,1.3506264686584473
volume_sn_voxels_feature_200,1.4008668661117554
volume_sn_voxels_feature_201,1.4576730728149414
volume_sn_voxels_feature_202,1.517885684967041
volume_sn_voxels_feature_203,1.568315863609314
volume_sn_voxels_feature_204,1.7367497682571411
volume_sn_voxels_feature_205,1.5433454513549805
volume_sn_voxels_feature_206,1.6491870880126953
volume_sn_voxels_feature_207,1.4779640436172485
volume_sn_voxels_feature_208,1.5137295722961426
volume_sn_voxels_feature_209,1.392569661140442
volume_sn_voxels_feature_210,0.4078407287597656
volume_sn_voxels_feature_211,1.0920861959457397
volume_sn_voxels_feature_212,0.501102864742279
volume_sn_voxels_feature_213,0.845930278301239
volume_sn_voxels_feature_214,0.9216530919075012
volume_sn_voxels_feature_215,0.7630524635314941
volume_sn_voxels_feature_216,0.8705212473869324
volume_sn_voxels_feature_217,1.0527456998825073
volume_sn_voxels_feature_218,1.114012598991394
volume_sn_voxels_feature_219,1.1717740297317505
volume_sn_voxels_feature_220,1.2607539892196655
volume_sn_voxels_feature_221,1.3552398681640625
volume_sn_voxels_feature_222,1.377465844154358
volume_sn_voxels_feature_223,1.3291932344436646
volume_sn_voxels_feature_224,1.2695893049240112
volume_sn_voxels_feature_225,1.4592065811157227
volume_sn_voxels_feature_226,1.4539785385131836
volume_sn_voxels_feature_227,1.5342639684677124
volume_sn_voxels_feature_228,1.5515079498291016
volume_sn_voxels_feature_229,1.6512008905410767
volume_sn_voxels_feature_230,1.7497138977050781
volume_sn_voxels_feature_231,1.698740005493164
volume_sn_voxels_feature_232,1.7216949462890625
volume_sn_voxels_feature_233,1.8581024408340454
volume_sn_voxels_feature_234,1.9053391218185425
volume_sn_voxels_feature_235,1.8710657358169556
volume_sn_voxels_feature_236,0.21958380937576294
volume_sn_voxels_feature_237,1.8309458494186401
volume_sn_voxels_feature_238,1.8006004095077515
volume_sn_voxels_feature_239,1.4844141006469727
volume_sn_voxels_feature_240,0.4037531912326813
volume_sn_voxels_feature_241,1.6325349807739258
volume_sn_voxels_feature_242,1.6103448867797852
