Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels::v601,1.2751275,-0.4133664,0.3064893,-0.45009345,1.1024503,-0.017562496,-0.80488473,0.17437063,0.4758431,0.2326035,0.59562755,-1.1911108,0.1471875,1.3175817,-1.3980318,-1.2252512,0.8912785,0.2519633,0.20431691,-0.40362367
volume_sn_voxels::v602,1.1940572,-0.31254858,-0.8648835,0.34179434,1.1842053,0.26617232,-1.2296509,0.04679928,0.6958646,0.19437733,0.28306293,-0.95668906,-0.17156994,1.2080965,-1.0934879,-1.1670067,0.881821,0.068087116,-0.11502097,0.35089448
volume_sn_voxels::v603,0.17492096,0.3403453,0.013096499,-0.4562912,-0.18943119,-0.16931637,-0.7673756,-0.5455218,-1.2780304,-1.6009066,-0.1070499,0.60455424,1.1390203,0.21991535,-0.30427855,0.5062741,-0.2638627,-1.1068075,-0.6664125,0.0008626663
volume_sn_voxels::v604,0.23099782,0.31197947,-0.42361653,-0.964395,-0.67217606,-0.48337987,-0.5247731,-0.5084508,-1.0520654,-1.5827751,0.12278295,0.21453083,0.9532996,1.104357,-0.17991579,-0.05722019,0.08179646,-0.8975738,-0.50533026,0.10616924
volume_sn_voxels::v605,0.16010569,0.7863663,-0.8966456,-0.9972978,-1.2344289,-0.51609457,-0.89887244,-0.22212955,-0.5930479,-1.6696597,0.25153437,-0.5438539,-0.06671197,1.1998193,0.12529944,-0.10873069,0.5416252,0.09733214,-0.67343247,0.13102344
volume_sn_voxels::v606,-0.09939587,0.018357638,0.41265985,-0.12585393,-0.04937353,0.40485147,-0.9252993,-0.47534314,-1.6665242,-2.1085122,-0.10179719,0.5553768,1.1436574,-0.56451815,-0.23280783,0.48300546,-0.37849882,-1.1294211,0.08395675,-0.023345916
volume_sn_voxels::v607,-0.016454492,-0.08320263,0.06875452,-0.5881867,-0.47988555,0.17427124,-1.0315691,-0.3433013,-1.0008959,-1.6482562,-0.23073749,0.11329223,0.80955046,-0.18627322,-0.477504,0.22942136,-0.18032475,-1.0628026,-0.1680797,0.040773306
volume_sn_voxels::v608,0.12610942,0.02720158,-0.1896819,-0.4744333,-1.0329322,-0.13505596,-0.5789697,-0.28740928,-1.1862725,-1.513691,0.0075163725,0.032141097,-0.6915624,0.9774105,-0.29389608,0.6097967,-0.045947503,-0.42290947,-0.2897549,-0.27189872
volume_sn_voxels::v609,0.27490112,0.22899091,-0.7785844,-1.0238396,-1.3172247,-0.26112193,-0.77094257,-0.17765288,-0.53208107,-1.2414641,0.11259409,-0.855109,-1.264981,1.1261901,-0.016904013,0.26328933,0.8700036,0.5433702,-0.10532378,-0.058284592
volume_sn_voxels::v610,0.13183305,0.21431758,0.56805557,-0.42821133,-0.27885252,0.89957047,-0.9834943,-0.061446935,-1.9495624,-1.7139245,-0.24254914,-0.004878553,0.4741807,-0.29932263,-0.26565805,0.0036491866,-0.80542016,-0.30294082,0.118414156,-0.026614144
volume_sn_voxels::v611,-0.25372452,0.24338278,0.4000922,-0.5043667,-0.24206024,0.72150636,-0.9171533,-0.07529728,-1.5173919,-1.4954091,-0.08921583,0.36202344,-0.40695867,-0.31325287,-0.4761124,0.13159242,-0.54665655,-0.5742224,0.24229714,-0.24834633
volume_sn_voxels::v612,-0.12815149,-0.41359693,0.24322519,-0.2542043,-0.39313045,0.3416717,-0.7347745,-0.10733239,-1.3594719,-1.2794172,-0.10135369,0.14639832,-1.128323,-0.43002552,-0.55475074,0.18228796,-0.1369839,-0.43315116,-0.0009559021,-0.24611828
volume_sn_voxels::v613,-0.21182416,-0.36975273,-0.10807988,-0.8388037,-1.4086196,-0.2637736,-0.6550121,-0.15618871,-1.1141056,-0.8962883,-0.026262285,-0.3958646,-1.6178416,0.1531419,-0.3361026,0.22054526,0.5601764,0.0696426,-0.15907556,-0.043821406
volume_sn_voxels::v614,0.30090576,0.06827041,-0.418923,-0.85135674,-1.2645961,-0.61092013,-0.47414443,0.028163414,-0.5189395,-1.250624,0.09940884,-0.5787783,-1.3266661,0.9475574,-0.01610377,0.3355408,0.9658078,0.9083496,-0.037985165,-0.12077755
volume_sn_voxels::v615,0.31454355,0.55301183,0.5710502,-0.9149904,-0.29365024,0.83543056,-0.99382126,0.040485624,-1.4607347,-1.1398174,-0.29546487,0.11830842,-1.098991,-0.17153396,-0.3216888,-0.7115478,-0.69995606,0.21601582,0.34785774,0.0054999497
