Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Subject_0,-1.2043729,-0.14408366,1.0489736,0.4614638,-0.3093349
Subject_1,-0.63266474,-0.39972106,-1.2048134,-0.17570327,1.7910278
Subject_2,0.7536779,0.5314589,1.7283185,1.6763471,1.9333788
Subject_3,-0.9677026,1.0910268,1.4149237,-1.6839643,-0.31283894
Subject_4,1.7309003,-0.85034895,-1.269671,-0.50323117,0.111047536
Subject_5,2.6019783,-0.11546253,-0.70876855,-0.22952662,-2.1885903
Subject_6,-0.54689115,-0.43712798,-0.068757355,-0.2661893,1.2945142
Subject_7,2.0102298,0.3066964,1.1691194,-0.833153,0.42255896
Subject_8,0.028090205,-0.54085046,0.8359733,1.2293799,-0.11031281
Subject_9,0.82037425,-0.43132162,-1.0711762,-0.10797396,0.24699397
Subject_10,0.5672676,-0.37583137,-0.24560983,-1.2207667,-0.6074303
Subject_11,-0.06623017,0.21840747,1.4570941,0.15216891,-1.5936232
Subject_12,1.2080865,-0.6011658,-0.7330566,0.36613864,0.41518736
Subject_13,-1.1470513,1.7119677,-1.6525979,-1.4685968,-0.08563683
Subject_14,-1.9422146,0.0021007038,0.121092945,-0.4215348,-0.51394475
Subject_15,0.462289,-1.2724762,-0.8856933,0.3956677,-1.1711315
Subject_16,0.92282295,-0.4951487,1.0853816,-0.68536633,-0.3344588
Subject_17,-1.2723836,0.7974923,1.0882958,0.67571104,-1.3192761
Subject_18,0.0047005825,0.2794294,-1.5918095,0.6796306,-0.34698662
Subject_19,-1.693306,-1.2856387,2.094799,-1.6419598,-0.48802406
Subject_20,-0.3558253,0.4648638,-0.541028,-0.7179763,1.8614674
Subject_21,1.0307214,0.3588024,1.5191762,0.34471995,0.64241207
Subject_22,-2.1100981,0.66188467,0.029365176,-0.85643446,-0.5191501
Subject_23,0.80089366,-0.28917137,0.4303211,0.98155284,-0.85832983
Subject_24,-1.2374864,-0.37356463,-0.81325895,-1.0328131,-1.7793393
Subject_25,0.0015021655,1.0281792,0.6095864,-0.3704438,-0.449202
Subject_26,-0.9527002,-0.27068657,-0.69496274,0.7019676,-2.1686304
Subject_27,-1.7628764,0.47688696,-1.5913806,1.6304898,-0.03080807
Subject_28,-2.2510152,0.28661406,0.047667164,-1.0309021,-1.0202432
Subject_29,-0.021221513,-0.50947326,-2.6749256,0.5853182,0.5780806
Subject_30,-1.685704,0.5735142,-0.6193376,0.7156489,-0.52018046
Subject_31,-0.6886804,-0.21081638,-0.66169304,-0.6618481,0.0115273185
Subject_32,-0.20567496,1.178252,0.5796329,0.22339296,-0.5139229
Subject_33,-1.3479407,1.3697003,2.4707253,1.291033,1.8847133
Subject_34,-0.71199876,-0.508532,1.0427454,1.4979502,-0.6493576
Subject_35,2.172572,-0.9114365,0.62906307,1.8965669,-0.14535171
Subject_36,0.265846,-0.15054879,2.2742765,-0.62228954,1.0236188
Subject_37,0.13399324,-0.6734646,0.074832164,-0.8197174,2.1162238
Subject_38,-1.1448838,-0.5512248,-1.7179852,-0.20741235,-0.7981192
Subject_39,-0.06371831,0.1872615,-0.49860656,1.0393804,1.028678
Subject_40,0.3200436,0.41812626,0.57877374,0.33997887,2.344435
Subject_41,-2.2988567,-0.47007796,1.0231167,-0.7718919,-0.101724125
Subject_42,0.33368042,-0.74672925,-0.6241354,0.70238143,2.6465056
Subject_43,-0.10847591,0.021242864,1.3058609,0.16719337,-0.14931197
Subject_44,0.1596557,-0.7945312,-0.055429272,0.7954605,1.0825778
Subject_45,0.7826584,-0.91385704,1.6922351,-0.36775255,1.0088086
Subject_46,0.50226873,0.55859655,0.58824116,-0.23592292,0.512385
Subject_47,-0.07363218,0.043776028,0.72140974,-1.8376853,-0.9082063
Subject_48,-0.51517564,0.0028340858,-0.5721559,-0.30600166,0.04323716
Subject_49,1.3415725,0.022600219,-1.743558,-0.46551433,0.45893538
Subject_50,0.45665744,0.1580836,-3.0844796,-0.6273736,0.00026241847
Subject_51,1.9843917,0.38314563,-0.90782315,-0.3293461,-1.5139804
Subject_52,-0.45048904,0.89949995,0.5940338,-0.051192712,1.7376425
Subject_53,-2.3969185,0.28758442,-1.2047,-0.0035952746,-0.064353615
Subject_54,0.5128115,-1.4680859,0.519114,0.9641005,-2.266981
Subject_55,-0.21103092,0.16422825,0.4901911,0.8248589,-0.7379165
Subject_56,-1.7002761,0.50825727,-0.9027765,-2.1773667,-0.9466361
Subject_57,0.47789055,-1.7307664,-1.0468647,-0.391985,-0.927211
Subject_58,0.9879478,0.14242151,-0.07273316,0.48750553,0.56899965
Subject_59,0.30421093,0.39690468,-0.070698,0.4628225,0.40049487
Subject_60,0.57091725,0.24089268,1.0190347,-0.7140553,0.6684035
Subject_61,0.57602257,1.0330458,0.94230956,0.9263137,0.09285403
Subject_62,0.33109513,0.8363029,0.42236784,1.2141708,0.3666552
Subject_63,-0.5299892,-2.2506607,-2.1550102,-1.1269457,-0.010088645
Subject_64,1.6735061,-0.26959506,1.7997456,0.63734084,0.18271537
Subject_65,-2.1892664,-0.25479037,-0.24744065,0.88131577,-0.5396208
Subject_66,0.106436804,-0.6816217,-1.1909437,0.7973247,1.2313286
Subject_67,-0.9412292,1.8644022,0.38036892,-2.5935102,-1.0446463
Subject_68,0.60296774,1.051664,0.4009977,0.41045898,0.73205304
Subject_69,0.4451821,-0.25536343,-1.1587952,-0.265013,0.5910437
Subject_70,-0.5362384,0.01786968,-1.1499757,-0.23223901,-0.31336048
Subject_71,0.90156996,-0.9798245,0.6437828,-0.5388018,2.0537896
Subject_72,0.36788267,0.7935852,0.26897377,0.1203577,-1.7337369
Subject_73,1.3529178,0.6029489,-2.128117,-1.1035718,-0.95178807
Subject_74,-0.9961652,-0.018142205,1.6309828,-0.5827036,-0.13581274
Subject_75,-1.5098044,-0.40246665,1.9126142,1.4060491,0.17211492
Subject_76,0.57714903,-1.1753767,0.11302986,-0.5101327,0.3034161
Subject_77,-0.40750504,0.44618934,-0.46414942,-0.55743176,1.0725325
Subject_78,-0.36405838,1.7011449,0.1972845,1.5122724,1.289681
Subject_79,0.7013875,-1.9831789,-0.1513589,-0.71115065,-0.08164806
Subject_80,-1.3691577,-0.05367789,1.7497158,1.4358556,-0.3660317
Subject_81,-1.1922894,0.9501065,-1.5093648,0.111281075,0.24397244
Subject_82,0.3611647,1.2521167,1.1189575,-0.1275975,0.5245186
Subject_83,-0.2616652,0.42180023,1.2508699,0.23040427,0.05910765
Subject_84,0.13028318,-1.3593967,2.1999552,-0.11730019,0.04124032
Subject_85,-0.031957768,0.79022217,1.2634057,-0.2504529,-0.779589
