Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
rigidity_left,0.00026577752,-0.000599822,-0.0010299118,-0.00016028536,0.0017717195,-0.0019253935,0.003090895,-0.001033689
rigidity_right,-0.0003255465,-0.00029499384,-0.00051468145,0.0007983964,-0.0025438722,-0.0016261137,-0.00016941124,-0.0015478239
tremor_rest_left,0.00021436313,-0.00094186276,-6.57664e-07,-0.0011620865,0.00075225625,0.0018163116,0.0028876255,0.0019016749
tremor_rest_right,0.00023728373,-0.0005210689,0.00013860161,-0.00039161948,-0.0015360867,0.0008255082,0.00070353603,0.0013744481
tremor_postural_left,-0.00029329857,-0.0011234469,-0.0004770014,-0.0011154575,0.001917911,0.0015271208,0.000992673,0.00064740767
tremor_postural_right,-8.037279e-07,-1.6210915e-05,0.0012565627,0.000110046196,-0.0030535145,0.0008650776,-0.0027343556,0.0012431332
bradykinesia_speed_left,0.00024508865,0.00028167912,4.2739233e-05,0.0006978988,0.0021019073,-0.0010996712,0.0021972603,-0.0006176826
bradykinesia_speed_right,2.3485823e-05,0.00015094182,-0.00041541047,0.0012372204,-0.0020567311,-9.8852586e-05,-0.0021689131,0.001237088
bradykinesia_amplitude_left,0.00031295605,6.144021e-05,-6.7875495e-05,-0.000118651435,0.002698594,-0.0014132693,0.001938061,-0.0014452806
bradykinesia_amplitude_right,-8.076628e-05,0.000209566,-0.00032794863,0.0012362587,-0.0018784151,-0.000760392,-0.0023333915,0.0007612597
bradykinesia_rhythm_left,0.00016102525,0.00015490898,-3.9331073e-05,0.00021237218,0.0010227745,-0.0014212788,-0.00050547963,-0.0020924925
bradykinesia_rhythm_right,0.00018864236,4.957811e-05,6.564391e-05,0.00084310037,-0.0019402094,-0.0033341148,-0.0039890343,-0.0006281988
mirrormovement_left,-0.0007028583,-0.00064177194,-0.0006246596,0.0033784504,-0.005595252,-0.0022117535,0.00042113685,0.001968726
mirrormovement_right,0.0006344786,7.950928e-05,0.0009801203,0.0016237658,0.0045599877,-0.00177451,0.0041802363,-0.00014667273
