factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.723,0.3724,0.2501,0.364,526,0.9813,True
1,1.6138,0.6201,0.5387,0.4537,528,0.9851,True
2,1.8074,0.368,0.2196,0.3809,529,0.9869,True
3,1.6302,0.6013,0.5217,0.4174,527,0.9832,True
4,1.8455,0.5237,0.3806,0.4372,529,0.9869,True
5,2.0073,0.5014,0.3094,0.4698,523,0.9757,True
6,1.7059,0.5229,0.4465,0.3958,530,0.9888,True
7,1.6083,0.5095,0.3791,0.4192,531,0.9907,True
8,1.6615,0.4658,0.3238,0.427,524,0.9776,True
9,1.4439,0.4391,0.3184,0.3838,527,0.9832,True
10,1.5702,0.6642,0.6801,0.3925,532,0.9925,True
11,1.8528,0.5936,0.4677,0.4509,527,0.9832,True
12,1.5749,0.3554,0.2116,0.3621,519,0.9683,True
13,2.0043,0.5191,0.3591,0.4516,522,0.9739,True
14,1.7566,0.4881,0.3791,0.4008,532,0.9925,True
15,1.5944,0.5495,0.4381,0.4143,533,0.9944,True
16,1.625,0.5478,0.4338,0.4242,527,0.9832,True
17,1.8633,0.4842,0.3019,0.4612,523,0.9757,True
18,1.687,0.6172,0.5469,0.4236,531,0.9907,True
19,1.6694,0.4815,0.3188,0.4308,529,0.9869,True
