Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,0.43476373,-0.45488584,-0.025646215,1.3784531,0.20326242,0.009884078,1.0633451,-0.17388421,0.42863798,-0.8173303,0.3274288,-0.26358232,-1.2138497,-0.16715696,0.48178545,0.063332975,-0.8946636,0.5678896,0.6134337,0.08927411,0.7412707,-1.3625832,1.2053472,1.1266326,0.036410082,-0.034681335,0.4261791,0.2185965,0.18162148,0.5305816
volume_sn_voxels_feature_1,0.9299713,-0.78181523,-0.7386972,1.5549407,0.24254102,-0.086000904,0.60834956,-0.3010145,0.13615185,-0.56513196,0.36287704,-0.20354249,-1.3511318,-0.23353566,-0.49564907,-0.31086236,-1.1352484,0.1738702,0.053480018,-0.6857874,-0.15083703,0.5818149,0.48685524,0.0034168144,-0.18525556,-0.5369229,-0.2696491,0.6265062,0.19167578,0.47859707
volume_sn_voxels_feature_2,0.05754657,1.3074275,0.21814954,1.6703119,-0.7563838,0.04933441,-0.16846728,0.19608487,0.5105036,-0.32590222,-0.29298085,-0.34742206,-0.6808239,0.052254938,0.9714376,-0.31995824,-0.13778228,-0.1393718,0.52720344,0.6521543,0.70605975,-0.99546,0.39635885,0.4262746,-0.06778662,0.22431016,0.8445046,0.068243854,0.40283605,-0.2936666
volume_sn_voxels_feature_3,0.2421413,0.91214705,-0.2956464,2.325806,-0.65122324,-0.25711823,0.082612135,-0.07344283,-0.2117499,0.0024128286,-0.71576643,0.15302432,-0.9292584,0.22118935,0.020147104,-0.4558314,0.16839725,-0.5102582,0.28747806,-0.33614293,-0.23560259,0.51230067,-0.023812609,-0.4433708,0.42632145,0.2724749,0.39754215,-0.3935841,0.09311961,-0.6490264
volume_sn_voxels_feature_4,-0.3163809,1.2938685,0.42116445,1.2276707,-0.8165928,0.07001262,-0.32046753,0.088566594,-0.3395742,0.33621305,-1.0832754,0.14753848,0.88454646,1.2001108,-0.088515215,-0.5177365,-0.0050156717,-0.8883092,-0.08380878,-0.5463542,-0.652517,0.48411041,-0.29612535,-0.5552006,0.02892135,0.53893834,0.6711769,-0.16451421,0.8900936,-1.0114577
volume_sn_voxels_feature_5,0.44032982,1.8050492,-1.0402132,1.019163,-0.5721712,-0.31388238,-0.056274522,-1.042299,0.8105317,-0.40076938,-0.39454103,0.013833613,-1.0495887,-1.1685059,1.2440981,-0.02241376,1.1190042,-0.8562556,0.524482,-1.7538108,0.40641624,0.95875144,0.88790125,-0.2696381,0.25468385,-0.35251972,0.64833003,1.2418683,-0.27381897,-0.9404922
volume_sn_voxels_feature_6,0.38704228,0.98491895,-0.42728695,1.3737197,-0.5409582,0.020654965,-0.31048077,-0.7303212,0.17324877,-0.43240985,0.6551274,0.36092377,-0.7546864,0.07028119,0.5068385,0.085290976,0.24971494,-0.6337348,0.40275902,-0.6961503,0.36949375,-0.14593628,0.19373626,0.38663915,0.6074822,0.79088557,0.48247543,0.71436536,0.0021352097,-0.19180627
volume_sn_voxels_feature_7,0.9680223,1.452646,-1.2485744,0.19519572,-0.022700513,0.22384912,-0.09310081,-0.72237027,0.76953447,0.177993,-0.8069945,-0.31951445,-1.1160743,-0.0496557,0.800321,-0.11880478,1.365725,-0.39983597,-0.14749189,-1.6900096,0.34664422,1.1079718,0.5569398,-0.23466645,0.36290726,-0.2524061,0.5202052,-0.102342606,-1.0661026,-0.4560296
volume_sn_voxels_feature_8,1.1705374,1.5245119,-1.0721582,0.11739918,1.5177581,0.33264476,-0.63630503,0.06311939,0.032913826,1.2811358,0.2137531,-0.5951295,-0.17674325,0.67074347,0.21062222,0.43477383,-1.1668261,0.6729573,-0.4851458,-1.6890953,0.046569478,-1.0578283,0.34406456,0.055372193,-0.12491734,-0.6245961,-1.2989868,-0.67508346,-0.3242033,-0.017481586
volume_sn_voxels_feature_9,0.68443596,2.1091971,-0.8910836,-0.11609172,1.2935377,0.27633724,-1.2256185,-0.26287013,-0.033795305,1.4199877,0.18300273,-0.4506162,0.30418023,0.58483857,0.5509213,0.19621561,-1.3030964,0.26094243,-0.7488934,-1.3909672,-0.44687998,-1.2052927,0.23820978,0.599498,-0.984922,-1.3711766,-1.1737881,-0.7382416,-0.08709238,0.061731305
