Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
rigidity_left,-0.13677986,0.04316812,-0.2201407,0.112806775,0.2361148,-0.046309806,0.06770832,-0.094064385,0.1552386,0.27315113,-0.30173382,0.09591771,0.07400703,0.31911492,-0.089569494,-0.0074753067,0.257406,-0.013394334,-0.016841147,-0.07462505,0.30142707,-0.060645178,0.13252787,-0.42146987,0.018429138,0.46954507,-0.23000678,-0.23767114,0.28858802,-0.11086455
rigidity_right,-0.22927344,0.13367924,-0.059187975,0.049647253,-0.18218629,0.059174884,0.0014596946,-0.14262044,0.19821973,0.24476755,0.05548595,0.12534624,0.302022,-0.09936532,-0.076076314,-0.19999772,-0.35508868,0.054276295,0.0074845804,-0.17867161,-0.23822403,0.11854851,-0.034610264,0.32771876,0.2611471,-0.40062845,-0.19064105,0.24788442,-0.053536706,0.29453844
tremor_rest_left,-0.19735979,0.23166066,0.33023432,-0.13102895,-0.085898414,-0.13939488,0.075558454,0.5435263,-0.05005315,-0.02001523,-0.005714314,0.06595153,-0.2323104,-0.04213371,-0.02226569,-0.0423534,-0.04779136,-0.12584198,-0.16542198,-0.020477224,-0.04678271,0.24264741,0.010439393,-0.060456946,-0.12939721,0.0650596,0.6191056,0.03947255,0.14483473,-0.012954541
tremor_rest_right,-0.20568202,0.14551604,-0.12648006,-0.10180416,-0.24578692,0.32762706,-0.042658992,-0.07373498,0.052294392,0.063386165,-0.09409121,-0.09227332,-0.20998953,-0.1414515,-0.029014368,-0.18167847,0.07237547,0.18501157,-0.039227795,-0.05808024,0.009102663,0.1571416,0.60467887,-0.032713573,0.14455475,-0.12262103,0.015887,0.022743616,-0.1792424,-0.0029838597
tremor_postural_left,0.26825276,0.40651077,-0.32347345,0.09358446,0.027340084,0.25693864,-0.26954046,-0.024009455,0.07466256,-0.09476142,0.008163271,0.058746807,0.001252052,0.08407429,-0.21606123,-0.29252213,-0.11868477,-0.09303654,-0.40476814,-0.18157317,0.044773642,0.21219231,0.32642648,-0.04332169,-0.19412878,0.06953823,-0.09174232,-0.036614127,-0.33749452,-0.14731233
tremor_postural_right,0.10565975,-0.23349048,-0.195519,0.20495518,-0.047207326,-0.08198569,-0.061619405,-0.07181019,0.28830665,0.33700573,-0.060774617,0.024881603,-0.20245762,0.06537504,0.025201745,-0.11308966,0.061310247,-0.27948895,-0.13604751,-0.14002967,-0.39146432,0.038928885,-0.16272184,0.45136622,-0.071725085,0.03991343,0.16018192,0.09192445,-0.10180973,-0.16904032
bradykinesia_speed_left,0.15230323,0.0048202807,-0.041111052,-0.08171035,0.24210268,0.3047278,0.039838634,-0.05854809,0.017086018,0.26714256,-0.3594384,0.08214999,-0.04347213,-0.1472809,-0.10724252,-0.15392615,0.07671147,0.2164195,-0.04139891,-0.27286357,-0.059226684,-0.07540195,-0.15434268,0.077184714,-0.11615388,0.13234411,0.19361493,0.36300883,-0.31039026,0.012365884
bradykinesia_speed_right,0.18548569,0.06396991,-0.03286604,0.069843575,-0.38139457,0.11880245,-0.08981196,-0.2731178,-0.23198335,0.24085091,-0.17138317,0.14062166,0.005262766,0.043359455,-0.24184197,-0.41488916,-0.3773792,-0.023370245,-0.52566284,-0.12784438,-0.17044687,-0.039290022,0.059958458,0.054289296,0.10422894,0.3905657,0.30000585,0.24859528,0.35414967,-0.08870917
bradykinesia_amplitude_left,0.047396787,-0.16433315,-0.3521379,0.0067732343,-0.18751624,-0.2965603,-0.2713801,-0.07647471,0.042662438,-0.08845492,-0.0018161057,-0.11912449,-0.13092402,0.27936143,0.102085166,-0.17063749,0.09765807,-0.39638263,-0.1404282,-0.04609221,0.3993134,-0.037574377,-0.012772589,-0.25450912,0.049020823,-0.27113444,-0.17557725,0.021305148,0.19241935,-0.022791386
bradykinesia_amplitude_right,-0.19478866,0.17937525,-0.021451026,0.38415655,0.045701906,0.101020165,-0.15087399,-0.14415847,-0.2565565,0.21814768,0.07681022,-0.15874593,0.07730989,0.14282708,-0.08670769,-0.009652524,-0.08808041,0.15424941,-0.25368127,-0.0807744,-0.08262167,-0.0016694054,0.20247784,0.084084116,-0.014090507,0.06635469,-0.15558703,-0.09054037,-0.29311538,0.5588221
